AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10022|154807|1|TV Special|||100|31.12.2013 00:00|4.78|10|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10022|154807|7172|1357759|1434609181|4fa1c8691191c91d55959cdec7a8a589|8473bc775b1304a03fb5e3b81bdbd0ad|438b43404178a451b3c542aadab4256ed34acf27|f927654c|6040|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|88934|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|300
306|Adventure|0|400
252|Angst|0|400
369|Breast Fondling|0|100
282|Ecchi|0|200
462|Fairies|0|400
15|Fantasy|0|600
266|High Fantasy|0|500
175|Magic|0|400
274|Novel|0|600
198|Romance|0|400
8|Sci-Fi|0|400
79|Seinen|0|600
173|Swordplay|0|400
130|Virtual Reality|0|600


