AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10069|158743|1|While I Wait for You||きみを待ちながら|25|06.04.2014 00:00|6.19|13|0|3
10069|158742|2|Witches||魔法使い|25|13.04.2014 00:00|5.08|12|0|3
10069|158741|3|Death Suppressants||鎮死剤|25|20.04.2014 00:00|7.18|11|0|3
10069|158740|4|Lost Memories||失われた記憶|25|27.04.2014 00:00|8.58|9|0|3
10069|159371|5|Astronomical Observation||天体観測|25|04.05.2014 00:00|6.94|9|0|3
10069|159370|6|The Reason for Her Smile||微笑の理由|25|11.05.2014 00:00|8.77|10|0|3
10069|159369|7|Fragments of Hope||希望のかけら|25|18.05.2014 00:00|7.68|9|0|3
10069|159368|8|The Clue That Was Left||残された手がかり|25|25.05.2014 00:00|6.67|9|0|3
10069|159900|9|Fake Memories||模造の記憶|25|01.06.2014 00:00|6.45|9|0|3
10069|159899|10|Proof She`s Alive||生きている証|25|08.06.2014 00:00|6.17|10|0|3
10069|159898|11|A Sudden Reunion||突然の再会|25|15.06.2014 00:00|7.79|9|0|3
10069|159897|12|Hexenjagd||魔女狩り|25|22.06.2014 00:00|6.94|9|0|3
10069|160322|13|Things to Protect||守りたいもの|25|29.06.2014 00:00|3.68|9|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10069|158743|7172|1402135|338367446|47a8b3934b46a69ffd816d122d834e6c|9965e2cfbe02b11c5c513ab25096c8eb|ba2850aecc79f7eca1ac0dc04d41d471ed82d3be|bd6aae1f|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10069|158742|7172|1405558|337424357|0b7c694252d4dc67e87f38d0c892b052|a65a1ac668792affde3838046bae7163|5bdd45940842dd86fb0079a5fb5edaebe6ea527f|a1408423|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10069|158741|7172|1410545|338053224|4e25d6eb3a1b165e51a77fdf2b582ea0|1e3096804f3c3b26568ed17e6d9e103d|780e2e9a3ee861294eb110296e045a5cd0d50be4|08df5e3e|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10069|158740|7172|1414314|338318745|a165f40307d36bd753e479c58420f792|33404d4704b0405e128fda01dc94ba47|2d7e2f701f9534181dff8a347f002992e1dcbabe|7a6e676e|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10069|159371|7172|1418898|337506680|898fd53610d93a0e23cc3a77e1e10b62|2d8b91073ebfa99b169863f83656a4c1|8593d614221d46145b465a631e0ab6972edfde7c|0be8e7ee|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10069|159370|7172|1421480|337770196|e46bb9ae1cc945654194d0e30fea1b3c|ce8fff56efc23b2888b08e436a48e3ee|5d5c491d035e6c3e7a88b64eefde0bac81de99d8|e0b4b2cf|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10069|159369|7172|1425323|338827020|8975d3fbcc6aaa8bd0cb869c5a694443|740864f3a3cbbd5cee1fb40ae3e491c1|4c6c2f3304c4441cbd18e10eaba56ec0368f6773|8ae851c2|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10069|159368|7172|1427846|338393465|8bedf4d219d9ac601d99ed915bd1330d|cf100e5ef2fee4dc3fd761da56b09965|a4136fcf45c8947ea1b12e9038e8f45ba3811b0d|f0508d51|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10069|159900|7172|1430688|338470969|ab7a83786aec10ce45d56c574864a309|d233046915d431ebc2f23b12ed6fc417|80b070c5b9b0ca756322ba6dffbe719a5eea28ac|632a1d8e|1420|10|high|1280x720|H264/AVC|(HE-)AAC||japanese|1|0|3|mkv
10069|159899|7172|1433856|338351205|b93be82c2074b241a416a9d0d28209db|d30488760399bc44094c1506147cdf57|ec076fd5663df6b7f1f7c06320265b8cc17cd9e2|ca5088ca|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10069|159898|7172|1436564|338520727|77cea77bba66ea5964f41fc900604f03|8c6c4f2357515a33f5cf2ee2ce461950|ab494d498b3f6536545c53559d7657fb5709b8fb|6ed83b5a|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10069|159897|7172|1438808|337998215|86ff417de1f14feeabb76218debcd089|29c613aaef5da9f0e223710153d1b0a0|b7a1ab15bf8a4f426e485e1e042ca4cf438b3977|c4425d6b|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10069|160322|7172|1441069|338437335|f3264af9330364c12a9f67392ede6d69|2ca5424a9acb356bb34c2d0cb52cd324|5470b836685d76fc6707face450410076148c7da|a2f10bbd|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|91542|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
184|Alien|0|400
252|Angst|0|500
22|Asia|0|600
284|Boing|0|100
369|Breast Fondling|0|300
242|Clubs|0|300
17|Comedy|0|200
160|Conspiracy|0|200
161|Detective|0|200
289|Earth|0|600
282|Ecchi|0|400
497|Friendship|0|300
498|Furo Scene|0|100
241|Harem|0|400
239|High School|0|300
154|Horror|0|400
328|Human Enhancement|0|500
23|Japan|0|600
52|Large Breasts|0|200
230|Love Polygon|0|400
273|Manga|0|600
88|Nudity|0|200
370|Paper Clothes|0|200
281|Parasite|0|200
233|Plot Continuity|0|500
11|Present|0|600
198|Romance|0|300
518|School Excursion|0|100
21|School Life|0|200
8|Sci-Fi|0|500
79|Seinen|0|600
505|Slow When It Comes to Love|0|200
51|Small Breasts|0|200
18|Super Power|0|600
235|Tragedy|0|400
513|Transfer Student|0|100
244|Twisted|0|400
500|Under One Roof|0|400
84|Violence|0|400


