AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10110|157161|1|It`s Important to Start Off on the Right Foot||何事も最初が肝心です|25|09.01.2014 00:00|5.56|21|0|3
10110|157171|2|It`s Not Bad Having a Loli Sister-in-Law||ロリ小姑ってのも悪くないわ|25|16.01.2014 00:00|5.00|18|0|3
10110|157170|3|I Can Feel the Love Comedy Waves||ラブコメの波動を感じる|25|23.01.2014 00:00|6.43|18|0|3
10110|157169|4|That`s Just Being a Pervert||あれはただのへんたいです|25|30.01.2014 00:00|6.38|17|0|3
10110|157599|5|This Woman Has Given Birth?||これが経産婦だと|25|06.02.2014 00:00|7.58|17|0|3
10110|157598|6|I Know! I`ll Fill It with a Sister-in-Law||そうだ, 小姑でうめよう|25|13.02.2014 00:00|7.34|17|0|3
10110|157597|7|That`s One Thing, This Is Another||それはそれ, これはこれ|25|20.02.2014 00:00|6.03|17|0|3
10110|157596|8|Only a Little Sister Can Soothe Sadness over a Little Sister||妹の悲しみをいやすのは, 妹|25|27.02.2014 00:00|5.80|17|0|3
10110|158193|9|How Humiliating, I`m So Embarrassed||くつじょくです, はずかしめをうけました|25|06.03.2014 00:00|5.31|16|0|3
10110|158192|10|I Looked Up the Term "Time of Dere"||デレ期という単語を調べたら|25|13.03.2014 00:00|5.52|16|0|3
10110|158191|11|I`m Enjoying My Handkerchief||ハンカチを楽しんでるのよ|25|20.03.2014 00:00|5.12|16|0|3
10110|158190|12|You Understand? I Understand||わかってる? わかってる|25|27.03.2014 00:00|6.45|15|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10110|157161|7172|1363470|338498930|0d7cb25eb8c6e2274fbc524b2ef35842|17f70d92e8d848503410f63a80e59163|6f453f540b5a01549e8586339467c696e27e15e2|08611aaf|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10110|157171|7172|1367459|338769602|4d726c9aaf60a9c30bc091971ccc190b|244d5b5085ad5d4f8da5ef6faa28b77a|7aaabbda30082411f6b1dca78d8f2196245b2488|23625325|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10110|157170|7172|1371583|338817247|0d9e1867ffdc4e6e8e99bdd36cc6744d|c3523b6ce43a3e5e1d7e26e4fa187308|ec43d11dfc84f97414df7eb1706cbd615ab049c0|ad467bc5|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10110|157169|7172|1374705|338521644|44fe464c6e774cc3949117a6bbdf6892|29c8be13597895c3a8be78e1c4a4bcc0|9732e128d671bb21675639fbfed5c29f3d828c78|4b732fbe|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10110|157599|7172|1377864|338847801|2ff2f26860e1d9ff9c14e5deb7c4915e|9b2d6021a52c41993d6be39067eaaa22|515702bb4f5906a71038a79fc4e43170612ac644|728dcf47|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10110|157598|7172|1380462|337932329|5f6bf8463d306585f4fde32b4e7d544d|daebe9467038261a3ccf7533ee99adf2|c20d22ae790061fe11c3dd3db33fa6f244affeb7|a3831517|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10110|157597|7172|1384295|338645354|46192447a5abc05e2701b2fb7c3998f2|03693a9c0b95b61280424e87d5984414|6add80ad7888a193e406c540834caf63f0154a25|4c377b96|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10110|157596|7172|1387386|338390472|99b436c76a227bf538a0c56f82945e61|23e739a3617bee64a50b97441218f4f3|ca91a0d4336146848f0e9d13e59c3b1a87d40cdf|419c06f9|1421|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10110|158193|7172|1389426|338334131|de9bc5a3c871bfa8155070af98a45b88|c40ecd693253fd7845c7e69fa02cae7d|e4fd6ac545d304156bd5667b788316b707f8a89a|64e58093|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10110|158192|7172|1391747|338327400|f66f1409e20d64fd4266f61f84b868cf|e6f518ffdf678077dccc799fd166bfba|59607db8f442aca9e481d07ff97bf1a601aa192c|cbc237b3|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10110|158191|7172|1393666|337848358|fdef3fbba3b1bee9ae766dd8d4d2380d|f480e532f9bbcba72b626aff596de9bd|3ff4e09096806922b27094e408d0f810500a35c2|4bcb002d|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10110|158190|7172|1396404|338681587|7a270685b8aa1c9346013f9ea75c956b|2835c56e03a0a41dc455ceccfa811c02|4950e60b0fd0ab8068405c55edd9757f3a8880bc|14d30901|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|89328|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
453|4-koma|0|600
284|Boing|0|100
17|Comedy|0|600
183|Contemporary Fantasy|0|200
257|Cooking|0|200
535|Countryside|0|100
236|Daily Life|0|600
289|Earth|0|600
282|Ecchi|0|100
15|Fantasy|0|200
498|Furo Scene|0|100
239|High School|0|500
23|Japan|0|600
495|Lethal Cooking|0|100
273|Manga|0|600
233|Plot Continuity|0|200
11|Present|0|600
198|Romance|0|400
21|School Life|0|500
79|Seinen|0|600
505|Slow When It Comes to Love|0|300
220|Stereotypes|0|500
342|Super Deformed|0|200
513|Transfer Student|0|500
500|Under One Roof|0|600
506|Valentine`s Day|0|100


