AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10111|160972|1|Barakakodon (Translation: Spirited Child)||ばらかこどん (訳: 元気な子供)|25|06.07.2014 00:00|8.38|19|0|3
10111|160971|2|Yakamashika (Translation: Noisy)||やかましか (訳: うるさい)|25|13.07.2014 00:00|6.25|16|0|3
10111|160970|3|Hitonmochi (Translation: Rice Cakes Thrown at Celebrations)||ひとんもち (訳: お祝いで投げられる餅)|25|20.07.2014 00:00|5.84|15|0|3
10111|160969|4|Shiman Ontsuandon (Translation: Men of the Island)||しまんおんつぁんどん (訳: 島の親父たち)|25|27.07.2014 00:00|7.19|14|0|3
10111|161501|5|Unnioegi (Translation: Going to the Sea to Swim)||うんにおえぎいっ (訳: 海に泳ぎに行く)|25|03.08.2014 00:00|6.97|14|0|3
10111|161500|6|Yosonmon (Translation: The Guys from Tokyo)||よそんもん (訳: 東京から来た奴ら)|25|10.08.2014 00:00|7.05|14|0|3
10111|161499|7|Hisanio (Translation: An Expensive Fish)||ひさんいを (訳: 高級な魚)|25|17.08.2014 00:00|6.91|15|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10111|160972|7172|1443662|326750370|425551713e2e292535b21cf29772d94c|a21b2c0bed0eeb8be6969c2717846407|4b9edfca040db29efed4fcc773017f2383f2107a|8d784a65|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10111|160971|7172|1448091|326346677|44d571704f45416553b804f78e2a060d|e1e5f5e255516e8abfc4310a931e654a|420accf3134f47b6ff7f3a0253011e916d9e9a62|25cd85d5|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10111|160970|7172|1454057|326485760|69b7a60f8700c9b74633d4d3ccc019e3|2711e3f5edd4c871dd27f9dfa3cea943|36d2256bfa8f1c45201db0bd53c27a572b8afc08|2a59c678|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10111|160969|7172|1457003|326843327|e097f951e755237b46d68a6c9fc318bd|276a46273a9c02803f0cd3e0f3207b23|d98c89aefab1daeaea4b7b49acc099e91688e72d|f959b1a4|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10111|161501|7172|1460629|326709761|7e2c7a7892ce65d34a5eb66c2aceba73|a87d391f2737f5c6d1cbac37f609fac3|58172f30f6b511fa42a0259a520981981b5930e9|2aed92fc|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10111|161500|7172|1463622|327014718|2c6a43165f7b5afe910b098347e4cdbe|eb505ec081f1f70ab8fe5624dd47826f|2fbaabe9659bb7a03cb71722a2a23a4f107b8b4a|a605dd31|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10111|161499|7172|1468247|326424009|61d95235f0789cc25ad169fc5b0507e5|390386023e59bc6e05288e827e696bc1|fa745f68feb57e1fc5c298fcc569559fd5692e2f|a71f4793|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|93859|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
256|Art|0|300
22|Asia|0|600
17|Comedy|0|400
535|Countryside|0|600
289|Earth|0|600
23|Japan|0|600
273|Manga|0|600
11|Present|0|600
5|Shounen|0|600
220|Stereotypes|0|400
514|Tokyo|0|100


