AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1014|10477|1|Yuu||YUU ~憂 肛虐のメス奴隷~|35|25.04.2003 00:00|2.32|6|0|3
1014|10525|2|Yayoi||YAYOI ~恥乳の奴隷淑女~|30|22.08.2003 00:00|2.00|6|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1014|10477|0|157789|246768264|e20130915bff8cd0dd0ad42420e41199|5019096d831c1fc6bd74d1a00cdd43dc|bae39f24642ef70380f60483305df01036594844|c8be8c40|1761|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|4161|3|mkv
1014|10525|0|157662|305662933|c48b60f026f58f245c6577e66727a02c|341f6e21c2819efe7aad8fc782d8d3ac|263a678717a58a251a090d184e5ef3516fd14dc4|54f4a2cc|1779|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|4161|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|500
53|Bakunyuu|0|400
327|BDSM|0|600
57|Bondage|0|600
358|Bukkake|1|200
360|Cream Pie|1|300
65|Dildos - Vibrators|1|300
407|Enema|1|300
271|Erotic Game|0|600
291|Fantasy World|0|600
353|Fellatio|1|500
55|Futanari|1|600
419|Futa x Female|1|400
418|Futa x Futa|1|200
522|Futa x Male|1|200
269|Game|0|600
333|Gangbang|1|200
554|Girl Rapes Another Girl|0|300
523|Hidden Vibrator|1|100
545|Internal Shots|0|300
341|Lactation|0|300
52|Large Breasts|0|500
73|Lolicon|0|100
108|Maid|0|600
34|Masturbation|0|300
88|Nudity|0|600
59|Nurse|0|100
398|Nyotaimori|0|200
354|Paizuri|1|300
10|Past|0|600
33|Rape|1|600
365|Rimming|1|200
46|Scat|1|600
86|Sex|0|600
397|Shibari|0|300
496|Shower Scene|0|100
429|Slavery|0|600
51|Small Breasts|0|200
375|Stomach Stretch|1|300
111|Strapon|1|200
342|Super Deformed|0|300
172|Thriller|0|100
47|Torture|0|600
480|Uncensored Version Available|1|600
351|Urination|1|600
84|Violence|0|500
61|Virginity|1|300
64|Whip|0|100
388|Window Fuck|1|100
37|Yuri|1|400


