AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1015|11685|1|Inversion Impulse||反転衝動|25|10.10.2003 00:00|5.11|29|0|2
1015|11798|2|The Black Beast||黒い獣|25|17.10.2003 00:00|5.80|19|0|2
1015|11833|3|Mystic Eyes of Death Perception||直死の魔眼|25|24.10.2003 00:00|5.28|20|0|2
1015|11964|4|The Cradling Garden||揺籠の庭|25|31.10.2003 00:00|4.60|14|0|2
1015|12173|5|A Bow of the Sky||空の弓|25|07.11.2003 00:00|5.45|13|0|2
1015|12420|6|White Dream||白い夢|25|14.11.2003 00:00|6.05|12|0|2
1015|12778|7|Blue Sin Mark||蒼い咎跡|25|21.11.2003 00:00|5.17|14|0|2
1015|12891|8|Origami||檻髪|25|28.11.2003 00:00|6.79|11|0|2
1015|13009|9|Death.||死.|25|05.12.2003 00:00|6.72|12|0|2
1015|13111|10|Vermilion Crimson Moon||朱の紅月|25|12.12.2003 00:00|7.60|12|0|2
1015|13284|11|Misfortunate Night||凶つ夜|25|19.12.2003 00:00|8.51|15|0|2
1015|13371|12|Lunar World||月世界|25|26.12.2003 00:00|9.11|23|0|2
1015|11334|T1|Prologue|||4|26.09.2003 00:00|3.44|4|0|2
1015|11662|T2|Picture Book|||5|26.09.2003 00:00|-|0|0|2
1015|12404|T3|Trailer|||4|-|-|0|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1015|11685|183|91419|243178387|e70f62a4257bd54a83a00c0b98258dcd|e7162fa4ae902c70bdfc397744573c55|430c72a506c46c4443c8899f8a325284bf863d8a|5fadd655|1452|10|high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|11798|183|100347|243016545|6b5f568735386e2860b793d801e9959c|bfcb0f377c9af46c7eb98c09e57dab79|f6f817aa37ef6df8d32879cb48aa55a65dc95ac2|6f7fa777|1452|10|very high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|11833|183|100345|243081883|df11070592ec7812681e46195e9b0986|6c9b2c30bd824323682d6d7414e5b4fd|cb334760b42f98aadca496c0d95fc0e2fcb76998|aa914cde|1450|10|very high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|11964|183|100346|242792867|28dff5d9decfb7f81067df1d9834b1ae|ee61db3d17398e50ff23a729f896e4c0|7feea4f0f7eadfa5eb8fb435ab3506c09c6ee596|e2a94748|1452|10|very high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|12173|183|100343|241342937|6ae00dc96a369bbfe7df9f495cd5e9d0|d692dc5f4e5d7c14497ab279ea06f913|00a0589cd392565860cc73c4b4961147e016a001|91bb1863|1451|10|very high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|12420|183|100344|242499107|96b917ca5d24f0ac4412f719032da762|f6cc5e19f5707b7516ebd75df9b1006d|4fa724f6027e8eb0aed087237d510725b30e9050|fa0c121c|1451|10|very high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|12778|183|100341|243277418|a021d6aee00bba26e106b53db677ba4b|5c9fc8fd9e081a82c18a29decd35ba03|3c5259ff02f6b86185678b024c6eab7f60d4ea38|5a7746f7|1451|10|very high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|12891|183|100342|243243281|891d2a54ee18806432d362c1ec128465|7fec294408ecb4391f304cf21634c8e7|978cd43af103829a7346318730f5875c0f970438|1431e5c2|1452|10|very high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|13009|183|133430|242432184|2be82ca058b531da33a50c1517378cf9|9d0402d361c9bc393f160eebec29cf3d|2e14f2b077eccb33c61915e74db53c3b1d9fdb26|f2ffc336|1450|10|very high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|13111|183|133429|241136125|daf398dfb5f57a0ee6a5d04fd794cd1e|5fe8a3f6dea8f5fc029bfe964554ea35|45af1364c6ebbd701b63f2ab5708ccd0d558b89f|aaad3c25|1451|10|very high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|13284|183|133427|243408625|905cc2e30123836259dc3c3f6aaad2c7|2b974b55bc00b33054f2c1c690a21977|dac53c6e6a5d644b86d0afe17253f0d3be6089b6|a97d4a1e|1451|10|very high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|13371|183|133428|243103302|1f78ed0251118ebe9fa00c6c0012ed0d|b449699eb3ccc3554b93388993cc77d6|6ba63fbd3c1bb0783e648c91936e27550f83ae9c|b5045e0e|1423|10|very high|704x384|DivX5/6|(HE-)AAC|english|japanese|1|1|2|mkv
1015|11334|402|24824|56297472|c4e1ee7a53a5a3192d84a12067d8cf47|e158ad37b01d1bb66656c354b49ff6a4|98a8253f2ed0880c91e36651a3e251004c890fde|8256b9f7|535|10|very high|720x400|XviD|MP3 CBR|english|japanese|0|1|2|avi
1015|11662|402|24824|56297472|c4e1ee7a53a5a3192d84a12067d8cf47|e158ad37b01d1bb66656c354b49ff6a4|98a8253f2ed0880c91e36651a3e251004c890fde|8256b9f7|535|10|very high|720x400|XviD|MP3 CBR|english|japanese|0|1|2|avi
1015|12404|402|27496|35229696|a33f7a31896ac612e10ac25b479e04eb|79ce65885d36afcc593ca80a804ccf73|c83c399abd0f5abe3dbd30f576a19ceee2579573|a78152e3|244|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
402|351|Anime-Empire &amp; Anime-Keep|A-E&amp;A-Keep|complete
183|9725|Anime-4ever|a4e|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|200
22|Asia|0|600
293|Dating Sim - Visual Novel|0|600
289|Earth|0|600
271|Erotic Game|0|600
15|Fantasy|0|400
269|Game|0|600
239|High School|0|200
154|Horror|0|500
23|Japan|0|600
175|Magic|0|100
108|Maid|0|300
487|Parental Abandonment|0|300
233|Plot Continuity|0|600
11|Present|0|600
198|Romance|0|400
21|School Life|0|300
79|Seinen|0|600
505|Slow When It Comes to Love|0|300
18|Super Power|0|400
235|Tragedy|0|400
158|Vampire|0|500
84|Violence|0|400


