AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10232|156662|1|OAD|||25|23.07.2014 00:00|6.23|7|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10232|156662|2408|1456094|162220864|702353eb3f783c5b75ab258381aa2467|c17673eaefbba79848cb729466ae53cb|1143548f6a4df9c9963600cb1c3e25897fe6db4a|4c34e1e2|1242|10|high|852x480|H264/AVC|MP3 CBR|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
2408|94724|Doremi-fansubs|Doremi|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|400
17|Comedy|0|600
535|Countryside|0|400
236|Daily Life|0|600
289|Earth|0|300
497|Friendship|0|400
23|Japan|0|400
273|Manga|0|300
11|Present|0|400
21|School Life|0|300


