AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10254|158402|1|Enrolling at DWMA!||死武専, 入学!|25|09.04.2014 00:00|5.29|10|0|3
10254|159092|2|Girls` Dorms a la Carte!||女子寮あらかると!|25|16.04.2014 00:00|4.58|8|0|3
10254|159091|3|The Witch of the Girls` Dorm!||女子寮の魔女!|25|23.04.2014 00:00|4.58|8|0|3
10254|159090|4|Waver, Run!||迷って, 走って!|25|30.04.2014 00:00|3.21|8|0|3
10254|159415|5|Invitation Fighting!||お誘いふぁいてぃんぐ!|25|07.05.2014 00:00|4.91|9|0|3
10254|159414|6|This Is a Real Fight!||ここはリアルファイト!|25|14.05.2014 00:00|3.41|9|0|3
10254|159413|7|Nice Day for a Death Bazaar!||デスバザー日和!|25|21.05.2014 00:00|7.63|9|0|3
10254|159412|8|Tsugumi Spiral!||つぐみスパイラル!|25|28.05.2014 00:00|6.20|9|0|3
10254|160014|9|Pumpkin Growing!||カボチャ, グローウィン!|25|04.06.2014 00:00|4.41|8|0|3
10254|160013|10|The Beginning of the Nightmare!||悪夢のはじまり!|25|11.06.2014 00:00|7.33|8|0|3
10254|160012|11|Their Various Resolves!||それぞれの覚悟!|25|18.06.2014 00:00|6.31|9|0|3
10254|160011|12|Soul Resonance!||魂の共鳴!|25|02.07.2014 00:00|4.45|8|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10254|158402|7172|1403066|664732450|5a257ef45a45a2e1a6ca6aefeefbdf4a|014b17e2543f3964d6df99d0e61d5985|c695a3c7767eaa8389bd154e7e67a852da101f7b|9ed4c443|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10254|159092|7172|1406825|668741472|31a959ddb38987798818d9f05a743a78|a6d3d4b625e05a998742fc7c51824989|ff7c42ff61981302245954a687938446ccba4e92|6ce7602f|1471|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10254|159091|7172|1411369|667845443|d62188ecd885d5d9fa96189230e53320|ad8c8b3783780e4cbcfd37b51e971883|156b03e8f08a36aee4de8870c702116739265fc8|4fd263f1|1471|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10254|159090|7172|1416771|668808004|1f8bd5b8867b46dacf0a592e98ca13c3|4180bdd014f21345520e96540c51b38f|dfcbe9335bbb3c5709c3c95fb2d0094a5b9845dc|7830fdc5|1471|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10254|159415|7172|1419866|668326519|a2f0f940e7437961d2520be4ee633fc0|0beb5dbf5072d7ae41a50cc942bfa55a|f6c0be78e764cdac6e4dfe8ebd443fd94c3ed5a8|4c6355c3|1471|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10254|159414|7172|1422790|668921337|6e7efbad1ea5f5b8c2b6eb022ece60c3|78e2778bdb3c297e28a88eee47544545|9801d910c6f94ad14815bb3c6e967701e339e66a|d9f35ddd|1471|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10254|159413|7172|1426183|668453192|ee649f4fa86817d866e1358b74539b74|89b057ac822309e45dd570ab8708c546|8b720d8fd7dd33490cbb04a473acd180f0bc39d9|031d31ca|1471|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10254|159412|7172|1428974|668812710|824f62886659bd1ac570ade26e968d0c|01160ca1b5fe9b7f2a9efdb302de8ce5|9077f6e15f1ffe6aadb3b721e550b737d10c360b|83076171|1471|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10254|160014|7172|1431411|668032225|c07a496ada6fc33c0cd4089ae03df351|b123cf4f298502cdfe1d3b387b2d8f8d|c6f1c16797589418c3fd558b09b11050b3e889e2|34e9d75a|1471|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10254|160013|7172|1435088|668903144|aeb1ef6d7adbb119352914d19dafd054|e27096f2cb5921dd1b5e0b1c549a1497|3f082b614c11f4e2a3b273c03f9d9bf925617bdb|aaab3e00|1471|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10254|160012|7172|1437293|668730756|347df5160ef7ae49d3ec94d19ee1ee2c|93c89b7d2f45c72fa4fa41f49da61798|97f91866e8440166b9d16802ec286867ffe42d0d|77f98dcb|1471|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10254|160011|7172|1442148|660953909|783e1c58457ab3486807ec3f1a3b6c32|0a6ec8f850ff392acbf08dda2ad53172|84906832cdcdf38f34ad9072c0df4b4479610d2c|aa4248e2|1456|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|91675|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|300
127|Alternative Present|0|600
252|Angst|0|200
284|Boing|0|200
378|Boobs in Your Face|0|100
17|Comedy|0|400
236|Daily Life|0|400
489|Dark-skinned Girl|0|200
282|Ecchi|0|200
15|Fantasy|0|600
291|Fantasy World|0|600
497|Friendship|0|600
263|Gunfights|0|100
52|Large Breasts|0|300
175|Magic|0|400
482|Magic Circles|0|100
273|Manga|0|600
20|Martial Arts|0|200
29|Ninja|0|200
233|Plot Continuity|0|300
11|Present|0|600
540|Prison|0|100
502|School Dormitory|0|400
21|School Life|0|600
278|Shoujo Ai|0|300
5|Shounen|0|600
153|Slapstick|0|400
488|Spellcasting|0|200
18|Super Power|0|300
235|Tragedy|0|200
84|Violence|0|200
509|Witch|0|400


