AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10376|159971|1|The World of Guns||銃の世界|25|29.06.2014 00:00|4.84|26|0|3
10376|160990|2|Cold-Hearted Sniper||氷の狙撃手|25|12.07.2014 00:00|4.93|22|0|3
10376|160989|3|Memories of Fresh Blood||鮮血の記憶|25|19.07.2014 00:00|4.40|22|0|3
10376|160988|4|GGO||GGO|25|26.07.2014 00:00|7.46|22|0|3
10376|161367|5|Guns and Swords||銃と剣|25|02.08.2014 00:00|7.94|19|0|3
10376|161452|6|Showdown in the Wilderness||曠野の決闘|25|09.08.2014 00:00|7.59|22|0|3
10376|161593|7|Crimson Memories||紅の記憶|25|16.08.2014 00:00|4.62|22|0|3
10376|161592|8|Bullet of Bullets||バレット・オブ・バレッツ|25|23.08.2014 00:00|8.64|20|0|3
10376|161790|9|Death Gun||デス・ガン|25|30.08.2014 00:00|8.83|21|0|3
10376|161917|10|Death Chaser||死の追撃者|25|06.09.2014 00:00|6.36|21|0|3
10376|162029|11|What It Means To Be Strong||強さの意味|25|13.09.2014 00:00|6.09|20|0|3
10376|162061|12|Bullet of a Phantom||幻の銃弾|25|20.09.2014 00:00|6.70|19|0|3
10376|162116|13|Phantom Bullet||ファントム・バレット|25|27.09.2014 00:00|8.09|20|0|3
10376|162613|14|One Little Step||小さな一歩|25|04.10.2014 00:00|7.05|20|0|3
10376|162773|15|The Queen of the Lake||湖の女王|25|18.10.2014 00:00|3.85|19|0|3
10376|162940|16|The King of the Giants||巨人の王|25|25.10.2014 00:00|4.32|18|0|3
10376|163110|17|Excaliber||エクスキャリバー|25|01.11.2014 00:00|4.86|17|0|3
10376|163594|18|Forest House||森の家|25|08.11.2014 00:00|3.74|17|0|3
10376|163593|19|Zekken||絶剣|25|15.11.2014 00:00|6.52|17|0|3
10376|163870|20|Sleeping Knights||スリーピング・ナイツ|25|22.11.2014 00:00|7.12|16|0|3
10376|163895|21|Swordman`s Memorial||剣士の碑|25|29.11.2014 00:00|7.69|18|0|3
10376|164015|22|Journey`s End||旅路の果て|25|06.12.2014 00:00|8.69|21|0|3
10376|164014|23|Beginning of a Dream||夢の始まり|25|13.12.2014 00:00|8.18|15|0|3
10376|164097|24|Mother`s Rosario||マザーズ・ロザリオ|25|20.12.2014 00:00|9.36|17|0|3
10376|162667|S1|Debriefing||Debriefing|25|11.10.2014 00:00|1.81|11|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10376|159971|7172|1443412|337300146|96728e23500528330bd0a785bee91122|a864b4f8db2fe2b72624ad4f13a5513a|f2a8b8d5eeaacc2167cacfe6c1a06a2acc4a32a8|d1396f1f|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10376|160990|7172|1447632|338270033|39d00e351857a88c1728df6a70a68812|92d2c597d59a5b4f3b81a52de1f20b98|a8e9c9f72122ae877986b580228ad360f8e82dbf|181d2385|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10376|160989|7172|1453469|336880929|b9dee7d8260daae2318db8446c662f82|f212f28d2ebbf09a12e542790af076cc|a0494adc6f6fe1246fab0f750c0b3bdc07135900|99e1adda|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10376|160988|7172|1456969|336503626|23aabc325b0be9749847b22656027e61|3bb8802ccc7c84d0e068a37d5a5537d6|5edb457ed094ce6b1a1a1e96a47d0a0683db3112|e9ce388f|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10376|161367|7172|1460574|337553067|6386c22775f101064738e5147ed73e61|240abaa7468b9e0b35332400dea26b18|0a6166ea203307c138675e82b6890b0ea1bfdd29|e1406d7d|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10376|161452|7172|1463432|336785264|27e64986f33f411ca5366b12dc6be497|4c807d5569bc38a0400ad266fe28b681|cd9e5d0efdba016f500a95cf3be705ad2b3eecc7|046dbba5|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10376|161593|7172|1468076|337445990|ea17d8b5781742de47742261f5f28a9c|eba3d7ef076711a30b0847db60cd776a|159f5c18a91bdce2bde6033a9796dd5af85b0601|4675e19a|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10376|161592|7172|1470985|566828621|20160b899581e4f4d036ab3ce111ad7a|5bad2ba0d1dad94862053af81769a2c0|f3365c7d36804b1707f59e820bc9d99490f516ee|f83b9e27|1420|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10376|161790|7172|1473457|566678132|30fe641829f74081ea42b58abb0ec303|0cd3f1cd3a0cf674b0cd37cfed896e6f|86902ca74a0be82b0a92e144ca7b82172d387259|02903b34|1420|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10376|161917|7172|1475929|567865491|2466f47b1ec00e7887a412f7e5cd09a1|34643b74e18407457747c0622999c963|030931814448dfb9b8c2821ad55df9733aab08c8|f41d4bb7|1420|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
