AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10407|160943|1|Kill the Darkness||闇を斬る|25|07.07.2014 00:00|6.66|25|0|3
10407|160942|2|Kill the Authority||権力を斬る|25|14.07.2014 00:00|5.34|21|0|3
10407|160941|3|Kill Your Cares||蟠を斬る|25|21.07.2014 00:00|4.93|22|0|3
10407|160940|4|Kill the Imperial Arm Users||帝具使いを斬る|25|28.07.2014 00:00|5.70|20|0|3
10407|161432|5|Kill the Dream||夢物語を斬る|25|04.08.2014 00:00|3.98|20|0|3
10407|161431|6|Kill the Absolute Justice||絶対正義を斬る|25|11.08.2014 00:00|7.44|22|0|3
10407|161430|7|Kill the Three -Part One-||三匹を斬る -前編-|25|18.08.2014 00:00|6.16|21|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10407|160943|7172|1443928|338621811|77e9038067a6ae14475a53f90905bc6e|e2948ee936933ee677e463bc56eb0b2b|ab08dab30afbead5d28cdfdc3cdd62abfd132739|5def4979|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10407|160942|7172|1448582|338677556|a874bb6055872ca18e2d00b218ae516c|defda5ac8e20c2fecd86580f4577a5f8|7bbae631d72b9e98e08f3cc8dd6a64e416a6f994|18b55d10|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10407|160941|7172|1454287|338781380|cecd470125de604fda506cc99714b9a5|fc6fa132e4baf653e34670b8b5316fac|cb5433937630f68c700eb16e314bdebf9d25b495|430c77d6|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10407|160940|7172|1457288|339091419|fc471cf42e3c9bc8675a2c6c7188ef32|d12e199834992ddc50d2aade93686304|2b167c5a4c1145b04868cae74f723fb498543ab8|7d4c5e38|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10407|161432|7172|1460843|337873641|733d1dc4c3b2ee0603d500a1546bda3e|d5965aa5bb0af647ec2995a2cd68649e|27916d39c9f3c64b8fbd3d654134dff80da5ea25|7f7c843e|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10407|161431|7172|1463859|338988552|84c1e955996169a860f2350406e29d0d|8abbdae55a9dd3e58bd837321717593e|4b0710e33efd0bb249453a51dc70b8822474ae58|fa8a21bf|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10407|161430|7172|1468352|339018038|0809f2d7aedc60f511c471a5f5c0ba25|cac54df09e16fb1168137686cb67abcb|58381da2459eb671a6da5776ab5e31f887a7b40d|8c40f4e2|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|93889|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|300
490|Assassin|0|300
17|Comedy|0|200
200|Dragon|0|200
282|Ecchi|0|100
15|Fantasy|0|400
52|Large Breasts|0|200
273|Manga|0|600
5|Shounen|0|600
18|Super Power|0|400
173|Swordplay|0|300
235|Tragedy|0|400


