AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
105|586|1|Volume 1|||35|23.05.2001 00:00|7.53|30|0|2
105|588|2|Volume 2|||35|18.07.2001 00:00|7.18|25|0|2
105|587|3|Volume 3|||40|06.02.2002 00:00|7.67|22|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
105|586|374|155928|445873680|5976f20d47e6a9795ab8cb6fd747ec70|3947c8af3d0c563d2732ece0168af649|e5de057b9e81cfc9ac8bdd3110c4e056018d40fd|e81a853c|1757|10|very high|640x480|H264/AVC|AC3|english|japanese|1|4101|2|mkv
105|588|374|155929|412440455|679d7c04d7d4ce208e74279ec3ca73a2|11ebe65ba0d124955670b0295c338974|515e319e418014b8620c4890fdfbc8258cefd657|b0c0259d|1745|10|very high|640x480|H264/AVC|AC3|english|japanese|1|4101|2|mkv
105|587|374|155930|480024217|b5f298c23622ce6ca1c18b3d3c3a06c9|463ef1f75c394f396a650afe708d0ed8|bfa67202ecc5b2b95162f838d6618981a46efc60|abd1c8eb|2016|10|very high|640x480|H264/AVC|AC3|english|japanese|1|4101|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
374|5829|KickAssAnime|KAA|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|600
306|Adventure|0|600
259|Air Force|0|200
127|Alternative Present|0|600
22|Asia|0|200
17|Comedy|0|200
236|Daily Life|0|100
23|Japan|0|200
323|Law and Order|0|300
175|Magic|0|400
273|Manga|0|400
171|Military|0|200
262|Navy|0|100
274|Novel|0|400
151|Parody|0|200
233|Plot Continuity|0|600
11|Present|0|600
198|Romance|0|100
79|Seinen|0|600
278|Shoujo Ai|0|100
374|Skimpy Clothing|0|300
153|Slapstick|0|100
203|Special Squads|0|200
422|Steampunk|0|400
18|Super Power|0|600
197|United Kingdom|0|200
24|United States of America|0|100
84|Violence|0|300


