AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10506|160907|1|Fireworks||花火|25|03.07.2014 00:00|4.53|7|0|3
10506|160906|2|Bench||ベンチ|25|10.07.2014 00:00|6.12|6|0|3
10506|160905|3|Utility Tank||ポリタンク|25|17.07.2014 00:00|6.66|6|0|3
10506|160904|4|Steep Road||坂道|25|24.07.2014 00:00|6.27|6|0|3
10506|161364|5|Hinode Bridge||日乃出橋|25|31.07.2014 00:00|5.44|7|0|3
10506|161363|6|Punch||パンチ|25|07.08.2014 00:00|5.32|7|0|3
10506|161362|7|Bicycle||自転車|25|14.08.2014 00:00|6.93|7|0|3
10506|161361|8|Snow||雪|25|21.08.2014 00:00|5.45|7|0|3
10506|162055|9|Moon||月|25|28.08.2014 00:00|5.50|6|0|3
10506|162054|10|Jonathan||ジョナサン|25|04.09.2014 00:00|6.37|6|0|3
10506|162053|11|Piano||ピアノ|25|11.09.2014 00:00|8.15|7|0|3
10506|162052|12|Fireworks (Once Again)||花火(再び)|25|18.09.2014 00:00|3.38|6|0|3
10506|162367|13|Shooting Star||流星|25|25.09.2014 00:00|2.06|8|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10506|160907|7172|1442588|338485390|4a6e37693395688fc6c2754bc1626923|2683fc43086138c6a6b2b1ff71510a58|dcc66c522bf50f56a6428b997ae0115ffa91b55f|77d3b214|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|160906|7172|1446148|338516215|fadbf4130d39003d9a1e71f460d9f697|71b2f8b295b7a27efcfda34d672f788c|d01dad738f86aea93b374b7cf3985f6803aa8d10|d4fc70df|1421|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|160905|7172|1452346|337660798|580e9cdfc2c10434f94678ad8deb5f13|b9fd32a341e05f3563e5768bef329a7e|54909e1613dc896a4c9ac7ada283c957ae25d1e6|278ef380|1419|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|160904|7172|1456341|338517458|43589a22e7ca1720bb21f7708a53ff18|eb255deeab590a38599f37d27bfa76de|1b5924a89738d527a028fc66d696f951243958fb|cc9f8833|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|161364|7172|1460084|338157737|a96ec07c50fcf2908015701fa6820f37|63958ec58746413e70c3cf2a43c4863c|da41c29f9c7a3876d0d62d9b65fd28c80fc8f476|512c7020|1419|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|161363|7172|1462762|338284191|f164793e1f798cf863cc6359b8498dd9|8300f404a4da90bf9e98d33320d2e446|94f3fa23cbfbd42bd208c735fc42736f89bed974|4b534392|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|161362|7172|1466759|338825861|1c1e1cc42cd77cc78c91cc59a4b197d4|d4401ddf005e8070cffa7de3e5c566b2|9d04339c6a12542a183b9135e23a584a2b49736a|91ef55cb|1421|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|161361|7172|1470299|568593512|a4b4527fa4925c987f496049f9ea5a94|231a8c3e501c017b23d88b4a0c4ab439|77644927bb8093bae2a63737a7fd7fe069617ddb|91a43b65|1420|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|162055|7172|1472933|568124963|d98f13272c5e4de3f401d31f68e1f135|3163be509a17b01ddb75bee65ea30aef|38720e568026d3e93ba7de93f232baf678c08700|e5a71d28|1419|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|162054|7172|1475220|568622687|7d347146fc973bfbd43a04a5fa59b3f3|9eb8cbfef582de39e22b3d8c6cb76d90|7688f67e2b4d89293150dcb25766895f4cd6ab7c|a0b8685a|1420|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|162053|7172|1478205|568810967|76ddb5719727e3ba948a461bec9707f4|baa50bcb520c4aaec81d1a0652cbab7c|5e960969c06be159fadebaf32deff24b6b81f8a1|90f1d77b|1421|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|162052|7172|1481218|569786370|ee632029b9734e219400f25015e7fc83|ed23389bd2b03c602fc726878894e72f|259e94b602ba774b9582d99e697814b096877e8c|df97d2aa|1422|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10506|162367|7172|1485144|568995714|bf533b49fe86042d8a49867a028325b9|45e22fd29ea884a2a944e7f7d368c7c2|777a9ce00ec1dbc44fdda06f4dc8169a3a16ce63|986beea5|1421|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|93749|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
256|Art|0|200
22|Asia|0|600
473|Confession|0|100
236|Daily Life|0|300
289|Earth|0|600
456|First Kiss|0|200
239|High School|0|300
23|Japan|0|600
230|Love Polygon|0|600
275|New|0|600
11|Present|0|600
198|Romance|0|400
505|Slow When It Comes to Love|0|400
113|Sports|0|100
481|Summer Festival|0|100
384|Swimming|0|100
385|Track and Field|0|200
513|Transfer Student|0|600
500|Under One Roof|0|200
536|Unrequited Love|0|300


