AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10551|162790|1|Shiroe of the Northern Lands||北の国のシロエ|25|04.10.2014 00:00|5.24|12|0|3
10551|162789|2|The Outlaw and Mithril Eyes||無法者とミスリルアイズ|25|11.10.2014 00:00|5.72|12|0|3
10551|162788|3|The Abyssal Shaft||奈落の参道|25|18.10.2014 00:00|6.08|11|0|3
10551|162787|4|Shattered Wings||ひび割れた翼|25|25.10.2014 00:00|2.89|11|0|3
10551|163084|5|Christmas Eve||クリスマス・イブ|25|01.11.2014 00:00|5.26|11|0|3
10551|163331|6|A Lost Child at Dawn||夜明けの迷い子|25|08.11.2014 00:00|3.65|11|0|3
10551|163553|7|The Maidens of Watermaple||水楓[すいふう]の乙女たち|25|15.11.2014 00:00|3.67|11|0|3
10551|163552|8|Akihabara Raid||アキバレイド|25|22.11.2014 00:00|6.30|10|0|3
10551|163877|9|The Changing Battlefield||変わりゆく戦場|25|29.11.2014 00:00|3.87|12|0|3
10551|163983|10|Guild Master||ギルドマスター|25|06.12.2014 00:00|2.49|15|0|3
10551|163982|11|Retry||リトライ|25|13.12.2014 00:00|5.72|10|0|3
10551|164111|12|The Gold of the Kunie||供贄[くにえ]の黄金|25|20.12.2014 00:00|6.78|10|0|3
10551|164358|13|2.14 a Sweet Trap||2.14 甘いワナ|25|27.12.2014 00:00|3.04|9|0|3
10551|164660|14|Kanami, Go East!||カナミ, ゴー! イースト!|25|10.01.2015 00:00|4.92|9|0|3
10551|164743|15|A New Journey||旅立ち|25|17.01.2015 00:00|1.93|12|0|3
10551|164785|16|The Midday Vampire||真昼の吸血鬼|25|24.01.2015 00:00|1.71|10|0|3
10551|164915|17|Odyssey Knights||オデュッセイア騎士団|25|31.01.2015 00:00|1.78|10|0|3
10551|165354|18|When the Concert Ends||ライブがはねたら|25|07.02.2015 00:00|3.37|8|0|3
10551|165434|19|The Red Night||赤き夜|25|14.02.2015 00:00|2.27|10|0|3
10551|165608|20|Birthday Song||バースデイ・ソング|25|21.02.2015 00:00|2.08|11|0|3
10551|165698|21|The Skylarks Take Flight||ひばりたちの羽ばたき|25|28.02.2015 00:00|2.24|9|0|3
10551|165789|22|Stranger||異邦人|25|07.03.2015 00:00|3.27|9|0|3
10551|166462|23|Isaac and Iselus||アイザックとイセルス|25|14.03.2015 00:00|3.97|8|0|3
10551|166652|24|Sleep of the Eternal Moth||常蛾の眠り|25|21.03.2015 00:00|3.74|9|0|3
10551|166651|25|The Pioneers||開拓者たち|25|28.03.2015 00:00|6.43|8|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10551|162790|7172|1491058|589174672|5cc06e7e445405fdf30022ffe747dd5e|576c2661628375f215356dbd59ee0524|212957d2e1c97fc21122a7046a580359a3c15ed9|f544c456|1472|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10551|162789|7172|1495507|587099974|17680fb30acc03e388786d9acfcc9c61|c8e70b857c4264de49662cf72fe0f07e|c9c866a7a05d69b2cd4875f85f6eaf83b071e90d|85262db8|1472|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10551|162788|7172|1500598|587919315|b48faebb9e0979efe8e49da243672d87|be919fa91890e5ebb74e5ff5ef622cec|c70c68509995c44b7bbeab100693a8fe7ab704b4|4b45b636|1472|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10551|162787|7172|1501769|587151125|5fb8156c9c1d8ba047686531c7ab9c19|554f7aad8bf19d544f4c5c00dcdb009f|28eaa36b64e680e25f11d2bcd3bf976d77a125f6|3b28aea8|1472|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10551|163084|7172|1504301|587577590|a477fb678f5a10510157fb115f886ee6|05ec0c9288beed8de5a09205d83fb15a|2e010fe915019caa49148184b7f8c29f43819014|00246437|1472|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10551|163331|7172|1507692|587150367|25673efc2e5b8182915d6237d877844d|d0f6b0042e4420e2c4d6d15b8eadf143|87d37fa7fab272fea24e317f835c4f6bb60d7807|186ff890|1472|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10551|163553|7172|1510501|589271675|a6e3350158005932e6dbf6ced23079dd|98e13f191f2418b51f5a6c2918e545ff|73634c73b07118e5aa04f40fc50ad0325f841a2d|06a2cd58|1472|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10551|163552|7172|1513006|587742579|2a179b1518e325b3956478d680591d66|bceb287527fa2ae24fe3299701f43dcc|0c85b5855d96dd513fe355515fafd8b769cae4b0|ebc46c05|1472|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10551|163877|7172|1515749|589106702|2d030374981ad269c1c823182d12a5f4|6d5bc58e33065d5e665b32c81a381fa4|c623ad959d888da11776c8fee8b42377cc07ce3f|4722768c|1472|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10551|163983|7172|1517686|587061753|724a655f030dca8b7df88beebb75669c|874d279b9ea7f690fa120ccf02458d45|92f74843428b9f842495290eeb7cd69d6d7a18e4|704335d5|1472|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
