AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10709|163242|1|Our First Promise||はじめての約束|25|13.10.2014 00:00|1.65|3|0|3
10709|163241|2|Blue Melon Buns||ブルー・メロンパン|25|20.10.2014 00:00|1.65|3|0|3
10709|163240|3|Cameras and Shortcake||カメラとショートケーキ|25|27.10.2014 00:00|2.41|2|0|3
10709|163239|4|Cats and a Rainy Night||猫と雨の夜|25|03.11.2014 00:00|6.94|2|0|3
10709|163774|5|Darjeeling with Everyone||ダージリンをみんなと|25|10.11.2014 00:00|3.36|2|0|3
10709|163773|6|Sweet Bitter Potato||スイート・ビター・ポテト|25|17.11.2014 00:00|2.54|2|0|3
10709|163772|7|Doggy & Scramble||ドギー&スクランブル|25|24.11.2014 00:00|5.53|2|0|3
10709|163771|8|On the Other Side of the Cream Soda||クリームソーダの向こう|25|01.12.2014 00:00|4.38|2|0|3
10709|164374|9|Evolutionary Girl||進化系Girl|25|08.12.2014 00:00|2.54|2|0|3
10709|164373|10|Princess & Pride||プリンセス&プライド|25|15.12.2014 00:00|4.38|2|0|3
10709|164372|11|Goodbye a la Mode||さよならア・ラ・モード|25|22.12.2014 00:00|1.41|2|0|3
10709|164371|12|Girlfriend xxx||ガールフレンドxxx|25|29.12.2014 00:00|3.36|2|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10709|163242|7172|1496907|585150592|739227def8c6bdf295e7b0c1101ed2a1|2c5a856a910ff6a5a651d084a13202fe|c664e053d0399e0dd81ea9eab113eaff301fc2d2|667685ba|1465|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10709|163241|7172|1499884|585813462|0cf87ac18b8696c5243edb3aac0a2b45|4cf251c807b97f1c4636ea1df3793fd4|2675ae7868f42878e857bffa702ac283eb81b675|7b5123cd|1465|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10709|163240|7172|1502558|586346014|34c10f133d41288d37f53960ab76201c|edc56f614f4f766801167b52ebf2e0d6|cd1647a1037bfb0b216c5f3ff38a74d3f2f57574|c180abda|1465|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10709|163239|7172|1505160|586100617|0f24f99e03a0135e0a2464aa20f84df8|f0f58d95eeb635e28ffa832cf992a7e4|7acf9d53bf2a76a64fedf72edae6eaeb9d483982|fb4f5e3c|1465|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10709|163774|7172|1508510|585316489|4ba2350651c80c46f9a33bb13677d7c7|054bd0afd994528584417e6e276ccf34|98be992280ed628f952c769e09bb8dbb48a70f1c|ce83fe64|1465|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10709|163773|7172|1510996|586538251|e7d643548d0fa18c34129f36237f3547|5d31e014bd5279525b3730c4b4523a95|f09e0b091ddeca2af38bfd1150a7cf16a86f90fa|dc235987|1465|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10709|163772|7172|1513885|586808634|6abbbd7e0d1adb920d460ce7625adba0|8eba02910e72d836c14ea4980ccaec14|c1222e42c3ad3824ca4d059ac6aa43557945907d|ca8bb102|1465|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10709|163771|7172|1516246|584651022|e21203ed0e81bb115ff1ec64039ba4ac|4526efadb710a892397ef349b6c9be32|009f1bfef3ca0ceb0b562d2f6094add0073154a4|ee716ed4|1465|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10709|164374|7172|1518134|585810841|6bb88e854e9bdd658394ce7692253ebe|0f3a0ef23f582c12ed1ff09d2a4b5585|329d48ff82c9fd2cd567fefe2734133fb9709021|230c4ef5|1465|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10709|164373|7172|1520673|585879521|325057e306f04c7cd641894123956eee|2ae857f2848d296656be89bd8e12e279|9d505393307fa15089f9cb802b65c1f0a79d261b|feb8ff76|1465|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10709|164372|7172|1523102|586207599|513e05e66c06976e05cdbbfb4bc4fb0f|1d110ec613497202cda5f30b1756272d|b10c5247505cce986a3836a6ab82ae7f899467ed|4ecd3b29|1465|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10709|164371|7172|1527192|580129518|124f6396f109d4b3783fdc1c3ecb6b67|f1874c80259d8ff2cf3946b513f9ce73|f157f13d664a673f4829b25e388358f1948ce089|1d931561|1450|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|96734|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
293|Dating Sim - Visual Novel|0|600
269|Game|0|600


