AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10779|163255|1|Exodus to Tomorrow!||明日に向かって, えくそだすっ!|25|09.10.2014 00:00|4.90|15|0|3
10779|163254|2|Arupin Is Here!||あるぴんはいます!|25|16.10.2014 00:00|6.14|15|0|3
10779|163253|3|No More Recap Episodes||総集編はもういやだ|25|23.10.2014 00:00|5.08|14|0|3
10779|163252|4|I Totally Messed Up||私ゃ失敗こいちまってさ|25|30.10.2014 00:00|6.45|13|0|3
10779|163707|5|Those Who Blame Others Should Just Quit!||人のせいにしているようなヤツは辞めちまえ!|25|06.11.2014 00:00|5.31|12|0|3
10779|163706|6|Idepon Miyamori: On the Move||イデポン宮森 発動篇|25|13.11.2014 00:00|7.37|12|0|3
10779|163705|7|Retake with Cats||ネコでリテイク|25|20.11.2014 00:00|5.92|13|0|3
10779|163704|8|I`m Not Criticizing You or Anything||責めてるんじゃないからね|25|27.11.2014 00:00|5.87|12|0|3
10779|164315|9|What Do You Think I Was Trying to Say?||何を伝えたかったんだと思う?|25|04.12.2014 00:00|6.95|12|0|3
10779|164314|10|Just One More||あと一杯だけね|25|11.12.2014 00:00|6.74|12|0|3
10779|164313|11|The Little Key Frames Girl||原画売りの少女|25|18.12.2014 00:00|7.76|12|0|3
10779|164312|12|Exodus Christmas||えくそだす・クリスマス|25|25.12.2014 00:00|10.00|14|0|3
10779|164881|13|What Kind of Cloud Do You Like?||好きな雲って何ですか?|25|08.01.2015 00:00|7.82|13|0|3
10779|164880|14|The Ruthless Audition Meeting!||仁義なきオーディション会議!|25|15.01.2015 00:00|6.35|13|0|3
10779|164879|15|Will These Drawings Work?||こんな絵でいいんですか?|25|22.01.2015 00:00|7.15|12|0|3
10779|164878|16|Table Flip||ちゃぶだい返し|25|29.01.2015 00:00|8.42|12|0|3
10779|165575|17|Where Am I?||私どこにいるんでしょうか...|25|05.02.2015 00:00|7.41|11|0|3
10779|165574|18|You Tricked Me!||俺をはめやがったな!|25|12.02.2015 00:00|6.41|11|0|3
10779|165573|19|Did You Catch Any?||釣れますか?|25|19.02.2015 00:00|8.06|10|0|3
10779|165572|20|I`ll Do My Best, Mustang!||がんばりマスタング!|25|26.02.2015 00:00|5.96|9|0|3
10779|166560|21|Don`t Hold the Quality Hostage||クオリティを人質にすんな|25|05.03.2015 00:00|5.78|9|0|3
10779|166559|22|Noa`s in Her Underwear.||ノアは下着です.|25|12.03.2015 00:00|7.22|9|0|3
10779|166558|23|Table Flip Continued||続・ちゃぶだい返し|25|19.03.2015 00:00|9.87|15|0|3
10779|166557|24|The Delivery That Was Too Far Off||遠すぎた納品|25|26.03.2015 00:00|9.36|10|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10779|163255|7172|1494593|593452859|1ee36b9c14e8d6ed873495ae473d7344|a7f152df3cae1309d28f4a804ea0b12f|fbf8e546fde1420e92e1cebdc8701f261cf4a4f6|33b1e01a|1482|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10779|163254|7172|1497826|593000450|79cbb7e79808fc2742a3915f997b701b|da9570c0b7608da2ceab8c990bf8bcea|189a59ec3fc85cf25b0ad49487a2cc6d19c71d6e|72ea74a2|1483|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10779|163253|7172|1501180|593336262|b819b4e9288657c20d39ee0dd29a7758|8a81851a4a0089414e6ab784d55bde8f|d9cc3ee747e1d3f8968eaeee2f2906f2c31cabb4|f3f6e12c|1482|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10779|163252|7172|1503746|592711018|fefcfbfc0351392ea6503d2523dfa611|5db93b2825f13a4964222eae5a9004e1|697ab53565b4c7e82d0aee7da0458951304d9ea4|a7152415|1481|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10779|163707|7172|1507078|591406386|d661e09176e94354b210625741f42911|6f41ab22da03d0aa389cec9263afa600|1f9c1dd7f7dddde738cf220813fcd4f84337daf8|6495cbf2|1480|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10779|163706|7172|1510187|592533305|21169c703e70151011ebf005ec423c74|13769cbc1d6b7c542530a6fe2193294c|72888f15703f7bb45ac1f61f918adebc86f799c8|cb8cf953|1482|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10779|163705|7172|1512675|591831113|7409d38311167004610a55a6bdcf3800|87255c8a6c0e74e9189868556e4f5d30|99cb23c818b54dce3906e23e71dfb933057fd180|6b82073d|1481|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10779|163704|7172|1515222|592641252|f24c7a4a871503416e42a70b9911a82d|94ed02ef1f61fbe4d659fc9dda8d27df|b7e764f4844344500e7dc2664158bc42ceffc5e8|aa73877e|1482|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10779|164315|7172|1517214|591724204|6094134d1a05c5326ebfe8c90beee6c1|b34e41c618a2dbe32ff449f9579b9578|15f9eb3a2afaa1d088a363355ac8d128dfdf1b8f|7aa2f088|1479|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
10779|164314|7172|1519330|592051045|1c171acc4a2f41cfed3f78e4ea6d3a2b|02875729ad6ef1a58adee4280bf3a3f3|7a93f5c0a3b6ae85f6db6477bd3371e5c0a21e90|b0d34df3|1480|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
