AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1088|11528|1|The First Night: Camellia||第一夜「椿」|30|08.12.2001 00:00|4.79|8|0|2
1088|11529|2|The Second Night: Sun Flower||第二夜「向日葵」|30|26.07.2002 00:00|6.71|3|0|2
1088|13347|3|The Third Night: Peony||第三夜「芍薬」|30|27.12.2002 00:00|7.86|2|0|2
1088|13363|4|The Fourth Night: White Lily||第四夜「白百合」|30|13.06.2003 00:00|8.43|2|0|2
1088|22405|5|The Fifth Night: Spider Lily||第五夜「彼岸花」|30|23.07.2004 00:00|6.53|2|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1088|11528|92|24412|209381376|f8a22ab1c1e294f1c182f65a1a2be56e|f4ca825e2da917eeeec6fbc8b90ec15d|a9ea12b63904a1cb0ba8070663d7073feadc97ff|16dd5c10|1712|10|high|640x480|XviD|MP3 VBR|english|japanese|1|65|2|avi
1088|11529|92|24413|195231744|2e6a1e86dacd74759286d59afb93371d|91cec852b74e347b81ee4172579107c4|566b2b0ccd2a5cbf43b4623a548caca419d41e9a|548987d9|1748|10|high|640x480|XviD|MP3 VBR|english|japanese|1|65|2|avi
1088|13347|92|30936|241016832|983fe34c2365b4d06a786449ae6b66a0|1c2d8e95f0234598d211c06ba656ece8|2864181a11580d58e80eb583d9e642c1c1bcffc6|bbdf942e|1633|10|high|640x480|XviD|MP3 VBR|english|japanese|1|65|2|avi
1088|13363|92|31008|161716224|f636caa72a258ab51beb9b7947926701|5db0e124ed7fcf81630531bd245d4aea|17e56ec423d7fea69333e35ee11cff932a704df7|27be4686|1743|10|high|640x480|XviD|MP3 VBR|english|japanese|1|65|2|avi
1088|22405|92|143448|239837184|b545112c726ecb9a6a704dd5398f7464|b31909a4bee008cf208a6b16565a9ed8|2f728b16940fff8d5de9f07a7e4bc5c42a94cf5e|543daf64|1807|10|high|640x480|XviD|MP3 CBR|english|japanese|1|65|2|avi
GROUPS
GID|AGID|Name|ShortName|State
92|2210|Hentai-Heaven|HH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
57|Bondage|0|200
293|Dating Sim - Visual Novel|0|600
167|Demons|0|200
200|Dragon|0|200
271|Erotic Game|0|600
356|Foot Fetish|0|200
269|Game|0|600
34|Masturbation|0|200
354|Paizuri|1|300
33|Rape|1|200
198|Romance|0|300
338|Shotacon|0|100
47|Torture|0|100
480|Uncensored Version Available|1|600
37|Yuri|1|300


