AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10889|166872|1|Welcome to High School||ようこそハイスクール|25|28.03.2015 00:00|6.52|17|0|0
10889|167458|2|Nice to Meet You, Euphonium||よろしくユーフォニアム|25|15.04.2015 00:00|6.06|15|0|0
10889|167457|3|The First Ensemble||はじめてアンサンブル|25|22.04.2015 00:00|5.32|14|0|0
10889|167456|4|Singing Solfege||うたうよソルフェージュ|25|29.04.2015 00:00|8.14|14|0|0
10889|168087|5|Festival Time||ただいまフェスティバル|25|06.05.2015 00:00|7.16|13|0|0
10889|168086|6|Twinkle, Twinkle, Little Tuba||きらきらチューバ|25|13.05.2015 00:00|6.20|12|0|0
10889|168085|7|Crybaby Saxophone||なきむしサクソフォン|25|20.05.2015 00:00|6.00|12|0|0
10889|168084|8|Festival Triangle||おまつりトライアングル|25|27.05.2015 00:00|9.81|29|0|0
10889|168555|9|Please, Audition||おねがいオーディション|25|03.06.2015 00:00|7.70|14|0|0
10889|168554|10|Straight Trumpet||まっすぐトランペット|25|10.06.2015 00:00|8.58|17|0|0
10889|168553|11|Welcome Back, Audition||おかえりオーディション|25|17.06.2015 00:00|8.83|15|0|0
10889|168552|12|My Euphonium||わたしのユーフォニアム|25|24.06.2015 00:00|8.70|15|0|0
10889|168955|13|Goodbye Competition||さよならコンクール|25|01.07.2015 00:00|9.04|17|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10889|166872|0|1556691|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|167458|0|1569917|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|167457|0|1569916|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|167456|0|1569915|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|168087|0|1580098|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|168086|0|1580097|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|168085|0|1580096|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|168084|0|1580095|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|168555|0|1594498|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|168554|0|1594497|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|168553|0|1594496|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|168552|0|1594495|0|||||0|90|unknown|0x0|||||1|0|0|rl
10889|168955|0|1603811|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


