AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
10894|167325|1|Bell Cranel: Adventurer||冒険者[ベル・クラネル]|25|04.04.2015 00:00|5.64|30|0|0
10894|167324|2|Monsterphilia: Monster Festival||怪物祭[モンスターフィリア]|25|11.04.2015 00:00|6.08|27|0|0
10894|167323|3|Hestia Knife: The Blade of a God||神様の刃[ヘスティア・ナイフ]|25|18.04.2015 00:00|7.02|28|0|0
10894|167322|4|Supporter: The Weak||弱者[サポーター]|25|25.04.2015 00:00|6.00|28|0|0
10894|167946|5|Grimoire: Magic Book||魔導書[グリモア]|25|02.05.2015 00:00|6.07|26|0|0
10894|167945|6|Liliruca Arde: Reason||理由[リリルカ・アーデ]|25|09.05.2015 00:00|7.53|28|0|0
10894|167944|7|Aiz Wallenstein: Sword Princess||剣姫[アイズ・ヴァレンシュタイン]|25|16.05.2015 00:00|6.28|26|0|0
10894|167943|8|Argonaut: Wanting to Be a Hero||英雄願望[アルゴノゥト]|25|23.05.2015 00:00|8.57|33|0|0
10894|168411|9|Welf Crozzo: Blacksmith||鍛冶師[ヴェルフ・クロッゾ]|25|30.05.2015 00:00|6.66|25|0|0
10894|168410|10|Pass Parade: Procession of Monsters||怪物進呈[パス・パレード]|25|06.06.2015 00:00|6.62|23|0|0
10894|168409|11|Under Resort: Labyrinth Utopia||迷宮の楽園[アンダーリゾート]|25|13.06.2015 00:00|6.29|26|0|0
10894|168408|12|Show: Evil Intentions||悪意[ショー]|25|20.06.2015 00:00|6.29|24|0|0
10894|168618|13|Familia Myth: The Story of a Familia||眷族の物語[ファミリア・ミィス]|25|27.06.2015 00:00|5.60|23|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
10894|167325|0|1565147|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|167324|0|1565146|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|167323|0|1565145|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|167322|0|1565144|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|167946|0|1577705|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|167945|0|1577704|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|167944|0|1577703|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|167943|0|1577702|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|168411|0|1592800|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|168410|0|1592799|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|168409|0|1592798|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|168408|0|1592797|0|||||0|90|unknown|0x0|||||1|0|0|rl
10894|168618|0|1595260|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


