AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
11123|171284|1|The Strongest Man||最強の男|25|06.09.2015 00:00|7.41|46|0|0
11123|171297|2|The Lone Cyborg||孤高のサイボーグ|25|06.09.2015 00:00|8.56|40|0|0
11123|172377|3|The Obsessive Scientist||執念の科学者|25|19.10.2015 00:00|8.25|36|0|0
11123|172376|4|The Modern Ninja||今時の忍者|25|26.10.2015 00:00|7.90|35|0|0
11123|172655|5|The Ultimate Master||究極の師|25|02.11.2015 00:00|8.41|36|0|0
11123|172654|6|The Terrifying City||最恐の都市|25|09.11.2015 00:00|8.15|33|0|0
11123|172653|7|The Ultimate Disciple||至高の弟子|25|16.11.2015 00:00|8.04|33|0|0
11123|172652|8|The Deep Sea King||深海の王|25|23.11.2015 00:00|8.49|30|0|0
11123|173160|9|Unyielding Justice||不屈の正義|25|30.11.2015 00:00|9.16|34|0|0
11123|173159|10|Unparalleled Peril||かつてない程の危機|25|07.12.2015 00:00|8.33|33|0|0
11123|173158|11|The Dominator of the Universe||全宇宙の覇者|25|14.12.2015 00:00|8.87|32|0|0
11123|173157|12|The Strongest Hero||最強のヒーロー|25|21.12.2015 00:00|9.71|37|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
11123|171284|0|1638848|0|||||0|90|unknown|0x0|||||1|0|0|rl
11123|171297|0|1639589|0|||||0|90|unknown|0x0|||||1|0|0|rl
11123|172377|0|1651658|0|||||0|90|unknown|0x0|||||1|0|0|rl
11123|172376|0|1651657|0|||||0|90|unknown|0x0|||||1|0|0|rl
11123|172655|0|1657428|0|||||0|90|unknown|0x0|||||1|0|0|rl
11123|172654|0|1657427|0|||||0|90|unknown|0x0|||||1|0|0|rl
11123|172653|0|1657426|0|||||0|90|unknown|0x0|||||1|0|0|rl
11123|172652|0|1657425|0|||||0|90|unknown|0x0|||||1|0|0|rl
11123|173160|0|1669445|0|||||0|90|unknown|0x0|||||1|0|0|rl
11123|173159|0|1669444|0|||||0|90|unknown|0x0|||||1|0|0|rl
11123|173158|0|1669443|0|||||0|90|unknown|0x0|||||1|0|0|rl
11123|173157|0|1669442|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


