AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
112|585|1|Complete Movie|||125|20.07.2001 00:00|9.42|30|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
112|585|670|65608|724647161|f69698668e1af8510376ec15be792fe4|33f5a363f00edd02a6c265437f91b017|56ca729a531bef7ad27e9cc4aa4f7e0aff7af35e|4dc2d666|7476|10|very high|576x324|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
GROUPS
GID|AGID|Name|ShortName|State
670|7889|Anime-Supreme|a-S|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|100
17|Comedy|0|200
183|Contemporary Fantasy|0|200
200|Dragon|0|200
289|Earth|0|100
15|Fantasy|0|600
291|Fantasy World|0|600
23|Japan|0|100
175|Magic|0|400
78|Mina|0|600
275|New|0|600
209|Parallel Universe|0|600
11|Present|0|600
198|Romance|0|200
84|Violence|0|300
509|Witch|0|300


