AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
11272|171744|1|Curse||タタリ|25|04.10.2015 00:00|7.38|12|0|0
11272|171743|2|The Righteous Man||義侠の男|25|11.10.2015 00:00|6.51|9|0|0
11272|171742|3|The Road to the Capital||帝都への道|25|18.10.2015 00:00|5.66|8|0|0
11272|171741|4|The Imperial Capital||帝都|25|25.10.2015 00:00|5.70|8|0|0
11272|172634|5|The Pirate Girl||海賊娘|25|01.11.2015 00:00|6.58|8|0|0
11272|172633|6|The Master of the Inn||楼閣の主|25|08.11.2015 00:00|9.62|7|0|0
11272|172632|7|The Young Princess||幼き皇女|25|15.11.2015 00:00|4.32|6|0|0
11272|172631|8|Imperial Capital Detective Stories||帝都捕物帳|25|22.11.2015 00:00|4.44|5|0|0
11272|173294|9|Messengers from the Land Where Gods Sleep||神眠りし國の使者|25|29.11.2015 00:00|5.09|5|0|0
11272|173293|10|In Love||恋慕|25|06.12.2015 00:00|4.00|6|0|0
11272|173292|11|The Princess Plays with Fire||皇女の火遊び|25|13.12.2015 00:00|3.69|5|0|0
11272|173291|12|Kamunagi of Chains||鎖の巫|25|20.12.2015 00:00|5.52|5|0|0
11272|173625|13|The Eight Pillar Generals||八柱将|25|03.01.2016 00:00|3.96|5|0|0
11272|173938|14|Blade Master||剣豪|25|10.01.2016 00:00|4.27|6|0|0
11272|173937|15|Masks||仮面|25|17.01.2016 00:00|5.80|7|0|0
11272|173936|16|Banquet||宴|25|24.01.2016 00:00|5.42|6|0|0
11272|174514|17|Afterglow||残照|25|31.01.2016 00:00|7.89|6|0|0
11272|174513|18|Invasion||侵攻|25|07.02.2016 00:00|3.41|6|0|0
11272|174512|19|In Flames||炎上|25|14.02.2016 00:00|3.72|6|0|0
11272|174511|20|Warrior||武人|25|21.02.2016 00:00|3.34|6|0|0
11272|175006|21|Death of the Emperor||崩御|25|28.02.2016 00:00|4.62|6|0|0
11272|175005|22|Rescue||救出|25|06.03.2016 00:00|5.99|6|0|0
11272|175004|23|Escape||脱出|25|13.03.2016 00:00|3.45|6|0|0
11272|175003|24|What Makes a Ruler||覇者たるもの|25|20.03.2016 00:00|4.55|6|0|0
11272|176040|25|Who Carries On His Will||意志を継ぐもの|25|27.03.2016 00:00|5.92|8|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
11272|171744|0|1644361|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|171743|0|1644360|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|171742|0|1644359|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|171741|0|1644358|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|172634|0|1657305|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|172633|0|1657304|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|172632|0|1657303|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|172631|0|1657302|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|173294|0|1670672|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|173293|0|1670671|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|173292|0|1670670|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|173291|0|1670669|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|173625|0|1679762|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|173938|0|1688912|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|173937|0|1688911|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|173936|0|1688910|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|174514|0|1709747|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|174513|0|1709746|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|174512|0|1709745|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|174511|0|1709744|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|175006|0|1723284|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|175005|0|1723283|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|175004|0|1723282|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|175003|0|1723281|0|||||0|90|unknown|0x0|||||1|0|0|rl
11272|176040|0|1736472|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


