AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
11292|174146|1|Flashing Before My Eyes||走馬灯|25|08.01.2016 00:00|8.52|59|0|0
11292|174145|2|Palm of the Hand||掌|25|15.01.2016 00:00|8.80|51|0|0
11292|174144|3|Birthmark||痣|25|22.01.2016 00:00|8.70|48|0|0
11292|174143|4|Accomplishment||達成|25|29.01.2016 00:00|8.74|46|0|0
11292|174612|5|Getaway||逃走|25|05.02.2016 00:00|7.04|39|0|0
11292|174611|6|Grim Reaper||死神|25|12.02.2016 00:00|7.48|39|0|0
11292|174610|7|Out of Control||暴走|25|19.02.2016 00:00|7.84|32|0|0
11292|174609|8|Spiral||螺旋|25|26.02.2016 00:00|8.23|34|0|0
11292|175381|9|Closure||終幕|25|04.03.2016 00:00|8.08|32|0|0
11292|175380|10|Joy||歓喜|25|11.03.2016 00:00|7.81|34|0|0
11292|175379|11|Future||未来|25|18.03.2016 00:00|6.78|32|0|0
11292|175378|12|Treasure||宝物|25|25.03.2016 00:00|7.50|35|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
11292|174146|0|1694875|0|||||0|90|unknown|0x0|||||1|0|0|rl
11292|174145|0|1694874|0|||||0|90|unknown|0x0|||||1|0|0|rl
11292|174144|0|1694873|0|||||0|90|unknown|0x0|||||1|0|0|rl
11292|174143|0|1694872|0|||||0|90|unknown|0x0|||||1|0|0|rl
11292|174612|0|1711405|0|||||0|90|unknown|0x0|||||1|0|0|rl
11292|174611|0|1711404|0|||||0|90|unknown|0x0|||||1|0|0|rl
11292|174610|0|1711403|0|||||0|90|unknown|0x0|||||1|0|0|rl
11292|174609|0|1711402|0|||||0|90|unknown|0x0|||||1|0|0|rl
11292|175381|0|1725896|0|||||0|90|unknown|0x0|||||1|0|0|rl
11292|175380|0|1725895|0|||||0|90|unknown|0x0|||||1|0|0|rl
11292|175379|0|1725894|0|||||0|90|unknown|0x0|||||1|0|0|rl
11292|175378|0|1725893|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


