AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
113|654|1|We Fall in Love||ぼくたちは, 恋していく|25|02.07.2002 00:00|7.86|23|0|2
113|653|2|I`m Growing||私, 成長してる..|25|09.07.2002 00:00|7.38|15|0|2
113|652|3|Together, Alone||ふたりで|25|16.07.2002 00:00|6.98|14|0|2
113|651|4|Fuyumi||ふゆみ先輩|25|23.07.2002 00:00|7.21|13|0|2
113|650|5|Liar||うそつき|25|30.07.2002 00:00|7.11|13|0|2
113|684|6|Classmates||クラスメイト|25|06.08.2002 00:00|7.44|13|0|2
113|2108|7|What I Want to Protect||守りたいもの|25|13.08.2002 00:00|6.17|13|0|2
113|2164|8|Everyone`s Changing||みんな変わっていく|25|20.08.2002 00:00|5.95|12|0|2
113|2295|9|Akemi||アケミ|25|27.08.2002 00:00|9.27|25|0|2
113|2342|10|And Then...||...そして|25|03.09.2002 00:00|7.88|10|0|2
113|2594|11|A Time for Us||2人だけの刻|25|10.09.2002 00:00|8.46|13|0|2
113|2857|12|Love Song||ラブ・ソング|25|17.09.2002 00:00|7.47|13|0|2
113|2956|13|And We Will Love||そして, ぼくたちは恋していく|25|24.09.2002 00:00|7.76|17|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
113|654|631|64832|181262014|6fbd1b9f23dc628f93b993bb77cec9ed|56d1d7e452d3e61b04848ff976ba6ac4|733fe9feb7c4fc9193fafa129d9c0fc805ab73b3|9778fbc9|1458|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|4097|2|mkv
113|653|631|64828|181534976|fcda7c76a9727f6c4d03dfacbc236871|ae119d2568e66a9ed5f81706c53a7990|e1516cc37a195a761a1ee66df95b7c8f60e99e11|53381ef7|1458|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|4097|2|mkv
113|652|631|64833|185245513|f645d587baf3894f9a2bd915ba6e5c78|2ad3c5f503af715ceabcab8420399d1d|f6477109c6f08a9d6f5789a11aedcca5fdf3fac1|7721b63e|1456|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|4097|2|mkv
113|651|631|64834|183363616|29bd9db2f0d1c3765425857e376dd8af|7d29c1f1e30abf4927d7c6b91b2271ae|d32b2b62bd69627a1ba34ae0a9e55b22f546d096|ac8bd9ba|1458|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|4097|2|mkv
113|650|631|64830|181557344|3805d58289b25fd63df365b11736a810|bdae72b0ec915de983d533ed5cb731e1|6e8c52eb60b551965103cec07467984a54d86358|f7bab8ae|1457|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|4097|2|mkv
113|684|631|64831|183889842|23a61e8cdbdfbd8ff9a557857edf3b81|2baef69acc26c053b3171c17c69a8aa1|291d88dcba82331995cd91840f3d39873bbc9d9a|341cf7ca|1456|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|4097|2|mkv
113|2108|631|64829|182274417|cdea25c3d7a2a1a36051ddec88e085e6|6c477c27fa47fa52a8e5b6f96af27d23|63e683f927ae5e295fe3a7c2fb1eb8b3ffb3c4a9|f359e6af|1456|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|4097|2|mkv
113|2164|631|70465|182360712|13dac6cb609ef7c2b5c4413cffcca16c|8229cc41cb382c0647c78983bfea9b23|01e0417c55484a720b81082717d3474a1d992560|b30cd9d1|1457|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|4097|2|mkv
113|2295|631|70467|182546199|0eb1aaab4f3ba83d52338c74ac35437e|9c5835a251bc7d5e89d5483a23ce61a6|b498067f543e654f9dadf043de3b3dd476871acc|79725fd9|1456|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|4097|2|mkv
113|2342|631|70466|183919532|804cbfcde55949198752c63a2765b88b|9072190e5f5d00fcb837f22562b65b80|81df878d4ee8e1ed692c79be35f27beeffceeb4c|3ddbc15b|1464|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|4097|2|mkv
113|2594|631|83833|182402867|4bbcfa1e234fdaf9207a04336859c32e|01497222e039607d896d604a9324df7f|52bef7d0a13db88a0d3bf96f104c93ca30baa5b6|92da5ca2|1457|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|4097|2|mkv
113|2857|631|83835|182846192|ad9bae2bc819852d30d6859b402d7b13|eb845a06e4341a382fc7d3045a073c32|854ee41cbb6caee0894fb66d3d97fb56b674af9d|a95f4494|1457|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|4097|2|mkv
113|2956|631|83834|181960023|4e17ded50089709d1380e23590af4597|60d3187701eba772045fbc6b5707d8f0|d3ff253d8c51f00bd354b25347965a9a8b5246c1|8326446f|1448|10|very high|704x396|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|4097|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
631|7624|Vision-Anime|V-A|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|100
259|Air Force|0|100
127|Alternative Present|0|600
252|Angst|0|400
464|Anti-War|0|600
22|Asia|0|600
17|Comedy|0|100
330|Coming of Age|0|200
473|Confession|0|200
120|Cyborgs|0|400
461|Debacle|0|600
289|Earth|0|600
468|Earthquake|0|200
282|Ecchi|0|200
439|Hokkaido|0|400
154|Horror|0|100
23|Japan|0|600
230|Love Polygon|0|200
273|Manga|0|600
74|Mechanical Tentacle|0|100
171|Military|0|200
433|Netorare|0|200
88|Nudity|0|200
233|Plot Continuity|0|600
11|Present|0|600
198|Romance|0|600
457|School Festival|0|100
21|School Life|0|300
8|Sci-Fi|0|200
79|Seinen|0|600
86|Sex|0|200
338|Shotacon|0|100
505|Slow When It Comes to Love|0|200
342|Super Deformed|0|100
18|Super Power|0|200
235|Tragedy|0|600
536|Unrequited Love|0|300
84|Violence|0|200
467|War|0|400


