AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
11370|176270|1|The End of the Beginning and the Beginning of the End||始まりの終わりと終わりの始まり|50|04.04.2016 00:00|7.20|40|0|0
11370|176269|2|Reunion with the Witch||再会の魔女|25|11.04.2016 00:00|7.22|33|0|0
11370|176268|3|Starting Life from Zero in Another World||ゼロから始まる異世界生活|25|18.04.2016 00:00|8.74|34|0|0
11370|176267|4|The Happy Roswaal Mansion Family||ロズワール邸の団欒|25|25.04.2016 00:00|7.43|30|0|0
11370|176983|5|The Morning of Our Promise Is Still Distant||約束した朝は遠く|25|02.05.2016 00:00|7.11|30|0|0
11370|176982|6|The Sound of Chains||鎖の音|25|09.05.2016 00:00|7.28|29|0|0
11370|176981|7|Natsuki Subaru`s Restart||ナツキ・スバルのリスタート|25|16.05.2016 00:00|9.10|34|0|0
11370|176980|8|I Cried, Cried My Lungs Out, and Stopped Crying||泣いて泣き喚いて泣き止んだから|25|23.05.2016 00:00|7.32|29|0|0
11370|177616|9|The Meaning of Courage||勇気の意味|25|30.05.2016 00:00|7.98|31|0|0
11370|177615|10|Fanatical Methods Like a Demon||鬼がかったやり方|25|06.06.2016 00:00|7.47|31|0|0
11370|177614|11|Rem||レム|25|13.06.2016 00:00|7.73|38|0|0
11370|177613|12|Return to the Capital||再来の王都|25|20.06.2016 00:00|6.75|32|0|0
11370|178108|13|Self-Proclaimed Knight Natsuki Subaru||自称騎士ナツキ・スバル|25|27.06.2016 00:00|4.77|35|0|0
11370|178107|14|The Sickness Called Despair||絶望という病|30|04.07.2016 00:00|6.34|31|0|0
11370|178106|15|The Outside of Madness||狂気の外側|25|11.07.2016 00:00|9.11|59|0|0
11370|178105|16|The Greed of a Pig||豚の欲望|25|18.07.2016 00:00|5.70|30|0|0
11370|178703|17|Disgrace in the Extreme||醜態の果てに|25|25.07.2016 00:00|5.53|32|0|0
11370|178702|18|From Zero||ゼロから|30|01.08.2016 00:00|7.83|46|0|0
11370|178701|19|Battle Against the White Whale||白鯨攻略戦|25|08.08.2016 00:00|8.42|32|0|0
11370|178700|20|Wilhelm van Astrea||ヴィルヘルム・ヴァン・アストレア|25|15.08.2016 00:00|8.56|29|0|0
11370|179430|21|A Wager That Defies Despair||絶望に抗う賭け|25|22.08.2016 00:00|9.40|30|0|0
11370|179429|22|A Flash of Sloth||怠惰一閃|25|29.08.2016 00:00|7.55|24|0|0
11370|179428|23|Nefarious Sloth||悪辣なる怠惰|25|05.09.2016 00:00|8.32|30|0|0
11370|179427|24|The Self-Proclaimed Knight and the Greatest Knight||自称騎士と最優の騎士|25|12.09.2016 00:00|7.42|27|0|0
11370|179707|25|That`s All This Story Is About||ただそれだけの物語|30|19.09.2016 00:00|8.09|26|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
11370|176270|0|1740502|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|176269|0|1740501|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|176268|0|1740500|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|176267|0|1740499|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|176983|0|1759716|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|176982|0|1759715|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|176981|0|1759714|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|176980|0|1759713|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|177616|0|1779170|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|177615|0|1779169|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|177614|0|1779168|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|177613|0|1779167|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|178108|0|1795348|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|178107|0|1795347|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|178106|0|1795346|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|178105|0|1795345|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|178703|0|1805100|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|178702|0|1805099|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|178701|0|1805098|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|178700|0|1805097|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|179430|0|1815952|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|179429|0|1815951|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|179428|0|1815950|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|179427|0|1815949|0|||||0|90|unknown|0x0|||||1|0|0|rl
11370|179707|0|1818808|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


