AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1153|12416|1|Complete Movie|||70|02.11.2003 00:00|7.77|6|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1153|12416|3715|35033|685348864|dbf29b3563f3f60e007ab978e92b4c27|660078c08e3c644262dd62d2aa9638ee|fdf07585d2c93dae9c3981d95735f60ab1d3ac52|f245f870|3912|10|high|576x432|DivX3|MP3 VBR||instrumental|1|0|2|avi
GROUPS
GID|AGID|Name|ShortName|State
3715|18964|MAGiCAL|mgl|complete
GENREN
GenID|GenName|isHentai|Weight 
184|Alien|0|400
127|Alternative Present|0|400
226|Band|0|600
12|Future|0|600
185|Humanoid Alien|0|400
78|Mina|0|600
225|Music|0|500
128|Other Planet|0|300
8|Sci-Fi|0|400
129|Shipboard|0|400
19|Space|0|300
235|Tragedy|0|300


