AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
11739|176453|1|Izuku Midoriya: Origin||緑谷出久: オリジン|25|03.04.2016 00:00|5.55|22|0|0
11739|176452|2|What It Takes to Be a Hero||ヒーローの条件|25|10.04.2016 00:00|7.22|20|0|0
11739|176451|3|Roaring Muscles||うなれ筋肉|25|17.04.2016 00:00|6.67|14|0|0
11739|176450|4|Start Line||スタートライン|25|24.04.2016 00:00|8.82|14|0|0
11739|176971|5|What I Can Do for Now||今 僕に出来ることを|25|01.05.2016 00:00|7.69|14|0|0
11739|176970|6|Rage, You Damn Nerd||猛れクソナード|25|08.05.2016 00:00|7.20|12|0|0
11739|176969|7|Deku vs. Kacchan||デクvsかっちゃん|25|15.05.2016 00:00|7.89|11|0|0
11739|176968|8|Bakugo`s Start Line||スタートライン, 爆豪の.|25|22.05.2016 00:00|5.61|12|0|0
11739|177608|9|Yeah, Just Do Your Best, Iida!||いいぞガンバレ飯田くん!|25|29.05.2016 00:00|6.47|11|0|0
11739|177607|10|Encounter with the Unknown||未知との遭遇|25|05.06.2016 00:00|8.56|13|0|0
11739|177606|11|Game Over||ゲームオーバー|25|12.06.2016 00:00|9.28|13|0|0
11739|177605|12|All Might||オールマイト|25|19.06.2016 00:00|9.25|14|0|0
11739|178041|13|In Each of Our Hearts||各々の胸に|25|26.06.2016 00:00|8.20|13|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
11739|176453|0|1745154|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|176452|0|1745153|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|176451|0|1745152|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|176450|0|1745151|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|176971|0|1759704|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|176970|0|1759703|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|176969|0|1759702|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|176968|0|1759701|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|177608|0|1779162|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|177607|0|1779161|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|177606|0|1779160|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|177605|0|1779159|0|||||0|90|unknown|0x0|||||1|0|0|rl
11739|178041|0|1793416|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


