AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
11746|180662|1|Mid-summer Fanfare||まなつのファンファーレ|50|06.10.2016 00:00|8.20|17|0|0
11746|180813|2|Hesitation Flute||とまどいフルート|25|13.10.2016 00:00|7.60|16|0|0
11746|180812|3|Troubled Nocturnes||なやめるノクターン|25|20.10.2016 00:00|7.16|16|0|0
11746|180811|4|Awakening Oboe||めざめるオーボエ|25|27.10.2016 00:00|8.19|16|0|0
11746|180989|5|Miraculous Harmony||きせきのハーモニー|25|03.11.2016 00:00|9.73|19|0|0
11746|181336|6|Rainy Conductor||あめふりコンダクター|25|10.11.2016 00:00|8.06|16|0|0
11746|181335|7|Station Concert||えきびるコンサート|25|17.11.2016 00:00|7.34|16|0|0
11746|181334|8|Rhapsody in Flu||かぜひきラプソディー|25|24.11.2016 00:00|6.39|15|0|0
11746|182187|9|Sound! Euphonium||ひびけ! ユーフォニアム|25|01.12.2016 00:00|8.87|17|0|0
11746|182186|10|After-school Obbligato||ほうかごオベリガート|25|08.12.2016 00:00|9.06|16|0|0
11746|182185|11|First Love Trumpet||はつこいトランペット|25|15.12.2016 00:00|8.87|15|0|0
11746|182184|12|The Last Competition||さいごのコンクール|25|22.12.2016 00:00|8.44|15|0|0
11746|182183|13|Early-Spring Epilogue||はるさきエピローグ|25|29.12.2016 00:00|9.35|16|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
11746|180662|0|1837163|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|180813|0|1840506|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|180812|0|1840505|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|180811|0|1840504|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|180989|0|1844456|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|181336|0|1847507|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|181335|0|1847506|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|181334|0|1847505|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|182187|0|1860578|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|182186|0|1860577|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|182185|0|1860576|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|182184|0|1860575|0|||||0|90|unknown|0x0|||||1|0|0|rl
11746|182183|0|1860574|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


