AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
12233|186168|1|That`s the Idea, Ochaco||そういうことね お茶子さん|25|01.04.2017 00:00|4.15|14|0|0
12233|186167|2|Roaring Sports Festival||うなれ体育祭|25|08.04.2017 00:00|7.21|13|0|0
12233|186166|3|In Their Own Quirky Ways||みんな個性的でいいね|25|15.04.2017 00:00|9.38|13|0|0
12233|186165|4|Strategy, Strategy, Strategy||策策策|25|22.04.2017 00:00|8.45|12|0|0
12233|187016|5|Cavalry Battle Finale||騎馬戦決着|25|29.04.2017 00:00|8.92|14|0|0
12233|187015|6|The Boy Born with Everything||全てを持って生まれた男の子|25|06.05.2017 00:00|5.07|12|0|0
12233|187014|7|Victory or Defeat||勝ち負け|25|13.05.2017 00:00|7.65|11|0|0
12233|187013|8|Battle On, Challengers!||奮え! チャレンジャー|25|20.05.2017 00:00|8.54|11|0|0
12233|187606|9|Bakugo vs. Uraraka||爆豪VS麗日|25|27.05.2017 00:00|9.18|12|0|0
12233|187605|10|Shoto Todoroki: Origin||轟焦凍: オリジン|25|03.06.2017 00:00|9.58|18|0|0
12233|187604|11|Fight On, Iida||飯田くんファイト|25|10.06.2017 00:00|7.65|11|0|0
12233|187603|12|Todoroki vs. Bakugo||轟VS爆豪|25|17.06.2017 00:00|8.29|11|0|0
12233|188210|13|Time to Pick Some Names||名前をつけてみようの会|25|24.06.2017 00:00|5.24|11|0|0
12233|188209|14|Bizarre! Gran Torino Appears||怪奇! グラントリノ現る|25|08.07.2017 00:00|6.36|11|0|0
12233|188208|15|Midoriya and Shigaraki||緑谷と死柄木|25|15.07.2017 00:00|7.46|10|0|0
12233|188207|16|Hero Killer: Stain vs U.A. Students||ヒーロー殺しステインVS雄英生徒|25|22.07.2017 00:00|9.37|12|0|0
12233|189104|17|Climax||決着|25|29.07.2017 00:00|9.44|12|0|0
12233|189103|18|The Aftermath of Hero Killer: Stain||「ヒーロー殺しステイン」その余波|25|05.08.2017 00:00|5.83|11|0|0
12233|189102|19|Everyone`s Internships||それぞれの職場体験|25|12.08.2017 00:00|4.32|12|0|0
12233|189101|20|Listen Up!! A Tale from the Past||知れ!! 昔の話|25|19.08.2017 00:00|6.57|12|0|0
12233|189955|21|Gear Up for Final Exams||備えろ期末テスト|25|02.09.2017 00:00|6.03|11|0|0
12233|189954|22|Yaoyorozu: Rising||八百万: ライジング|25|09.09.2017 00:00|6.43|11|0|0
12233|189953|23|Stripping the Varnish||むけろ一皮|25|16.09.2017 00:00|6.29|12|0|0
12233|189952|24|Katsuki Bakugo: Origin||爆豪勝己: オリジン|25|23.09.2017 00:00|8.85|13|0|0
12233|190147|25|Encounter||エンカウンター|25|30.09.2017 00:00|6.09|11|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
12233|186168|0|1901508|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|186167|0|1901507|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|186166|0|1901506|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|186165|0|1901505|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|187016|0|1913174|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|187015|0|1913173|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|187014|0|1913172|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|187013|0|1913171|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|187606|0|1926723|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|187605|0|1926722|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|187604|0|1926721|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|187603|0|1926720|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|188210|0|1935234|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|188209|0|1935233|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|188208|0|1935232|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|188207|0|1935231|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|189104|0|1952320|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|189103|0|1952319|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|189102|0|1952318|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|189101|0|1952317|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|189955|0|1963165|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|189954|0|1963164|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|189953|0|1963163|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|189952|0|1963162|0|||||0|90|unknown|0x0|||||1|0|0|rl
12233|190147|0|1965541|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


