AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1283|14958|1|Stolen Purity||奪われた純潔|30|25.06.2002 00:00|7.37|4|0|2
1283|15236|2|Please Don`t Undress Me...||制服を脱がさないで...|30|25.01.2003 00:00|7.64|4|0|2
1283|15242|3|Paint the School Red||乱痴気祭り|30|25.07.2003 00:00|6.18|4|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1283|14958|2388|174055|885094746|9e6ebe6f70d95032567bd4c6410d7b9b|6422e6ca9a73b8592814cf5d66ca2e79|f4906c3364528aee6311799992f78bd625fb5e44|5c836aac|4800|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|4161|2|mkv
1283|15236|2388|174055|885094746|9e6ebe6f70d95032567bd4c6410d7b9b|6422e6ca9a73b8592814cf5d66ca2e79|f4906c3364528aee6311799992f78bd625fb5e44|5c836aac|4800|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|4161|2|mkv
1283|15242|2388|174055|885094746|9e6ebe6f70d95032567bd4c6410d7b9b|6422e6ca9a73b8592814cf5d66ca2e79|f4906c3364528aee6311799992f78bd625fb5e44|5c836aac|4800|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|4161|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
2388|20439|Hentai-Society|H-S|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
366|Ahegao|0|300
70|Anal|1|600
22|Asia|0|600
327|BDSM|0|200
524|Blackmail|0|200
57|Bondage|0|200
358|Bukkake|1|200
229|Chikan|1|100
360|Cream Pie|1|200
357|Cunnilingus|1|400
65|Dildos - Vibrators|1|400
373|Doggy Style|1|300
359|Double Penetration|1|300
289|Earth|0|600
407|Enema|1|100
416|Enjoyable Rape|1|100
353|Fellatio|1|400
60|Female Student|0|600
336|Female Teacher|0|400
363|Femdom|0|200
368|Fisting|1|200
333|Gangbang|1|400
554|Girl Rapes Another Girl|0|300
523|Hidden Vibrator|1|100
301|Housewives|0|100
23|Japan|0|600
411|Lingerie|0|200
273|Manga|0|600
34|Masturbation|0|300
88|Nudity|0|600
377|Pantyjob|0|200
370|Paper Clothes|0|100
11|Present|0|600
435|Prostitution|0|100
417|Public Sex|0|100
379|Pussy in Your Face|0|100
33|Rape|1|100
21|School Life|0|100
86|Sex|0|600
409|Sexual Fantasies|0|100
397|Shibari|0|300
496|Shower Scene|0|100
429|Slavery|0|400
546|Squirting|0|300
425|Teacher x Student|0|300
47|Torture|0|400
480|Uncensored Version Available|1|600
84|Violence|0|300
61|Virginity|1|200
147|Volleyball|0|100
544|Voyeurism|0|200
37|Yuri|1|300


