AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
13485|197630|1|Game Start||ゲーム・スタート|25|07.04.2018 00:00|2.09|12|0|0
13485|197629|2|Wild, Wild Pussycats||ワイルド・ワイルド・プッシーキャッツ|25|14.04.2018 00:00|6.90|9|0|0
13485|197628|3|Kota||洸汰くん|25|21.04.2018 00:00|6.28|9|0|0
13485|197627|4|My Hero||僕のヒーロー|25|28.04.2018 00:00|9.84|16|0|0
13485|198292|5|Drive It Home, Iron Fist!!!||ブチ込む鉄拳!!!|25|05.05.2018 00:00|9.09|8|0|0
13485|198291|6|Roaring Upheaval||がなる風雲急|25|12.05.2018 00:00|9.57|8|0|0
13485|198290|7|What a Twist!||転転転!|25|19.05.2018 00:00|8.82|10|0|0
13485|198289|8|From Iida to Midoriya||飯田から緑谷へ|25|26.05.2018 00:00|7.44|9|0|0
13485|199574|9|All for One||オール・フォー・ワン|25|02.06.2018 00:00|8.75|10|0|0
13485|199573|10|Symbol of Peace||平和の象徴|25|09.06.2018 00:00|9.70|12|0|0
13485|199572|11|One for All||ワン・フォー・オール|25|16.06.2018 00:00|10.00|17|0|0
13485|199571|12|End of the Beginning, Beginning of the End||始まりの終わり 終わりの始まり|25|23.06.2018 00:00|8.41|11|0|0
13485|201641|13|Moving into Dorms||入れ寮|25|30.06.2018 00:00|7.50|10|0|0
13485|202047|14|Create Those Ultimate Moves||編め必殺技|25|14.07.2018 00:00|6.62|9|0|0
13485|202347|15|The Test||THE試験|25|21.07.2018 00:00|7.32|9|0|0
13485|202346|16|Shiketsu High Lurking||這い寄る士傑高校|25|28.07.2018 00:00|8.36|10|0|0
13485|203224|17|Class 1-A||1年A組|25|04.08.2018 00:00|8.46|9|0|0
13485|203223|18|Rush!||RUSH!|25|11.08.2018 00:00|8.65|10|0|0
13485|203222|19|Rescue Exercises||救助演習|25|18.08.2018 00:00|7.09|8|0|0
13485|203221|20|Save the World with Love!||愛で地球を救え!|25|25.08.2018 00:00|3.36|11|0|0
13485|204354|21|What`s the Big Idea?||何をしてんだよ|25|01.09.2018 00:00|8.70|8|0|0
13485|204353|22|A Talk About Your Quirk||てめェの"個性"の話だ|25|08.09.2018 00:00|8.32|8|0|0
13485|204352|23|Deku vs. Kacchan, Part 2||デクvsかっちゃん2|25|15.09.2018 00:00|8.41|9|0|0
13485|204351|24|A Season for Encounters||出会いの季節|25|22.09.2018 00:00|5.99|8|0|0
13485|205930|25|Unrivaled||無敵|25|29.09.2018 00:00|7.04|6|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
13485|197630|0|2070446|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|197629|0|2070445|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|197628|0|2070444|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|197627|0|2070443|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|198292|0|2082066|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|198291|0|2082065|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|198290|0|2082064|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|198289|0|2082063|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|199574|0|2096548|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|199573|0|2096547|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|199572|0|2096546|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|199571|0|2096545|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|201641|0|2112706|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|202047|0|2117736|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|202347|0|2120232|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|202346|0|2120231|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|203224|0|2129748|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|203223|0|2129747|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|203222|0|2129746|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|203221|0|2129745|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|204354|0|2143860|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|204353|0|2143859|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|204352|0|2143858|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|204351|0|2143857|0|||||0|90|unknown|0x0|||||1|0|0|rl
13485|205930|0|2151690|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


