AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
14107|213480|1|Cruelty||残酷|25|06.04.2019 00:00|7.54|25|0|0
14107|213481|2|Trainer Sakonji Urokodaki||育手・鱗滝左近次|25|13.04.2019 00:00|6.72|24|0|0
14107|213482|3|Sabito and Makomo||錆兎と真菰|25|20.04.2019 00:00|5.64|20|0|0
14107|213483|4|Final Selection||最終選別|25|27.04.2019 00:00|7.24|21|0|0
14107|215637|5|My Own Steel||己の鋼|25|04.05.2019 00:00|6.69|18|0|0
14107|215638|6|Swordsman Accompanying a Demon||鬼を連れた剣士|25|11.05.2019 00:00|6.30|19|0|0
14107|215639|7|Muzan Kibutsuji||鬼舞辻無慘|25|18.05.2019 00:00|7.27|19|0|0
14107|215640|8|The Smell of Enchanting Blood||幻惑の血の香り|25|25.05.2019 00:00|7.78|18|0|0
14107|217192|9|Temari Demon and Arrow Demon||手毬鬼と矢印鬼|25|01.06.2019 00:00|6.29|16|0|0
14107|217193|10|Together Forever||ずっと一緒にいる|25|08.06.2019 00:00|7.69|16|0|0
14107|217194|11|Tsuzumi Mansion||鼓の屋敷|25|15.06.2019 00:00|5.23|18|0|0
14107|217195|12|The Boar Bares Its Fangs, Zenitsu Sleeps||猪は牙を剥き 善逸は眠る|25|22.06.2019 00:00|6.78|18|0|0
14107|218001|13|Something More Important Than Life||命より大事なもの|25|29.06.2019 00:00|6.29|17|0|0
14107|218002|14|The House with the Wisteria Family Crest||藤の花の家紋の家|25|06.07.2019 00:00|4.84|18|0|0
14107|218003|15|Mount Natagumo||那田蜘蛛山|25|13.07.2019 00:00|5.31|18|0|0
14107|218004|16|Letting Someone Else Go First||自分ではない誰かを前へ|25|20.07.2019 00:00|7.28|16|0|0
14107|218715|17|You Must Master a Single Thing||ひとつのことを極め抜け|25|27.07.2019 00:00|7.36|17|0|0
14107|218716|18|A Forged Bond||偽物の絆|25|03.08.2019 00:00|7.21|16|0|0
14107|218717|19|Hinokami||ヒノカミ|25|10.08.2019 00:00|9.74|34|0|0
14107|218718|20|Pretend Family||寄せ集めの家族|25|17.08.2019 00:00|7.28|18|0|0
14107|219257|21|Against Corps Rules||隊律違反|25|24.08.2019 00:00|7.02|15|0|0
14107|219258|22|Master of the Mansion||お館様|25|31.08.2019 00:00|6.38|18|0|0
14107|219259|23|Hashira Meeting||柱合会議|25|07.09.2019 00:00|6.38|16|0|0
14107|219260|24|Rehabilitation Training||機能回復訓練|25|14.09.2019 00:00|5.92|17|0|0
14107|219261|25|Tsuguko, Kanao Tsuyuri||継子・栗花落カナヲ|25|21.09.2019 00:00|6.14|18|0|0
14107|219262|26|New Mission||新たなる任務|25|28.09.2019 00:00|7.32|16|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
14107|213480|0|2253062|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|213481|0|2253063|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|213482|0|2253064|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|213483|0|2253065|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|215637|0|2277290|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|215638|0|2277291|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|215639|0|2277292|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|215640|0|2277293|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|217192|0|2291066|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|217193|0|2291067|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|217194|0|2291068|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|217195|0|2291069|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|218001|0|2302384|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|218002|0|2302385|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|218003|0|2302386|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|218004|0|2302387|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|218715|0|2318468|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|218716|0|2318469|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|218717|0|2318470|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|218718|0|2318471|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|219257|0|2332399|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|219258|0|2332400|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|219259|0|2332401|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|219260|0|2332402|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|219261|0|2332403|0|||||0|90|unknown|0x0|||||1|0|0|rl
14107|219262|0|2332404|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


