AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
14201|235896|1|Reincarnation, in Another World?||転生, 異世界?|25|08.01.2021 00:00|6.15|17|0|0
14201|235897|2|My House, on Fire?||マイホーム, 炎上?|25|15.01.2021 00:00|6.37|15|0|0
14201|235898|3|Earth Wyrm (Dragon), Bad News?||地竜(龍), ヤバい?|25|22.01.2021 00:00|5.52|14|0|0
14201|235899|4|Monkey, Wha-?||猿, ホアー?|25|29.01.2021 00:00|7.83|13|0|0
14201|236868|5|Does Catfish, Taste Good?||なまずって, おいしい?|25|05.02.2021 00:00|7.45|12|0|0
14201|236869|6|The Hero, and the Demon Lord?||勇者と, 魔王?|25|12.02.2021 00:00|7.30|12|0|0
14201|236870|7|Springtime, for Princes?||王子たち, 青春する?|25|19.02.2021 00:00|6.46|12|0|0
14201|236871|8|Am I, Dead?||私, 死す?|25|26.02.2021 00:00|6.95|11|0|0
14201|237631|9|I Can`t Speak, Isekai?||アイキャントスピーク, イセカイゴ?|25|05.03.2021 00:00|6.90|11|0|0
14201|237632|10|Who Is This, Geezer?||このじじい, 誰?|25|12.03.2021 00:00|7.19|12|0|0
14201|237633|11|Next Time, Is the Big Battle?||次回, 決戦?|25|19.03.2021 00:00|6.31|13|0|0
14201|237634|12|My Battle Has, Only Just Begun?||私の戦いは, これからだ?|25|26.03.2021 00:00|7.89|13|0|0
14201|238472|13|Yay, the Outside, I`m Free?||やったー, 外だー 私は自由...... だ?|25|09.04.2021 00:00|7.22|11|0|0
14201|238473|14|You`re Rebelling? I`m, Self-Deprecating||おまえ反逆? 私, 自虐|25|16.04.2021 00:00|3.53|11|0|0
14201|238474|15|Did Mother, Send These Annoying Puppet Spiders?||マザー, からの厄介蜘蛛人形?|25|23.04.2021 00:00|6.66|11|0|0
14201|238475|16|Am I Getting, Ahead of Myself?||フライング, ゲット?|25|30.04.2021 00:00|5.07|11|0|0
14201|239706|17|What Am I, Doing?||私, なにしてる?|25|07.05.2021 00:00|6.25|10|0|0
14201|239707|18|You Guys Are Kind of Awful, Huh?||みんな, 腹黒くね?|25|14.05.2021 00:00|5.21|11|0|0
14201|239708|19|I Guess, This Is a Class Reunion?||ひらけ, 同窓会?|25|21.05.2021 00:00|6.58|10|0|0
14201|239709|20|This Isn`t My Fault, Is It?||私のせいじゃない, よね?|25|28.05.2021 00:00|6.51|11|0|0
14201|240469|21|So I`m Not in This One, Am I?||私, 出番ないってか?|25|04.06.2021 00:00|2.87|12|0|0
14201|240470|22|Be Forever, Me?||私よ, 永遠[とわ]に?|25|11.06.2021 00:00|4.01|9|0|0
14201|240471|23|My Old Friend, Why......?||友よ, なぜおまえは......?|25|18.06.2021 00:00|1.98|11|0|0
14201|240472|24|So I`m Still a Spider, So What?||まだ蜘蛛ですが, なにか?|25|03.07.2021 00:00|5.29|9|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
14201|235896|0|2667849|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|235897|0|2667850|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|235898|0|2667851|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|235899|0|2667852|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|236868|0|2693608|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|236869|0|2693609|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|236870|0|2693610|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|236871|0|2693611|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|237631|0|2716779|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|237632|0|2716780|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|237633|0|2716781|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|237634|0|2716782|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|238472|0|2737285|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|238473|0|2737286|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|238474|0|2737287|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|238475|0|2737288|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|239706|0|2763111|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|239707|0|2763112|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|239708|0|2763113|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|239709|0|2763114|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|240469|0|2779214|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|240470|0|2779215|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|240471|0|2779216|0|||||0|90|unknown|0x0|||||1|0|0|rl
14201|240472|0|2779217|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


