AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
14416|221750|1|The Scoop on U.A. Class 1-A||スクープ雄英1年A組|25|12.10.2019 00:00|3.34|11|0|0
14416|221751|2|Overhaul||オーバーホール|25|19.10.2019 00:00|5.72|9|0|0
14416|221752|3|Boy Meets...||ボーイ・ミーツ...|25|26.10.2019 00:00|5.13|7|0|0
14416|221753|4|Fighting Fate||抗う運命|25|09.11.2019 00:00|6.57|8|0|0
14416|223593|5|Let`s Go, Gutsy Red Riot||ガッツだレッツラレッドライオット|25|16.11.2019 00:00|6.48|7|0|0
14416|223594|6|An Unpleasant Talk||嫌な話|25|23.11.2019 00:00|7.06|8|0|0
14416|223595|7|Go!!||GO!!|25|30.11.2019 00:00|7.15|7|0|0
14416|223596|8|Suneater of the Big Three||ビッグ3のサンイーター|25|07.12.2019 00:00|6.25|9|0|0
14416|224845|9|Red Riot||烈怒頼雄斗|25|14.12.2019 00:00|7.97|9|0|0
14416|224846|10|Temp Squad||出向|25|21.12.2019 00:00|6.33|8|0|0
14416|224847|11|Lemillion||ルミリオン|25|28.12.2019 00:00|9.67|10|0|0
14416|224848|12|Unforeseen Hope||見えない希望|25|04.01.2020 00:00|8.43|9|0|0
14416|225683|13|Infinite 100%||無限100%|25|11.01.2020 00:00|9.34|10|0|0
14416|225684|14|Bright Future||明るい未来|25|18.01.2020 00:00|8.61|8|0|0
14416|225685|15|Smoldering Flames||燻る炎|25|25.01.2020 00:00|5.04|8|0|0
14416|225686|16|Win Those Kids` Hearts||掴めガキ心|25|01.02.2020 00:00|4.80|9|0|0
14416|226366|17|Relief for License Trainees||ホッコれ仮免講習|25|08.02.2020 00:00|5.10|8|0|0
14416|226367|18|School Festival||文化祭|25|15.02.2020 00:00|4.82|7|0|0
14416|226368|19|Prepping for the School Festival Is the Funnest Part||文化祭って準備してる時が一番楽しいよね|25|22.02.2020 00:00|5.18|7|0|0
14416|226369|20|Gold Tips Imperial||ゴールドティップスインペリアル|25|29.02.2020 00:00|4.46|6|0|0
14416|227079|21|Deku vs. Gentle Criminal||デクVSジェントル・クリミナル|25|07.03.2020 00:00|4.57|7|0|0
14416|227080|22|School Festival Start!!||開催文化祭!!|25|14.03.2020 00:00|7.67|8|0|0
14416|227081|23|Let It Flow! School Festival!||垂れ流せ! 文化祭!|25|21.03.2020 00:00|8.04|7|0|0
14416|227082|24|Japanese Hero Billboard Chart||ヒーロービルボードチャートJP|25|28.03.2020 00:00|5.76|7|0|0
14416|227676|25|His Start||始まりの|25|04.04.2020 00:00|9.97|10|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
14416|221750|0|2361673|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|221751|0|2361674|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|221752|0|2361675|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|221753|0|2361676|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|223593|0|2389764|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|223594|0|2389765|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|223595|0|2389766|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|223596|0|2389767|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|224845|0|2410274|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|224846|0|2410275|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|224847|0|2410276|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|224848|0|2410277|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|225683|0|2427264|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|225684|0|2427265|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|225685|0|2427266|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|225686|0|2427267|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|226366|0|2442598|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|226367|0|2442599|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|226368|0|2442600|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|226369|0|2442601|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|227079|0|2455993|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|227080|0|2455994|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|227081|0|2455995|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|227082|0|2455996|0|||||0|90|unknown|0x0|||||1|0|0|rl
14416|227676|0|2473476|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


