AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1456|20674|1|Complete Movie|||85|21.08.2004 00:00|5.98|15|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1456|20674|1412|144221|734166770|09a8cf24325e5b287871791413d83b89|cd139f3d13fd2d918b9ca09ac8cb126a|57aea6781f98f57db7ea3c55c4052f24685b605b|d367824a|4942|10|very high|768x432|XviD|MP3 CBR|english|japanese|1|1|3|avi
GROUPS
GID|AGID|Name|ShortName|State
1412|11780|Dattebayo|DB|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
306|Adventure|0|600
127|Alternative Present|0|600
291|Fantasy World|0|400
273|Manga|0|600
20|Martial Arts|0|400
29|Ninja|0|600
11|Present|0|600
5|Shounen|0|600
18|Super Power|0|600


