AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
147|2478|1|Rusty Angel||RUSTY ANGEL|30|21.06.1993 00:00|5.81|18|0|2
147|2479|2|Tears Sign||TEARS SIGN|30|21.08.1993 00:00|6.75|18|0|2
147|38632|C1|Ending|||3|21.06.1993 00:00|5.71|3|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
147|2478|631|99444|270679855|ff26a903b6cabf4a6bab6eb436a8bf21|184a4bb16d0f03070035da236f18f6ad|6b5e66f34bbf09e12a25d0e3ed94dc8f2d41e8ed|3d988803|1561|10|very high|720x480|XviD|AC3|english|japanese|1|4097|2|mkv
147|2479|631|99443|287934589|c2061fa58fecf0cdeccfab2030dd8239|1ea30f4e3b049244554171d6fd7a5a67|11a64cd09ba9f67c6a6c500b8b119624c168edf3|b5f4b4ec|1564|10|very high|720x480|XviD|AC3|english|japanese|1|1|2|mkv
147|38632|631|158596|43833175|e6cdfbad4265d70fc0cf246d6937e330|2cdb23c1efde3cb5900feb48eee3ecc8|414da624e01b502bca2ed3835e055d55bc28dc7c|05e72135|180|10|high|720x480|XviD|AC3|english|japanese|1|1|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
631|10319|Vision-Anime|V-A|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
532|Alcohol|0|200
280|Americas|0|600
119|Android|0|500
205|Bounty Hunter|0|500
253|Cyberpunk|0|600
120|Cyborgs|0|400
186|Dystopia|0|600
448|Floating Island|0|400
12|Future|0|600
273|Manga|0|600
74|Mechanical Tentacle|0|100
88|Nudity|0|300
487|Parental Abandonment|0|300
198|Romance|0|200
8|Sci-Fi|0|600
79|Seinen|0|600
86|Sex|0|100
235|Tragedy|0|300
295|Underworld|0|500
24|United States of America|0|600
84|Violence|0|300


