AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
14758|236075|1|Jobless Reincarnation||無職転生|25|11.01.2021 00:00|8.12|37|0|0
14758|236076|2|Master||師匠|25|18.01.2021 00:00|8.45|30|0|0
14758|236077|3|A Friend||友達|25|25.01.2021 00:00|7.24|30|0|0
14758|236078|4|Emergency Family Meeting||緊急家族会議|25|01.02.2021 00:00|7.24|30|0|0
14758|236950|5|A Young Lady and Violence||お嬢様と暴力|25|08.02.2021 00:00|7.91|28|0|0
14758|236951|6|A Day Off in Roa||ロアの休日|25|15.02.2021 00:00|5.85|28|0|0
14758|236952|7|What Lies Beyond Effort||努力の先にあるもの|25|22.02.2021 00:00|6.20|27|0|0
14758|236953|8|Turning Point 1||ターニングポイント1|25|01.03.2021 00:00|7.32|30|0|0
14758|237713|9|A Chance Encounter||邂逅|25|08.03.2021 00:00|7.28|26|0|0
14758|237714|10|The Value of a Life and the First Job||人の命と初仕事|25|15.03.2021 00:00|6.49|28|0|0
14758|237715|11|Children and Warriors||子供と戦士|25|22.03.2021 00:00|7.15|28|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
14758|236075|0|2670836|0|||||0|90|unknown|0x0|||||1|0|0|rl
14758|236076|0|2670837|0|||||0|90|unknown|0x0|||||1|0|0|rl
14758|236077|0|2670838|0|||||0|90|unknown|0x0|||||1|0|0|rl
14758|236078|0|2670839|0|||||0|90|unknown|0x0|||||1|0|0|rl
14758|236950|0|2697019|0|||||0|90|unknown|0x0|||||1|0|0|rl
14758|236951|0|2697020|0|||||0|90|unknown|0x0|||||1|0|0|rl
14758|236952|0|2697021|0|||||0|90|unknown|0x0|||||1|0|0|rl
14758|236953|0|2697022|0|||||0|90|unknown|0x0|||||1|0|0|rl
14758|237713|0|2719310|0|||||0|90|unknown|0x0|||||1|0|0|rl
14758|237714|0|2719311|0|||||0|90|unknown|0x0|||||1|0|0|rl
14758|237715|0|2719312|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


