AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
15111|232507|1|Wiene: Dragon`s Daughter||竜の少女[ウィーネ]|25|03.10.2020 00:00|7.27|9|0|0
15111|232508|2|Monster: One Wing||片翼[モンスター]|25|10.10.2020 00:00|5.79|10|0|0
15111|232509|3|Xenos: Outliers||異端児[ゼノス]|25|17.10.2020 00:00|5.67|11|0|0
15111|232510|4|Aspiration: Distant Dream||遠い夢[アコガレ]|25|24.10.2020 00:00|4.25|8|0|0
15111|233623|5|Ikelos Familia: King of Atrocity||惨劇の王者[イケロス・ファミリア]|25|31.10.2020 00:00|5.00|9|0|0
15111|233624|6|Knossos: Man-Made Labyrinth||人造迷宮[クノッソス]|25|07.11.2020 00:00|4.14|9|0|0
15111|233625|7|Dix Perdix: The Dreams of Beasts||獣の夢[ディックス・ペルディクス]|25|14.11.2020 00:00|5.33|10|0|0
15111|233626|8|Bell Cranel: The Fool||愚者[ベル・クラネル]|25|21.11.2020 00:00|7.24|12|0|0
15111|234434|9|Stigma: Downfall||零落[スティグマ]|25|28.11.2020 00:00|5.26|9|0|0
15111|234435|10|Invisible: Forced Breakthrough||強行突破[インビジブル]|25|05.12.2020 00:00|6.49|9|0|0
15111|234436|11|Ultra Soul: Decisive Battle||決戦[ウルトラソウル]|25|12.12.2020 00:00|6.78|10|0|0
15111|234437|12|Argonaut: Hero`s Return||英雄回帰[アルゴノゥト]|25|19.12.2020 00:00|4.05|8|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
15111|232507|0|2605826|0|||||0|90|unknown|0x0|||||1|0|0|rl
15111|232508|0|2605827|0|||||0|90|unknown|0x0|||||1|0|0|rl
15111|232509|0|2605828|0|||||0|90|unknown|0x0|||||1|0|0|rl
15111|232510|0|2605829|0|||||0|90|unknown|0x0|||||1|0|0|rl
15111|233623|0|2625300|0|||||0|90|unknown|0x0|||||1|0|0|rl
15111|233624|0|2625301|0|||||0|90|unknown|0x0|||||1|0|0|rl
15111|233625|0|2625302|0|||||0|90|unknown|0x0|||||1|0|0|rl
15111|233626|0|2625303|0|||||0|90|unknown|0x0|||||1|0|0|rl
15111|234434|0|2644580|0|||||0|90|unknown|0x0|||||1|0|0|rl
15111|234435|0|2644581|0|||||0|90|unknown|0x0|||||1|0|0|rl
15111|234436|0|2644582|0|||||0|90|unknown|0x0|||||1|0|0|rl
15111|234437|0|2644583|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


