AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
15484|238451|1|All Hands on Deck! Class 1-A||全員出動! 1年A組|25|27.03.2021 00:00|2.89|8|0|0
15484|238452|2|Vestiges||面影|25|03.04.2021 00:00|5.49|8|0|0
15484|238453|3|Clash! Class A vs. Class B!||激突! A組 VS B組|25|10.04.2021 00:00|4.89|7|0|0
15484|238454|4|Make It Happen, Shinso!||それ行け心操くん!|25|17.04.2021 00:00|6.09|7|0|0
15484|239318|5|Operation New Improv Moves||新技即興オペレーション|25|24.04.2021 00:00|4.55|7|0|0
15484|239319|6|Foresight||先を見据えて|25|01.05.2021 00:00|4.28|6|0|0
15484|239320|7|Match 3||第3試合|25|08.05.2021 00:00|3.90|6|0|0
15484|239321|8|Match 3 Conclusion||第3試合決着|25|15.05.2021 00:00|4.80|6|0|0
15484|240049|9|Early Bird!||先手必勝!|25|22.05.2021 00:00|5.45|5|0|0
15484|240050|10|That Which Is Inherited||受け継ぐモノ|25|29.05.2021 00:00|4.25|5|0|0
15484|240051|11|Our Brawl||ぼくらの大乱戦|25|05.06.2021 00:00|5.73|5|0|0
15484|240052|12|The New Power and All for One||新しい力とオール・フォー・ワン|25|12.06.2021 00:00|3.95|5|0|0
15484|240822|13|Have a Merry Christmas!||メリれ! クリスマス!|25|19.06.2021 00:00|5.22|4|0|0
15484|241239|14|Off to Endeavor`s Agency!||いざ! エンデヴァー事務所!|25|26.06.2021 00:00|5.17|5|0|0
15484|241279|15|One Thing at a Time||一つ一つ|25|10.07.2021 00:00|4.80|5|0|0
15484|241280|16|Long Time No See, Selkie||お久しぶりですセルキーさん|25|17.07.2021 00:00|3.45|5|0|0
15484|241914|17|The Hellish Todoroki Family||地獄の轟くん家|25|24.07.2021 00:00|4.89|5|0|0
15484|241915|18|The Unforgiven||許されざる者|25|31.07.2021 00:00|4.94|5|0|0
15484|241916|19|More of a Hero Than Anyone||誰よりもおまえはヒーローに|25|14.08.2021 00:00|4.77|6|0|0
15484|241917|20|My Villain Academia||僕のヴィランアカデミア|25|21.08.2021 00:00|4.16|5|0|0
15484|243160|21|Revival Party||再臨祭|25|28.08.2021 00:00|6.14|5|0|0
15484|243161|22|Sad Man`s Parade||サッドマンズパレード|25|04.09.2021 00:00|6.14|5|0|0
15484|243162|23|Tenko Shimura: Origin||志村転弧：オリジン|25|11.09.2021 00:00|5.62|7|0|0
15484|243163|24|Tomura Shigaraki: Origin||死柄木弔: オリジン|25|18.09.2021 00:00|6.24|5|0|0
15484|243164|25|The High, Deep Blue Sky||空, 高く群青|25|25.09.2021 00:00|3.95|5|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
15484|238451|0|2737260|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|238452|0|2737261|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|238453|0|2737262|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|238454|0|2737263|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|239318|0|2753288|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|239319|0|2753289|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|239320|0|2753290|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|239321|0|2753291|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|240049|0|2771262|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|240050|0|2771263|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|240051|0|2771264|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|240052|0|2771265|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|240822|0|2787519|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|241239|0|2793720|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|241279|0|2794554|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|241280|0|2794555|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|241914|0|2809556|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|241915|0|2809557|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|241916|0|2809558|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|241917|0|2809559|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|243160|0|2838272|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|243161|0|2838273|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|243162|0|2838274|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|243163|0|2838275|0|||||0|90|unknown|0x0|||||1|0|0|rl
15484|243164|0|2838276|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


