AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
156|1294|1|Wonderland: Journey into the Darkness||異界 -やみへのたびだち-|25|02.10.2001 00:00|2.63|6|0|2
156|1292|2|Magun: Man of the Black Wind||魔銃 -くろきかぜのおとこ-|25|09.10.2001 00:00|4.39|4|0|2
156|1290|3|Fruit: The Town of Sweet Scent||果実 -あまいかおりのまち-|25|16.10.2001 00:00|4.01|3|0|2
156|1288|4|Makenshi: The White Etude||魔剣士 -しろきエチュード-|25|23.10.2001 00:00|4.01|3|0|2
156|1286|5|Cid: The Adventure of the Underground Waterway||シド -ちかすいみゃくのぼうけん-|25|30.10.2001 00:00|3.55|3|0|2
156|1284|6|Kigen Arts: The Saviour of Souls||氣現術 -いのちまもるもの-|25|06.11.2001 00:00|4.47|2|0|2
156|1282|7|Subway: Enemy of the Dimensional Tunnel||地下鉄 -じげんトンネルのてき-|25|13.11.2001 00:00|6.53|2|0|2
156|1280|8|Soil: The Heart of the Magun||ソイル -マガンのしんぞう-|25|20.11.2001 00:00|6.53|2|0|2
156|1278|9|Oscar: The Endless Project||オスカー -おわりなきしごと-|25|27.11.2001 00:00|2.78|2|0|2
156|1285|10|Mansion: The Memory of Sagiso||屋敷 -サギソウのおもいで-|25|04.12.2001 00:00|2.78|2|0|2
156|1283|11|Ciel: The Departure of Chocobo||シエル -チョコボとのわかれ-|25|11.12.2001 00:00|2.78|2|0|2
156|1281|12|Fungus: Eternal Life||フングス -えいえんのいのち-|25|18.12.2001 00:00|6.53|2|0|2
156|1279|13|Meteor: Abominable Memory||メテオ -いまわしききおく-|25|25.12.2001 00:00|4.47|2|0|2
156|1277|14|Omega: Reunion and Departure||オメガ -さいかいとたびだち-|25|08.01.2002 00:00|6.53|2|0|2
156|1276|15|Jane: The Moving Ocean Puzzle||ジェーン -うごきだすうみパズル-|25|15.01.2002 00:00|2.78|2|0|2
156|1275|16|Kigen Summon: Behind the Smile||氣現獣 -えがおのむこうに-|25|22.01.2002 00:00|1.73|2|0|2
156|1274|17|Frog: The Smallest Great Adventure||カエル -ちっちゃなだいぼうけん-|25|29.01.2002 00:00|2.78|2|0|2
156|1273|18|Madoushi: The Battle of Kiri and Kumo||魔道士 -きりとくものたいけつ-|25|05.02.2002 00:00|6.53|3|0|2
156|1272|19|Ai: Meeting with Clear||アイ -クリアとのであい-|25|12.02.2002 00:00|4.47|2|0|2
156|1296|20|Yu: The Secret of Gaudium||ユウ -ガウディウムのひみつ-|25|19.02.2002 00:00|2.78|2|0|2
156|1295|21|Cactus: The Wandering Sea||サボテン -さまよえるうみ-|25|26.02.2002 00:00|2.78|2|0|2
156|1293|22|Moogle: Long Lost Memories||モーグリ -なつかしいおもいで-|25|05.03.2002 00:00|2.78|2|0|2
156|1291|23|Teros: In Search of Flying Water||テロス -とびみずをめざして-|25|12.03.2002 00:00|4.47|2|0|2
156|1289|24|Chaos: The Earl Unveiled||混沌 -はくしゃくのしょうたい-|25|19.03.2002 00:00|4.47|2|0|2
156|1287|25|Kaze: The Glory of Life||風 -いのちかがやくとき-|25|26.03.2002 00:00|7.75|4|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
156|1294|8|1393|157196288|5746c6dc5ba3491b27a2f64614854ddb|e7f7db87df309fd3900fc6054649777f|08daeaa88977adf64709808b62331206b521cdb3|9badc2e7|1365|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
156|1292|8|1391|166311936|1325803bdb51b34b236c5a731b719124|197f5ad6af6d846f48945e952a61f98c|750b702db2d54488c504d04f16836c4a4f031107|99f526f3|1360|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
156|1290|8|1389|137535488|757b83ddc4bea214d0ac5ade0ba2ae62|261cea166b6f583809b4984e3f62a963|5e1ec73edba8e487e195b239efec091483cfb66d|fa866f39|1350|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
156|1288|8|1387|186865664|8d1bfc4588add61fa76f95ae01307b71|6299423af3b8a379b7ea95b2940b6f80|36f2f10d4dd00f71d6bf906cbfd23de1f529d48f|32c3122f|1364|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
156|1286|8|1385|134268928|3bf699d14030bfe508255ffd724a2a1e|cb1f76ba8b45bd9c0e73456db52716ea|7e6c041367ebcee56efa2babf0137a7cf56c7fb6|d9c3d380|1370|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
156|1284|8|1383|193101824|f1f44a8c21703fe06c3d69a7c6766cfe|d082f29c4020712747b9056647076a61|1f9bed821daecda2cc9a5e46d13da27d010d2a13|e46380c5|1362|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
156|1282|8|1382|154796032|2a02ed7aa751d474081749a6b7cf08e0|5eaec7d795fc643eddf7766355d564e0|e4d3d0537ae1d841790049a3652fc594a13c597a|d7f9be41|1364|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
156|1280|8|1381|132124672|0a57cf4a314eb8550de4e8b967842dec|376cffb627ff1b328e812a60db7bffb2|7c89c343553b95f2fdf92ac8a3c43d8ca7b649bf|85ef56b4|1365|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
156|1278|8|1405|152942592|72ec7d50362b312957384993d41dac1e|4b4a100041b085d5ecd032cb32839ba9|a1ce4682a7428d388fd8102880311ada26fbf599|54b58372|1365|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
156|1285|8|1398|176160768|25e94bfb259efc69da26bd39d56116d5|a0a30d71d5e24abd73ffb1f7c7ec8743|657171315a5930e715039daedadee4c8324e1e93|6877db39|1384|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
156|1283|8|1397|190429184|1d30a79678d9dad6f3f3f1d1f71b932c|22ad28a44d1ab91c3e207037527261dd|2afc191e36c9c68c996b5c774c448c8dc80f193e|0c01d9b0|1365|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
156|1281|8|1396|178851840|6fc77462309e863c97b028dfc8504ab5|150ade25c55c1c7860b8ec582f0f2f2c|941d8db339c7533a54205f988eb6e3ece248d089|74e5f6da|1365|10|med|512x384|DivX3|MP3 CBR|english|japanese|1|1|2|avi
