AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
15918|256440|1|Encounter||出会|25|06.07.2022 00:00|3.83|17|0|0
15918|256927|2|Raising Money||金策|25|13.07.2022 00:00|4.69|14|0|0
15918|256928|3|Acquisition||獲得|25|20.07.2022 00:00|4.74|14|0|0
15918|256929|4|Graduation||卒業|25|27.07.2022 00:00|6.06|15|0|0
15918|257612|5|Crystal||結晶|25|03.08.2022 00:00|5.65|12|0|0
15918|257613|6|Trials||試練|25|10.08.2022 00:00|4.87|13|0|0
15918|257614|7|Magic||魔法|25|17.08.2022 00:00|5.46|12|0|0
15918|257615|8|New Home||新居|25|24.08.2022 00:00|4.33|12|0|0
15918|258763|9|Bath||風呂|25|31.08.2022 00:00|5.32|11|0|0
15918|258764|10|Melancholy||憂愁|25|07.09.2022 00:00|4.87|13|0|0
15918|258765|11|Order||順番|25|14.09.2022 00:00|5.58|11|0|0
15918|258766|12|Humans||人間|25|21.09.2022 00:00|6.22|11|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
15918|256440|0|3024083|0|||||0|90|unknown|0x0|||||1|0|0|rl
15918|256927|0|3034672|0|||||0|90|unknown|0x0|||||1|0|0|rl
15918|256928|0|3034673|0|||||0|90|unknown|0x0|||||1|0|0|rl
15918|256929|0|3034674|0|||||0|90|unknown|0x0|||||1|0|0|rl
15918|257612|0|3046626|0|||||0|90|unknown|0x0|||||1|0|0|rl
15918|257613|0|3046627|0|||||0|90|unknown|0x0|||||1|0|0|rl
15918|257614|0|3046628|0|||||0|90|unknown|0x0|||||1|0|0|rl
15918|257615|0|3046629|0|||||0|90|unknown|0x0|||||1|0|0|rl
15918|258763|0|3064475|0|||||0|90|unknown|0x0|||||1|0|0|rl
15918|258764|0|3064476|0|||||0|90|unknown|0x0|||||1|0|0|rl
15918|258765|0|3064477|0|||||0|90|unknown|0x0|||||1|0|0|rl
15918|258766|0|3064478|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


