AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
15954|246508|1|The Woman with the Demon Eyes||魔眼を持つ女|25|04.10.2021 00:00|7.02|24|0|0
15954|246509|2|Missed Connections||すれ違い|25|11.10.2021 00:00|6.23|23|0|0
15954|246510|3|No Such Thing As a Free Lunch||只より高いものはない|25|18.10.2021 00:00|7.06|23|0|0
15954|246511|4|Slow Life in the Doldia Village||ドルディア村のスローライフ|25|25.10.2021 00:00|5.81|21|0|0
15954|248522|5|Family Squabble||親子げんか|25|01.11.2021 00:00|7.01|25|0|0
15954|248523|6|Reunion||再会|25|08.11.2021 00:00|7.64|26|0|0
15954|248524|7|Separate Journeys||それぞれの旅|25|15.11.2021 00:00|6.22|22|0|0
15954|248525|8|Route Selection||ルート選択|25|22.11.2021 00:00|6.14|20|0|0
15954|249391|9|The Birth of My Little Sister, the Maid||妹侍女の生まれた日|25|29.11.2021 00:00|6.78|22|0|0
15954|249392|10|Turning Point 2||ターニングポイント2|25|06.12.2021 00:00|8.39|24|0|0
15954|249393|11|Dreams and Reality||現実[ユメ]|25|13.12.2021 00:00|7.57|25|0|0
15954|249394|12|Wake Up and Take a Step||目覚め, 一歩,|25|20.12.2021 00:00|7.38|24|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
15954|246508|0|2865292|0|||||0|90|unknown|0x0|||||1|0|0|rl
15954|246509|0|2865293|0|||||0|90|unknown|0x0|||||1|0|0|rl
15954|246510|0|2865294|0|||||0|90|unknown|0x0|||||1|0|0|rl
15954|246511|0|2865295|0|||||0|90|unknown|0x0|||||1|0|0|rl
15954|248522|0|2883482|0|||||0|90|unknown|0x0|||||1|0|0|rl
15954|248523|0|2883483|0|||||0|90|unknown|0x0|||||1|0|0|rl
15954|248524|0|2883484|0|||||0|90|unknown|0x0|||||1|0|0|rl
15954|248525|0|2883485|0|||||0|90|unknown|0x0|||||1|0|0|rl
15954|249391|0|2901074|0|||||0|90|unknown|0x0|||||1|0|0|rl
15954|249392|0|2901075|0|||||0|90|unknown|0x0|||||1|0|0|rl
15954|249393|0|2901076|0|||||0|90|unknown|0x0|||||1|0|0|rl
15954|249394|0|2901077|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


