AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
16032|257002|1|Prelude: Night Before Departure||出発前夜[プレリュード]|25|21.07.2022 00:00|5.48|8|0|0
16032|257003|2|The Great Falls||巨蒼の滝[グレート・フォール]|25|28.07.2022 00:00|5.57|7|0|0
16032|257004|3|Parasite: Viscum Album||寄生[ヤドリギ]|25|04.08.2022 00:00|5.52|7|0|0
16032|257005|4|Mermaid: The Girl of Water City||水都の少女[マーメイド]|25|11.08.2022 00:00|5.91|8|0|0
16032|258136|5|Argo Vesta: Heroic Slash of Holy Flame||聖火の英斬[アルゴ・ウェスタ]|25|18.08.2022 00:00|7.63|8|0|0
16032|258137|6|Rabbit`s Foot||白兎の脚[ラビット・フット]|25|25.08.2022 00:00|4.75|8|0|0
16032|258138|7|Cassandra Ilion: Dream Seer||予知夢[カサンドラ・イリオン]|25|01.09.2022 00:00|6.59|6|0|0
16032|258139|8|Mirabilis: Chaos||混迷[ミラビリス]|25|08.09.2022 00:00|7.05|5|0|0
16032|259004|9|Lambton: Ill Omen||凶兆[ラムトン]|25|15.09.2022 00:00|6.97|5|0|0
16032|259005|10|Juggernaut: The Destroyer||破壊者[ジャガーノート]|25|22.09.2022 00:00|9.43|5|0|0
16032|259006|11|Endless: Brutal||過酷[エンドレス]|25|29.09.2022 00:00|8.26|7|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
16032|257002|0|3035605|0|||||0|90|unknown|0x0|||||1|0|0|rl
16032|257003|0|3035606|0|||||0|90|unknown|0x0|||||1|0|0|rl
16032|257004|0|3035607|0|||||0|90|unknown|0x0|||||1|0|0|rl
16032|257005|0|3035608|0|||||0|90|unknown|0x0|||||1|0|0|rl
16032|258136|0|3054222|0|||||0|90|unknown|0x0|||||1|0|0|rl
16032|258137|0|3054223|0|||||0|90|unknown|0x0|||||1|0|0|rl
16032|258138|0|3054224|0|||||0|90|unknown|0x0|||||1|0|0|rl
16032|258139|0|3054225|0|||||0|90|unknown|0x0|||||1|0|0|rl
16032|259004|0|3069293|0|||||0|90|unknown|0x0|||||1|0|0|rl
16032|259005|0|3069294|0|||||0|90|unknown|0x0|||||1|0|0|rl
16032|259006|0|3069295|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


