AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
16054|247997|1|Sound Hashira Tengen Uzui||音柱・宇髄天元|50|05.12.2021 00:00|6.35|14|0|0
16054|250354|2|Infiltrating the Entertainment District||遊郭潜入|25|12.12.2021 00:00|5.32|14|0|0
16054|250355|3|What Are You?||何者?|25|19.12.2021 00:00|6.22|14|0|0
16054|250356|4|Tonight||今夜|25|26.12.2021 00:00|7.37|13|0|0
16054|250712|5|Things Are Gonna Get Real Flashy!!||ド派手に行くぜ‼|25|02.01.2022 00:00|7.60|13|0|0
16054|250713|6|Layered Memories||重なる記憶|25|09.01.2022 00:00|9.47|14|0|0
16054|250714|7|Transformation||変貌|25|16.01.2022 00:00|9.48|13|0|0
16054|250715|8|Gathering||集結|25|23.01.2022 00:00|8.22|15|0|0
16054|251549|9|Defeating an Upper Rank Demon||上弦の鬼を倒したら|25|30.01.2022 00:00|8.95|14|0|0
16054|251550|10|Never Give Up||絶対諦めない|25|06.02.2022 00:00|9.69|17|0|0
16054|251551|11|No Matter How Many Lives||何度生まれ変わっても|35|13.02.2022 00:00|8.21|14|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
16054|247997|0|2877788|0|||||0|90|unknown|0x0|||||1|0|0|rl
16054|250354|0|2908576|0|||||0|90|unknown|0x0|||||1|0|0|rl
16054|250355|0|2908577|0|||||0|90|unknown|0x0|||||1|0|0|rl
16054|250356|0|2908578|0|||||0|90|unknown|0x0|||||1|0|0|rl
16054|250712|0|2920573|0|||||0|90|unknown|0x0|||||1|0|0|rl
16054|250713|0|2920574|0|||||0|90|unknown|0x0|||||1|0|0|rl
16054|250714|0|2920575|0|||||0|90|unknown|0x0|||||1|0|0|rl
16054|250715|0|2920576|0|||||0|90|unknown|0x0|||||1|0|0|rl
16054|251549|0|2937927|0|||||0|90|unknown|0x0|||||1|0|0|rl
16054|251550|0|2937928|0|||||0|90|unknown|0x0|||||1|0|0|rl
16054|251551|0|2937929|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


