AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
16073|259851|1|The Hated Classmate||嫌いなクラスメイト|25|05.10.2022 00:00|6.41|17|0|0
16073|259866|2|Shadow Garden Is Born||結成シャドウガーデン|25|12.10.2022 00:00|6.13|14|0|0
16073|259867|3|Fencer Ordinaire||凡人の剣|25|19.10.2022 00:00|7.05|13|0|0
16073|259868|4|Sadism`s Rewards||加虐への報酬|25|26.10.2022 00:00|6.86|13|0|0
16073|260615|5|I Am...||アイ・アム......|25|02.11.2022 00:00|7.68|15|0|0
16073|260616|6|Pretenders||偽る者|25|09.11.2022 00:00|7.00|9|0|0
16073|260617|7|A Fencing Tournament of Intrigue & Bloodshed||謀略と流血の剣術大会|25|16.11.2022 00:00|7.45|9|0|0
16073|260618|8|Dark Knight Academy Under Attack||狙われた魔剣士学園|25|23.11.2022 00:00|8.49|9|0|0
16073|261329|9|The End of a Lie||偽りの果て|25|30.11.2022 00:00|7.65|9|0|0
16073|261330|10|The Sacred Land, City of Deception||聖地・欺瞞の都|25|07.12.2022 00:00|6.54|9|0|0
16073|261331|11|The Goddess`s Trial||女神の試練|25|14.12.2022 00:00|8.04|9|0|0
16073|261332|12|The Truth Within the Memories||記憶の中の真実|25|21.12.2022 00:00|8.36|8|0|0
16073|261942|13|A Bloody Showdown as an Offering to Annihilation||消滅に捧げる血闘|25|28.12.2022 00:00|8.09|9|0|0
16073|261943|14|Your Lie, Your Wish||君の嘘, 君の願い|25|04.01.2023 00:00|6.66|8|0|0
16073|261944|15|The Strongest Weakest Man||最強最弱の男|25|11.01.2023 00:00|7.46|9|0|0
16073|261945|16|Unseen Intentions||見えざる真意|25|18.01.2023 00:00|7.52|8|0|0
16073|263015|17|Moonlight That Pierces the Darkness||闇に射す月光|25|25.01.2023 00:00|7.40|9|0|0
16073|263016|18|Betting on a Moment||刹那に賭ける|25|01.02.2023 00:00|7.62|8|0|0
16073|263017|19|Dancing Puppet||踊る人形|25|08.02.2023 00:00|8.50|8|0|0
16073|263018|20|Advent of the Demon||魔人降臨|25|15.02.2023 00:00|8.92|9|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
16073|259851|0|3085473|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|259866|0|3085515|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|259867|0|3085516|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|259868|0|3085517|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|260615|0|3098336|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|260616|0|3098337|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|260617|0|3098338|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|260618|0|3098339|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|261329|0|3112567|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|261330|0|3112568|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|261331|0|3112569|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|261332|0|3112570|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|261942|0|3123284|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|261943|0|3123285|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|261944|0|3123286|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|261945|0|3123287|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|263015|0|3140574|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|263016|0|3140575|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|263017|0|3140576|0|||||0|90|unknown|0x0|||||1|0|0|rl
16073|263018|0|3140577|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


