AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
16389|256573|1|I`m Finally Back from the Fantasy World of Granbahamal After 17 Long Years!||異世界グランバハマルに17年いたがようやく帰ってきた, ぞ|25|25.06.2022 00:00|7.54|12|0|0
16389|256894|2|"Guardian Heroes" Shoulda Been Number One!||1位「ガーディアンヒーローズ」だろぉおおお!|25|13.07.2022 00:00|8.73|12|0|0
16389|256895|3|I`m Your Un-... Aunt, Dear||叔父がいるなら叔母もいるものです, わ|25|20.07.2022 00:00|9.11|12|0|0
16389|256896|4|You Helped Me Through Tough Times||つらい中お前がいて, 支えてくれてよかった|25|27.07.2022 00:00|9.44|13|0|0
16389|257554|5|That Reminds Me, I Almost Got Assassinated Once||そういや俺, 「暗殺」されかけたことあるな|25|17.08.2022 00:00|8.45|11|0|0
16389|257555|6|So They Threw Me into the Basement of a Freak Show...||こうして俺は見世物小屋の地下にぶち込まれたんだが...|25|24.08.2022 00:00|8.73|12|0|0
16389|257556|7|As You Can See, SEGA Games Are Very Helpful in Life!||見てのとおりSEGAのゲームは人生の役に立つんだ!|25|31.08.2022 00:00|7.95|10|0|0
16389|257557|8|I Got Through It by Transforming into the Most Powerful Being I Know||俺の知る最強の生物に変身して切り抜けたんだ|25|24.11.2022 00:00|8.66|11|0|0
16389|261421|9|The Ice Spirit Demands a Price for Its Cooler Magic||氷の精霊がクーラー魔法の対価を要求してるんだよ|25|01.12.2022 00:00|8.11|11|0|0
16389|261422|10|Civility Only Comes After You`re Seen as a Person||礼節は... 人であると認められてからだ|25|08.12.2022 00:00|8.97|10|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
16389|256573|0|3027892|0|||||0|90|unknown|0x0|||||1|0|0|rl
16389|256894|0|3034414|0|||||0|90|unknown|0x0|||||1|0|0|rl
16389|256895|0|3034415|0|||||0|90|unknown|0x0|||||1|0|0|rl
16389|256896|0|3034416|0|||||0|90|unknown|0x0|||||1|0|0|rl
16389|257554|0|3046283|0|||||0|90|unknown|0x0|||||1|0|0|rl
16389|257555|0|3046284|0|||||0|90|unknown|0x0|||||1|0|0|rl
16389|257556|0|3046285|0|||||0|90|unknown|0x0|||||1|0|0|rl
16389|257557|0|3046286|0|||||0|90|unknown|0x0|||||1|0|0|rl
16389|261421|0|3113509|0|||||0|90|unknown|0x0|||||1|0|0|rl
16389|261422|0|3113510|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


