AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1645|17866|1|Volume 1|||40|25.03.2004 00:00|7.05|11|0|2
1645|23384|2|Volume 2|||40|25.06.2004 00:00|7.41|8|0|2
1645|23544|3|Volume 3|||40|27.08.2004 00:00|7.68|7|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1645|17866|102|44299|368447488|ae26bacca63968b2d403315a40ce92e1|54969ca544ac801efd49eee96d4171a3|05b68a2fd63df4fbab70da9fc077689d2ee396e8|2dbad413|2432|10|very high|640x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
1645|23384|102|66795|366997504|fcb9912d36af1e11537e15cf2d13e20e|20b6e77d767e931c6f10c03b45fe360a|ee2451ecedb489ab4e0a7cc88e0cef2022934be8|33523851|2397|10|very high|640x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
1645|23544|102|73219|366981120|059b12c54076e99c2c90396e6ecc7f5a|82eedb4ddfd17a065bba12214f9fe242|3c33a0717f57e62fa5b642507b8cbc2a27c83898|30589940|2393|10|very high|640x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
102|4796|The Triad|Triad|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
306|Adventure|0|200
252|Angst|0|400
22|Asia|0|600
17|Comedy|0|100
293|Dating Sim - Visual Novel|0|600
167|Demons|0|400
289|Earth|0|600
282|Ecchi|0|300
12|Future|0|600
239|High School|0|200
154|Horror|0|400
23|Japan|0|600
52|Large Breasts|0|400
230|Love Polygon|0|300
26|Post-apocalypse|0|600
21|School Life|0|400
8|Sci-Fi|0|400
79|Seinen|0|600
113|Sports|0|100
235|Tragedy|0|400
244|Twisted|0|300
84|Violence|0|200
130|Virtual Reality|0|500


