AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
16732|259733|1|I Got My Own Shop!||お店を手に入れた!|25|03.10.2022 00:00|5.87|11|0|0
16732|259734|2|I Came to the Village!||村にやってきた!|25|10.10.2022 00:00|5.90|8|0|0
16732|259735|3|Monsters Appeared!||魔物が出た!|25|17.10.2022 00:00|5.43|9|0|0
16732|259736|4|Let`s Live Together!||一緒に暮らそう!|25|24.10.2022 00:00|6.27|6|0|0
16732|260536|5|Let`s Develop New Products!||新商品を開発しよう!|25|31.10.2022 00:00|6.13|3|0|0
16732|260537|6|Let`s Head to the Lake!||湖に出掛けよう!|25|07.11.2022 00:00|6.54|3|0|0
16732|260538|7|My Artifact Broke!||錬成具[アーティファクト]が壊れた!|25|14.11.2022 00:00|4.58|3|0|0
16732|260539|8|A Business Rival Appeared!||商売敵が現れた!|25|21.11.2022 00:00|4.20|3|0|0
16732|261255|9|Let`s Go Gather Honey!||蜂蜜を採りに行こう!|25|28.11.2022 00:00|6.54|3|0|0
16732|261256|10|Let`s Settle Things with Money!||お金で解決しよう!|25|05.12.2022 00:00|5.73|3|0|0
16732|261257|11|Let`s Defeat a Salamander!||サラマンダーを倒そう!|25|12.12.2022 00:00|6.13|3|0|0
16732|261258|12|Management of a Novice Alchemist||新米錬金術師の店舗経営!|25|19.12.2022 00:00|5.73|3|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
16732|259733|0|3083023|0|||||0|90|unknown|0x0|||||1|0|0|rl
16732|259734|0|3083024|0|||||0|90|unknown|0x0|||||1|0|0|rl
16732|259735|0|3083025|0|||||0|90|unknown|0x0|||||1|0|0|rl
16732|259736|0|3083026|0|||||0|90|unknown|0x0|||||1|0|0|rl
16732|260536|0|3097316|0|||||0|90|unknown|0x0|||||1|0|0|rl
16732|260537|0|3097317|0|||||0|90|unknown|0x0|||||1|0|0|rl
16732|260538|0|3097318|0|||||0|90|unknown|0x0|||||1|0|0|rl
16732|260539|0|3097319|0|||||0|90|unknown|0x0|||||1|0|0|rl
16732|261255|0|3112069|0|||||0|90|unknown|0x0|||||1|0|0|rl
16732|261256|0|3112070|0|||||0|90|unknown|0x0|||||1|0|0|rl
16732|261257|0|3112071|0|||||0|90|unknown|0x0|||||1|0|0|rl
16732|261258|0|3112072|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


