AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1675|17845|1|First Flower||初花|25|02.04.2004 00:00|8.30|22|0|2
1675|18012|2|Apprehension of Spring||春愁|25|09.04.2004 00:00|6.48|17|0|2
1675|18237|3|Gentle Breeze||薫風|25|16.04.2004 00:00|7.74|17|0|2
1675|18605|4|Evening Shower||夕立|25|23.04.2004 00:00|7.71|17|0|2
1675|18981|5|Distant Thunder||遠雷|25|30.04.2004 00:00|7.24|17|0|2
1675|19090|6|Autumn Thought||秋思|25|07.05.2004 00:00|6.27|17|0|2
1675|19092|7|First Storm||初嵐|25|14.05.2004 00:00|7.70|17|0|2
1675|21307|8|Frozen Dew||露霜|25|08.06.2004 00:00|7.83|17|0|2
1675|19091|9|Snow Flakes in the Wind||風花|25|21.05.2004 00:00|8.67|17|0|2
1675|19089|10|Wintry Moon||寒月|25|28.05.2004 00:00|8.50|17|0|2
1675|19087|11|Lingering Winter||余寒|25|04.06.2004 00:00|9.09|15|0|2
1675|19085|12|Spring Thunder||春雷|25|11.06.2004 00:00|9.30|22|0|2
1675|19088|13|Heat Haze||陽炎|25|18.06.2004 00:00|8.65|20|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1675|17845|34|69969|234393065|9fb9b4cfc8559128aaacee8cfe542dd3|43df3c1a234a4062a417a0920267c0b8|22048413a6cacab363903ab2ab8af779c5df28b2|6e6c6e79|1425|10|very high|712x476|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|mkv
1675|18012|34|82772|245547902|8010420922359efd14e6341d3afa7789|162160251a7dd01fcce84770a4f60786|8cc3223cadff25269a91a1da000a2877b6704547|6a985bef|1412|10|very high|712x476|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
1675|18237|34|85571|244707315|246c4ec35df2819d292d3eafe0ee8b4a|dcadc02bad3562a587729ec524ce33b8|e5c7a1633b17e7753e90b1b7ec9f6ad84426b059|b144c13f|1412|10|very high|712x476|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
1675|18605|34|88654|244064551|d92a158a27e5c0b7fe25f68511243696|96eebc60de75e430394339227abff08e|435fadfe77809674d9cc3c7eea2b889327d9e976|d46402dd|1425|10|very high|712x478|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
1675|18981|34|93564|243338902|965ae1ac2a89baa2c5c29f80bca22274|1375208271a9ca4f34f7ae7e83e3a5ed|32d8db57b30fdac93551a6ff7b43b5a0b529190b|1729af01|1412|10|very high|712x478|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
1675|19090|34|101360|244305459|e01a6b159746d2501cab332c7e8a3560|a7d6309d0191aa7652d40fae7d43c220|311621a2c06ba804db0edd86efc3be1bc4635c71|02a9fa2f|1412|10|very high|712x478|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
1675|19092|34|102170|244451597|1b4a1f47f481548b49056de317feefc8|16f7d20285f2d2165ebab39d6670e16d|6b594d251941e40b24a010f43783a7f4a73ee15e|202e6d5b|1425|10|very high|712x478|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
1675|21307|34|103279|245051463|f4221eac4809478337a189d156853fe1|e4ad104a83758cee6207d1c1ec059b38|3d90466e1aba705901471c342820f1077b1e8d4f|518a102a|1412|10|very high|712x478|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
1675|19091|34|104053|243956374|5dcb92280764a6a1c5a74ba4a3ef9602|2699133af0e451013741b7684746996d|ae76242bae9ad301aaa3fb9ba66fae46b311de26|1b7160ea|1413|10|very high|712x478|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
1675|19089|34|125155|249037262|dbfb1ace65660db35722519395a77af0|30418e153bb49c657420027db715e9da|2ab027f1d65ad1c1dea355ee715329a9074306af|82f1483b|1425|10|very high|712x478|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
1675|19087|34|125156|244174680|9a36202c251a361a119ed7c3314c0a6d|2c3d74a118def30b631fcc3b4874814f|21b30f5ec7a6d60d2a512de9b74b0511c11dabe9|64f5e0b7|1412|10|very high|712x478|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
1675|19085|34|125403|243844635|4800c85bd1e07e82075081ae27e5fe93|435a6d27e15241f76cb39995340f5080|7f00e99b36632487f66c45886c3c227305d109cf|0e1c1d77|1412|10|very high|712x478|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
1675|19088|34|125404|246293099|7e883bcd28225ddd2fb2c86550033e51|198d396979747cb68c08ec4512561410|dabedf59c584c7bcb31dc8295648e1ca11840ca6|6c97ba78|1555|10|very high|712x478|XviD|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
34|8276|anime.fin|anime_fin|complete
GENREN
GenID|GenName|isHentai|Weight 
252|Angst|0|300
22|Asia|0|600
403|Brother-Sister Incest|0|300
17|Comedy|0|100
330|Coming of Age|0|400
236|Daily Life|0|400
289|Earth|0|600
239|High School|0|200
48|Incest|0|600
23|Japan|0|600
273|Manga|0|600
34|Masturbation|0|200
233|Plot Continuity|0|600
11|Present|0|600
198|Romance|0|600
21|School Life|0|200
79|Seinen|0|600
86|Sex|0|100
235|Tragedy|0|400


