AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
16793|259622|1|A Quiet Beginning||静かな始まり|25|01.10.2022 00:00|7.51|7|0|0
16793|259703|2|Mirko, the No. 5 Hero||No.5のミルコさん|25|08.10.2022 00:00|8.34|7|0|0
16793|259717|3|One`s Justice||One`s Justice|25|15.10.2022 00:00|8.24|6|0|0
16793|259718|4|Inheritance||継承|25|22.10.2022 00:00|6.90|5|0|0
16793|260463|5|The Thrill of Destruction||破滅のボルテージ|25|29.10.2022 00:00|7.46|5|0|0
16793|260464|6|Encounter, Part 2||エンカウンター2|25|05.11.2022 00:00|7.43|5|0|0
16793|260465|7|Disaster Walker||災害歩行[ディザスターウォーカー]|25|12.11.2022 00:00|8.15|5|0|0
16793|260466|8|League of Villains vs. U.A. Students||敵[ヴィラン]連合vs雄英生|25|19.11.2022 00:00|6.48|5|0|0
16793|261172|9|Katsuki Bakugo: Rising||爆豪勝己: ライジング|25|26.11.2022 00:00|8.27|6|0|0
16793|261173|10|The Ones Within Us||僕らの中の人|25|03.12.2022 00:00|5.06|6|0|0
16793|261174|11|Dabi`s Dance||ダビダンス|25|10.12.2022 00:00|6.96|6|0|0
16793|261175|12|Threads of Hope||一縷の希望たち|25|17.12.2022 00:00|7.06|5|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
16793|259622|0|3079996|0|||||0|90|unknown|0x0|||||1|0|0|rl
16793|259703|0|3082690|0|||||0|90|unknown|0x0|||||1|0|0|rl
16793|259717|0|3082932|0|||||0|90|unknown|0x0|||||1|0|0|rl
16793|259718|0|3082933|0|||||0|90|unknown|0x0|||||1|0|0|rl
16793|260463|0|3095012|0|||||0|90|unknown|0x0|||||1|0|0|rl
16793|260464|0|3095013|0|||||0|90|unknown|0x0|||||1|0|0|rl
16793|260465|0|3095014|0|||||0|90|unknown|0x0|||||1|0|0|rl
16793|260466|0|3095015|0|||||0|90|unknown|0x0|||||1|0|0|rl
16793|261172|0|3110671|0|||||0|90|unknown|0x0|||||1|0|0|rl
16793|261173|0|3110672|0|||||0|90|unknown|0x0|||||1|0|0|rl
16793|261174|0|3110673|0|||||0|90|unknown|0x0|||||1|0|0|rl
16793|261175|0|3110674|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


