AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
16803|247937|1|Flame Hashira Kyojuro Rengoku||炎柱・煉獄杏寿郎|30|10.10.2021 00:00|7.42|15|0|0
16803|247938|2|Deep Sleep||深い眠り|25|17.10.2021 00:00|6.75|11|0|0
16803|247939|3|Should Have Been||本当なら|25|24.10.2021 00:00|7.32|10|0|0
16803|247940|4|Insult||侮辱|25|07.11.2021 00:00|7.43|10|0|0
16803|248721|5|Move Forward!||前へ|25|14.11.2021 00:00|7.49|10|0|0
16803|248722|6|Akaza||猗窩座|25|21.11.2021 00:00|8.10|11|0|0
16803|248723|7|Set Your Heart Ablaze||心を燃やせ|25|28.11.2021 00:00|9.42|10|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
16803|247937|0|2875255|0|||||0|90|unknown|0x0|||||1|0|0|rl
16803|247938|0|2875256|0|||||0|90|unknown|0x0|||||1|0|0|rl
16803|247939|0|2875257|0|||||0|90|unknown|0x0|||||1|0|0|rl
16803|247940|0|2875258|0|||||0|90|unknown|0x0|||||1|0|0|rl
16803|248721|0|2885836|0|||||0|90|unknown|0x0|||||1|0|0|rl
16803|248722|0|2885837|0|||||0|90|unknown|0x0|||||1|0|0|rl
16803|248723|0|2885838|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


