AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1711|19082|1|Volume 1|||35|13.02.2004 00:00|3.98|2|0|2
1711|19083|2|Volume 2|||30|07.05.2004 00:00|4.59|2|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1711|19082|3085|224211|290703225|b81f1f9f7859ced873059a2b1e4ccbc9|23623f2727af58cc2976de35f96e3975|e9ad06c4c2155a616037e47070c5a9663129f4f2|4ebf30ca|1843|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
1711|19083|3085|224212|289725435|c23f1201cdf71927cc5b2d8d9f2fe0c5|e39ba7b3ca3b4ddcca99008a656dce02|a3bffd7c5a48f978632dfa5e05c22d1c07992663|06b356a6|1814|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
3085|17007|KHMER-HENTAI|KH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|200
22|Asia|0|600
327|BDSM|0|500
57|Bondage|0|500
65|Dildos - Vibrators|1|200
289|Earth|0|600
407|Enema|1|300
271|Erotic Game|0|600
60|Female Student|0|600
336|Female Teacher|0|200
269|Game|0|600
23|Japan|0|600
33|Rape|1|400
21|School Life|0|600
86|Sex|0|500
480|Uncensored Version Available|1|600
351|Urination|1|300
61|Virginity|1|400
37|Yuri|1|200


