AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
17198|261868|1|Someone`s Dream||誰かの夢|50|09.04.2023 00:00|7.79|15|0|0
17198|265087|2|Yoriichi Type Zero||縁壱零式|25|16.04.2023 00:00|6.10|15|0|0
17198|265088|3|A Sword from Over 300 Years Ago||三百年以上前の刀|25|23.04.2023 00:00|7.13|13|0|0
17198|265089|4|Thank You, Tokito||時透君ありがとう|25|30.04.2023 00:00|8.60|13|0|0
17198|265853|5|Bright Red Sword||赫刀|25|07.05.2023 00:00|8.91|15|0|0
17198|265854|6|Aren`t You Going to Become a Hashira?||柱になるんじゃないのか!|25|14.05.2023 00:00|8.80|13|0|0
17198|265855|7|Awful Villain||極悪人|25|21.05.2023 00:00|6.46|12|0|0
17198|265856|8|The Mu in Muichiro||無一郎の無|25|28.05.2023 00:00|8.11|13|0|0
17198|267091|9|Mist Hashira Muichiro Tokito||霞柱 時透無一郎|25|04.06.2023 00:00|8.70|13|0|0
17198|267092|10|Love Hashira Mitsuri Kanroji||恋柱 甘露寺蜜璃|25|11.06.2023 00:00|9.05|12|0|0
17198|267093|11|A Connected Bond: Daybreak and First Light||繋いだ絆 彼は誰時 朝ぼらけ|55|18.06.2023 00:00|9.10|14|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
17198|261868|0|3121255|0|||||0|90|unknown|0x0|||||1|0|0|rl
17198|265087|0|3189547|0|||||0|90|unknown|0x0|||||1|0|0|rl
17198|265088|0|3189548|0|||||0|90|unknown|0x0|||||1|0|0|rl
17198|265089|0|3189549|0|||||0|90|unknown|0x0|||||1|0|0|rl
17198|265853|0|3200953|0|||||0|90|unknown|0x0|||||1|0|0|rl
17198|265854|0|3200954|0|||||0|90|unknown|0x0|||||1|0|0|rl
17198|265855|0|3200955|0|||||0|90|unknown|0x0|||||1|0|0|rl
17198|265856|0|3200956|0|||||0|90|unknown|0x0|||||1|0|0|rl
17198|267091|0|3223092|0|||||0|90|unknown|0x0|||||1|0|0|rl
17198|267092|0|3223093|0|||||0|90|unknown|0x0|||||1|0|0|rl
17198|267093|0|3223094|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


