AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
17444|259741|1|Meeting of Fate||運命の出会い|25|01.10.2022 00:00|4.71|10|0|0
17444|259742|2|Comrades||仲間|25|08.10.2022 00:00|5.34|9|0|0
17444|259743|3|Another Ultimate Species||もう一人の最強種|25|15.10.2022 00:00|6.11|7|0|0
17444|259744|4|Dragonoid Power||竜族の力|25|22.10.2022 00:00|6.55|7|0|0
17444|260476|5|Beast Tamer vs Hero||ビーストテイマーVS勇者|25|29.10.2022 00:00|6.33|7|0|0
17444|260477|6|The Lost Woods||迷いの森|25|05.11.2022 00:00|6.90|7|0|0
17444|260478|7|The Captive Fairy||囚われの精霊族|25|12.11.2022 00:00|6.90|7|0|0
17444|260479|8|Let`s Make Weapons||武器を作ろう|25|19.11.2022 00:00|6.99|6|0|0
17444|261185|9|Beast Tamer vs Beast Tamer||ビーストテイマーVSビーストテイマー|25|26.11.2022 00:00|5.87|6|0|0
17444|261186|10|Darkness in Horizon||ホライズンの闇|25|03.12.2022 00:00|6.01|5|0|0
17444|261187|11|Black Waves||黒い波動|25|10.12.2022 00:00|6.01|5|0|0
17444|261188|12|Champion||英雄|25|17.12.2022 00:00|6.98|5|0|0
17444|261189|13|A Home for All||みんなの家|25|24.12.2022 00:00|8.38|5|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
17444|259741|0|3083038|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|259742|0|3083039|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|259743|0|3083040|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|259744|0|3083041|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|260476|0|3095131|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|260477|0|3095132|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|260478|0|3095133|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|260479|0|3095134|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|261185|0|3110684|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|261186|0|3110685|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|261187|0|3110686|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|261188|0|3110687|0|||||0|90|unknown|0x0|||||1|0|0|rl
17444|261189|0|3110688|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


