AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
17550|278884|1|The Man Who Became a Kaiju||怪獣になった男|25|13.04.2024 00:00|8.90|13|0|0
17550|278885|2|The Kaiju Who Defeats Kaiju||怪獣を倒す怪獣|25|20.04.2024 00:00|8.06|10|0|0
17550|278886|3|Revenge Match||リベンジマッチ|25|27.04.2024 00:00|6.87|10|0|0
17550|278887|4|Fortitude 9.8||フォルティチュード9.8|25|04.05.2024 00:00|7.83|9|0|0
17550|280630|5|Joining Up!||入隊!|25|11.05.2024 00:00|6.32|8|0|0
17550|280631|6|Sagamihara Neutralization Operation at Daybreak||夜明けの相模原討伐作戦|25|18.05.2024 00:00|6.86|8|0|0
17550|280632|7|Kaiju No. 9||怪獣9号|25|25.05.2024 00:00|7.57|8|0|0
17550|280633|8|Welcome to the Defense Force||防衛隊へようこそ|25|01.06.2024 00:00|6.12|8|0|0
17550|281575|9|Raid on Tachikawa Base||立川基地襲撃|25|08.06.2024 00:00|8.66|9|0|0
17550|281576|10|Secret Revealed||曝露|25|15.06.2024 00:00|7.98|10|0|0
17550|281577|11|Kaiju No. 8 Captured||捕らわれた怪獣8号|25|22.06.2024 00:00|7.30|7|0|0
17550|281578|12|Kafka Hibino||日比野カフカ|25|29.06.2024 00:00|8.13|8|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
17550|278884|0|3390014|0|||||0|90|unknown|0x0|||||1|0|0|rl
17550|278885|0|3390015|0|||||0|90|unknown|0x0|||||1|0|0|rl
17550|278886|0|3390016|0|||||0|90|unknown|0x0|||||1|0|0|rl
17550|278887|0|3390017|0|||||0|90|unknown|0x0|||||1|0|0|rl
17550|280630|0|3427515|0|||||0|90|unknown|0x0|||||1|0|0|rl
17550|280631|0|3427516|0|||||0|90|unknown|0x0|||||1|0|0|rl
17550|280632|0|3427517|0|||||0|90|unknown|0x0|||||1|0|0|rl
17550|280633|0|3427518|0|||||0|90|unknown|0x0|||||1|0|0|rl
17550|281575|0|3442913|0|||||0|90|unknown|0x0|||||1|0|0|rl
17550|281576|0|3442914|0|||||0|90|unknown|0x0|||||1|0|0|rl
17550|281577|0|3442915|0|||||0|90|unknown|0x0|||||1|0|0|rl
17550|281578|0|3442916|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


