AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
17652|262098|1|Amphisbaena: A Song of Despair||絶望の詩[アンフィス・バエナ]|25|16.12.2022 00:00|6.97|8|0|0
17652|262099|2|Morgue: Victim||犠牲[モルグ]|25|16.12.2022 00:00|9.00|6|0|0
17652|262100|3|Daphne Lauros: Friend||友[ダフネ・ラウロス]|25|16.12.2022 00:00|8.58|6|0|0
17652|262101|4|Ignis: Flame||不冷[イグニス]|25|26.01.2023 00:00|9.06|5|0|0
17652|263043|5|Welf Crozzo: Shikou||始高[ヴェルフ・クロッゾ]|25|02.02.2023 00:00|8.97|5|0|0
17652|263044|6|White Palace: White Labyrinth||白の迷宮[ホワイトパレス]|25|09.02.2023 00:00|8.72|6|0|0
17652|263045|7|Desperate: Dungeon Do-or-Die Time||迷宮決死行[デスパレート]|25|16.02.2023 00:00|8.59|5|0|0
17652|263046|8|Colosseum: Arena||闘技場[コロシアム]|25|23.02.2023 00:00|8.32|6|0|0
17652|263820|9|Astrea Familia: Heroic Death||散華[アストレア・ファミリア]|25|02.03.2023 00:00|9.38|7|0|0
17652|263821|10|Daydream: A Sweet Lie||優しい嘘[デイドリーム]|25|09.03.2023 00:00|9.23|5|0|0
17652|263822|11|Luvia: Starry Flower||星華[ルヴィア]|25|16.03.2023 00:00|10.00|5|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
17652|262098|0|3127784|0|||||0|90|unknown|0x0|||||1|0|0|rl
17652|262099|0|3127785|0|||||0|90|unknown|0x0|||||1|0|0|rl
17652|262100|0|3127786|0|||||0|90|unknown|0x0|||||1|0|0|rl
17652|262101|0|3127787|0|||||0|90|unknown|0x0|||||1|0|0|rl
17652|263043|0|3141442|0|||||0|90|unknown|0x0|||||1|0|0|rl
17652|263044|0|3141443|0|||||0|90|unknown|0x0|||||1|0|0|rl
17652|263045|0|3141444|0|||||0|90|unknown|0x0|||||1|0|0|rl
17652|263046|0|3141445|0|||||0|90|unknown|0x0|||||1|0|0|rl
17652|263820|0|3156512|0|||||0|90|unknown|0x0|||||1|0|0|rl
17652|263821|0|3156513|0|||||0|90|unknown|0x0|||||1|0|0|rl
17652|263822|0|3156514|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


