AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
17723|281523|1|Departure at the Red Hour||出立. 赤い時刻にて|25|12.07.2024 00:00|5.81|13|0|0
17723|284110|2|Wherefore in the Earthshine||由縁. 聖星照[アースシャイン]の下|25|19.07.2024 00:00|5.75|9|0|0
17723|284111|3|Farewell to Those Who Play the Land||決別. 大地を奏でる者たち|25|26.07.2024 00:00|4.00|6|0|0
17723|284112|4|Spell of Proof Still Distant||刻印. 証, 未だ遠く|25|02.08.2024 00:00|3.73|4|0|0
17723|284757|5|Performance of Swords and Scales, Good and Evil||演技. 剣と天秤, 正義と悪|25|09.08.2024 00:00|5.84|4|0|0
17723|284758|6|Concerto in a Land Where Death Blooms||協奏. 死の咲き誇る地で|25|16.08.2024 00:00|4.89|4|0|0
17723|284759|7|Examiner of Curses, Blessings, and Their Shapes||試者[エグザミナー]. 呪いと祝福のかたち|25|23.08.2024 00:00|3.54|3|0|0
17723|284760|8|A Ball Shaking Before the Fiend Flower||舞踏. 魔の華に揺らめいて|25|30.08.2024 00:00|6.98|1|0|0
17723|285505|9|Silence of Keys Unplayed||沈黙. 奏でぬ鍵|25|06.09.2024 00:00|4.94|2|0|0
17723|285506|10|Spiral: Howling Sword, Rusty Nail||螺旋. 唸る剣, 錆びた爪|25|13.09.2024 00:00|3.85|3|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
17723|281523|0|3441735|0|||||0|90|unknown|0x0|||||1|0|0|rl
17723|284110|0|3470890|0|||||0|90|unknown|0x0|||||1|0|0|rl
17723|284111|0|3470891|0|||||0|90|unknown|0x0|||||1|0|0|rl
17723|284112|0|3470892|0|||||0|90|unknown|0x0|||||1|0|0|rl
17723|284757|0|3482779|0|||||0|90|unknown|0x0|||||1|0|0|rl
17723|284758|0|3482780|0|||||0|90|unknown|0x0|||||1|0|0|rl
17723|284759|0|3482781|0|||||0|90|unknown|0x0|||||1|0|0|rl
17723|284760|0|3482782|0|||||0|90|unknown|0x0|||||1|0|0|rl
17723|285505|0|3500301|0|||||0|90|unknown|0x0|||||1|0|0|rl
17723|285506|0|3500302|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


