AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1783|23602|1|The Study of the Modern Visual Culture||現代における視覚を中心とした文化の研究|25|10.10.2004 00:00|6.51|35|0|3
1783|25061|2|Comparative Classification of Consumption and Diversion Among Modern Youth||消費と遊興による現代青少年の比較分類|25|17.10.2004 00:00|7.53|32|0|3
1783|25247|3|The Issue of Regional Cultural Advancement and Its Merits||地域文化振興の問題点とその功績|25|24.10.2004 00:00|7.51|26|0|3
1783|25576|4|The Sublimated Process of Mental Blocks Regarding the Dissimilation Between Dress and Costume||扮装と仮装の異化による心理的障壁の昇華作用|25|31.10.2004 00:00|8.42|33|0|3
1783|25823|5|The Boundary Between Rejection and Acceptance Seen in Autonomous Behavior||自律行動に見る排斥と受容の境界|25|07.11.2004 00:00|8.04|24|0|3
1783|26052|6|Subculture and Its Circular Relationship to Others Surrounding It||サブカルチャーをめぐる他者との関係論|25|14.11.2004 00:00|9.05|26|0|3
1783|26271|7|Characteristics of Actions and Decision in Personal Relationships||対人関係における行動選択の特徴|25|21.11.2004 00:00|6.49|21|0|3
1783|26363|8|Comparative Research of the Mass Production Process||量産型製造過程における比較研究|25|28.11.2004 00:00|7.80|22|0|3
1783|26364|9|Concerning Whether Explanation Is Obligatory Under Special Circumstances||特殊閉鎖状況下における説明義務の有無について|25|05.12.2004 00:00|7.31|27|0|3
1783|26365|10|The Fetishism of Leisure Spending Taking into Account Economic Effect||経済効果から考える余暇消費のフェティシズム|25|12.12.2004 00:00|7.36|22|0|3
1783|26366|11|The Position of Malice in the Phenomenon of Urban Crimes||都市型犯罪における悪意の所在論|25|19.12.2004 00:00|9.21|26|0|3
1783|26367|12|Problems and Countermeasures Arise When an Organization Undergoes Reconstruction||組織の再構築時に発生する課題と対策|25|26.12.2004 00:00|7.42|24|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1783|23602|1363|76143|184463360|20e28fd32246be806edd31a8c6e193e2|7a639e894f49c8057160161bc539c55d|0354d1ec06e136f49850154786390aec21d27fde|940dacf1|1510|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
1783|25061|1363|78759|184442880|a5554c4b48888331161c5b7132d46f26|fd000f7846b853d043f7c2a809cc5308|950a6c8705dd654dd377b6fa80e7cbbd672768b2|720cf864|1510|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
1783|25247|1363|81116|180365312|2fb8a13e82317abbb1cc80b4af1553d7|3ecf9abee0aa59d292493e9539bfc0a5|8c4c1b2d6c1a4511221a66723f1d0f75f27cdc41|73a1e714|1510|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
1783|25576|1363|82043|180359168|78e3cb5d5dc9519fe97e3cab6b4f5ad4|fa06946d68ab0fdc1a02e15e1a6526bb|ba4aae89ae67ff8abc80473da89900b583b75c2f|7d5423f6|1510|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
1783|25823|1363|83180|176701440|63c283ec437f73fd6c875c95c5c96d40|b0f0d9c8b7ad57e1c749c270c9f95e19|5a389f0714ac27af7ffef345f6ebb3548fd94bf4|ce3f9476|1510|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
1783|26052|1363|85504|180369408|01e4165833ba523b294cd4fc5c32bf16|5d1d9bf8649d4a886e1e3d76e678d053|d2ee6746aa66723f66e4859256e66ed9b7317c35|250201f9|1510|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
1783|26271|1363|85568|180301824|9443124d60b20f7497bda191e3812253|f6f4228f668270ac800fb04f827d1923|66092dd4862f149571ea6ea0488cbc7c5170631f|ebcdf17e|1510|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
1783|26363|117|86734|180365312|d4c2a63570f2f564280985139b43b313|9ffc99e9cd98dca8a538f57235c220ff|18627f49b54f35093f94fee52b5208ef63c4bb6f|0c51a46e|1510|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
1783|26364|117|90226|179257344|76cd790f5c26262551df3c85f99850b6|9c187e514df286d349e25cf2b0d1887b|55f596ff4d8e493b18af5612f4388161a1b7bb0f|1fdd1d25|1510|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
1783|26365|117|95226|180310016|feab9c5754c8828015585ac5f00cd9b8|4ca8e74612d7fc00738930dcc2d74720|0d49f8c7bcc7d56a0c4be23055497a09566c494c|f926cc61|1510|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
1783|26366|117|95769|180398080|1833b9812277e8bdb5bd10748c8b7cf9|58ade3b25a5605aa02833533bfbd0a0b|89a982215bc2476fd3598f5320d41c4275b06396|0f1ecbb2|1516|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
1783|26367|117|112347|180367360|13a2641e266990eb08304c4a1010d0ca|c24a90aae814135676f340c5232ab919|3cb67cfd6cc1a08958e9567c4acdd010b600a3cb|6158a8b0|1510|10|high|640x360|XviD|MP3 CBR|english|japanese|1|1|3|avi
GROUPS
GID|AGID|Name|ShortName|State
117|9454|Anime-Faith|A-Faith|complete
1363|8735|Solar Fansubs &amp; Anime-Faith|Solar &amp; Faith|dropped
GENREN
GenID|GenName|isHentai|Weight 
515|Akihabara|0|200
22|Asia|0|600
242|Clubs|0|600
240|College|0|600
17|Comedy|0|400
330|Coming of Age|0|300
470|Cosplay|0|200
236|Daily Life|0|400
289|Earth|0|600
282|Ecchi|0|200
23|Japan|0|600
52|Large Breasts|0|200
273|Manga|0|600
283|Pantsu|0|200
151|Parody|0|600
233|Plot Continuity|0|200
11|Present|0|600
198|Romance|0|200
21|School Life|0|600
79|Seinen|0|600
220|Stereotypes|0|400


