AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1805|21381|1|Bravo from the Bathtub!||お風呂場からブラボー!|25|06.07.2004 00:00|6.68|26|0|3
1805|22025|2|Bravo at School!||学校でブラボー!|25|13.07.2004 00:00|5.43|12|0|3
1805|22455|3|Cooking Is Bravo!||クッキングはブラボー!|25|27.07.2004 00:00|5.40|11|0|3
1805|22844|4|Bravo in the Mansion!||豪邸でブラボー!|25|10.08.2004 00:00|5.60|10|0|3
1805|22843|5|Bravo on a Rainy Day! Part 1||雨の日にブラボー! (前編)|25|17.08.2004 00:00|3.60|12|0|3
1805|23116|6|Bravo on a Rainy Day! Part 2||雨の日にブラボー! (後編)|25|24.08.2004 00:00|3.49|11|0|3
1805|23137|7|Look for a Groom Bravo!||おムコさん探しでブラボー!|25|31.08.2004 00:00|3.81|11|0|3
1805|23136|8|Lots of Bravo!||いっぱいでブラボー!|25|07.09.2004 00:00|4.57|8|0|3
1805|23824|9|Bravo at the Great Magic War!||魔法大戦でブラボー!|25|14.09.2004 00:00|3.57|8|0|3
1805|23998|10|Bravo at the Hot Springs!||温泉でブラボー!|25|21.09.2004 00:00|5.47|9|0|3
1805|23999|11|Ping-Pong Is Bravo!||ピンポンでブラボー!|25|28.09.2004 00:00|3.89|9|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1805|21381|158|60248|184254464|7e692b087311ab2c3a7f380df2f45760|dd5ec2e82d0cccbf41b7a4db834b2bb5|b91e18bed9625f9101b11bcee5084a6342cf67c5|e12b26b6|1394|10|high|640x480|XviD|MP3 CBR|english|japanese|1|5|3|avi
1805|22025|158|62419|184619008|b9e17515aa32fb2ec0656958c230d518|b43db61d10f417471a72af11046410f8|b0f1c1c1a102c00b5108b810d45a6af6f6e7f109|92cda897|1415|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
1805|22455|158|65336|184123392|869d0985b106d2c33fa1fa10268c8eb1|ea30568a16f42503477830cced54f4a3|fa69dba1c282313b2de894e1c954456091ca24fe|a13fbeaa|1394|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
1805|22844|158|65893|183261184|b835558f34f2a0af60b7dfef6771aa30|af30982cea33a8dc8a7fe769e220a811|edc85e0feb4fb8a0ef8ac5ceee86b6c9bb9e7e94|241407c5|1393|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
1805|22843|158|66426|183693312|cf1a3a91be1c3136bbc3c303f1158b96|0419a380910fa71a31438c38675dadc9|e03ab143924ed46e31a50db98cc2a398f690c25a|424b36dd|1395|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
1805|23116|158|66807|183709696|0da099630acc35a22ffab81900442d7e|be966a3275fe52c1a36c8f3849053cf4|2e8ce16a35098c8840b8b085296bd2b38ab30926|414d57aa|1395|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
1805|23137|158|68697|183689216|9f9cb055c0a2b9853a0015c56a4454d6|422256d622ac74d954a88c77355d4c37|c148e0d211558c30ba877989601a014152fabc56|d88b5d1f|1395|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
1805|23136|158|71135|183721984|dc22921e0d2fc77d9e8b429cac12b53b|f0774fcd94b4dee3aab1e63077baaea4|a5087ffcf41acf17214b6436df6fd3f4ce3907c7|d93aa8da|1393|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
1805|23824|158|71265|183719936|ab144bacdab659db81a67455105b1dbb|05ecae4e3f38f25258ffeea5032ffcbd|47a4c80dfde21b34a54b58273d31490a5321a6a1|85b39cf1|1395|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
1805|23998|158|71847|183703552|ff196edc6b6811990e6c697d91a4d18e|5b428810e70c7d20795ed294d1b14796|37bb172e0072b7f258a604da548fc37b36cd17e9|4d08f07d|1394|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
1805|23999|158|73327|183703552|98dd877772aaa70bf0dc79a0f4ae7c3a|45d51e92f2e0f40bd628d473e7077bc5|8fa4cab08cda5cfcb9b3028e3f4e4cbcd1e8657d|7d756983|1390|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
GROUPS
GID|AGID|Name|ShortName|State
158|7111|Lunar Anime|Lunar|complete
GENREN
GenID|GenName|isHentai|Weight 
280|Americas|0|500
22|Asia|0|500
284|Boing|0|500
378|Boobs in Your Face|0|300
369|Breast Fondling|0|300
17|Comedy|0|400
257|Cooking|0|100
470|Cosplay|0|200
282|Ecchi|0|500
291|Fantasy World|0|300
498|Furo Scene|0|200
241|Harem|0|400
239|High School|0|400
23|Japan|0|500
52|Large Breasts|0|600
411|Lingerie|0|300
230|Love Polygon|0|400
175|Magic|0|300
482|Magic Circles|0|200
247|Mahou Shoujo|0|100
273|Manga|0|600
404|Naked Apron|0|300
414|Nopan|0|300
458|Nosebleed|0|200
88|Nudity|0|400
283|Pantsu|0|400
487|Parental Abandonment|0|300
233|Plot Continuity|0|400
11|Present|0|500
551|Pseudo Blowjob|0|200
198|Romance|0|500
21|School Life|0|400
278|Shoujo Ai|0|100
5|Shounen|0|600
496|Shower Scene|0|200
153|Slapstick|0|600
51|Small Breasts|0|300
220|Stereotypes|0|400
255|Sudden Girlfriend Appearance|0|600
18|Super Power|0|100
500|Under One Roof|0|300
84|Violence|0|100
285|Violent Retribution for Accidental Infringement|0|400
479|Zettai Ryouiki|0|200


