AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
18076|271550|1|Nothing Venture, Nothing Have. I||Nothing venture, nothing have. I|25|05.10.2023 00:00|5.17|11|0|0
18076|271551|2|Nothing Venture, Nothing Have. II||Nothing venture, nothing have. II|25|12.10.2023 00:00|4.74|9|0|0
18076|271552|3|Needs Must When the Devil Drives. I||Needs must when the devil drives. I|25|19.10.2023 00:00|5.88|9|0|0
18076|271553|4|Needs Must When the Devil Drives. II||Needs must when the devil drives. II|25|26.10.2023 00:00|5.10|9|0|0
18076|272383|5|Gather Ye Rosebuds While Ye May.||Gather ye rosebuds while ye may.|25|02.11.2023 00:00|5.31|9|0|0
18076|272384|6|Coming Events Cast Their Shadows Before.||Coming events cast their shadows before.|25|09.11.2023 00:00|7.20|8|0|0
18076|272385|7|Man`s Extremity Is God`s Opportunity.||Man`s extremity is God`s opportunity.|25|16.11.2023 00:00|6.40|8|0|1
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
18076|271550|0|3292584|0|||||0|90|unknown|0x0|||||1|0|0|rl
18076|271551|0|3292585|0|||||0|90|unknown|0x0|||||1|0|0|rl
18076|271552|0|3292586|0|||||0|90|unknown|0x0|||||1|0|0|rl
18076|271553|0|3292587|0|||||0|90|unknown|0x0|||||1|0|0|rl
18076|272383|0|3304201|0|||||0|90|unknown|0x0|||||1|0|0|rl
18076|272384|0|3304202|0|||||0|90|unknown|0x0|||||1|0|0|rl
18076|272385|16325|3317719|1479249434|f2304dbe81431fb9609e772ddc98ceb5|33a6d54adeb9b9f58b461556dfadbbbd|aa13a44cdcfe08ad1b0b265905535b5e357bdfd3|b07a29eb|1450|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|1|1|mkv
GROUPS
GID|AGID|Name|ShortName|State
16325|192057|SubsPlease|SubsPlease|complete
GENREN
GenID|GenName|isHentai|Weight 


