AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
18104|278760|1|My Dream Home||夢のマイホーム|25|08.04.2024 00:00|6.26|19|0|0
18104|278761|2|Wedding Reception||披露宴|25|15.04.2024 00:00|6.41|19|0|0
18104|278762|3|Afar||遥か|25|22.04.2024 00:00|6.04|17|0|0
18104|278763|4|Norn and Aisha||ノルンとアイシャ|25|29.04.2024 00:00|5.44|16|0|0
18104|280168|5|My Older Brother`s Feelings||兄貴の気持ち|25|06.05.2024 00:00|8.00|18|0|0
18104|280483|6|Turning Point 3||ターニングポイント3|25|13.05.2024 00:00|6.53|16|0|0
18104|280484|7|Desert Journey||砂漠の旅|25|27.05.2024 00:00|5.55|15|0|0
18104|280485|8|Into the Labyrinth||迷宮入り|25|03.06.2024 00:00|7.01|16|0|0
18104|281386|9|Magic Circle to the Sixth Stratum||第六階層の魔法陣|25|10.06.2024 00:00|8.25|15|0|0
18104|281387|10|Parents||親|25|17.06.2024 00:00|7.79|17|0|0
18104|281388|11|Let`s Go Home||帰ろう|25|24.06.2024 00:00|5.37|17|0|0
18104|281389|12|Succession||嗣ぐ|25|01.07.2024 00:00|6.79|15|0|0
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
18104|278760|0|3389602|0|||||0|90|unknown|0x0|||||1|0|0|rl
18104|278761|0|3389603|0|||||0|90|unknown|0x0|||||1|0|0|rl
18104|278762|0|3389604|0|||||0|90|unknown|0x0|||||1|0|0|rl
18104|278763|0|3389605|0|||||0|90|unknown|0x0|||||1|0|0|rl
18104|280168|0|3417576|0|||||0|90|unknown|0x0|||||1|0|0|rl
18104|280483|0|3423364|0|||||0|90|unknown|0x0|||||1|0|0|rl
18104|280484|0|3423365|0|||||0|90|unknown|0x0|||||1|0|0|rl
18104|280485|0|3423366|0|||||0|90|unknown|0x0|||||1|0|0|rl
18104|281386|0|3440189|0|||||0|90|unknown|0x0|||||1|0|0|rl
18104|281387|0|3440190|0|||||0|90|unknown|0x0|||||1|0|0|rl
18104|281388|0|3440191|0|||||0|90|unknown|0x0|||||1|0|0|rl
18104|281389|0|3440192|0|||||0|90|unknown|0x0|||||1|0|0|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 


