AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
191|2135|1|GTO - The Legend Begins||鬼塚英吉22歳! 元不良 伝説の教育実習が今はじまる!!|50|30.06.1999 00:00|8.20|68|0|2
191|2134|2|Enter Uchiyamada||天敵・内山田教頭登場!! 大逆転!?の最終面接|25|07.07.1999 00:00|7.39|34|0|2
191|2133|3|Late Night Roof Diving||教師の仕事は命がけ?! 深夜の屋上ダイビング|25|21.07.1999 00:00|8.18|28|0|2
191|2132|4|The Secret Life of Onizuka||攻撃開始! 今, あばかれる鬼塚の怪しい日常?!|25|11.08.1999 00:00|7.86|26|0|2
191|2131|5|GTO - An Eye for an Eye, a Butt for a Butt||悪魔のリベンジ!! 目には目を, お尻にはお尻を|25|18.08.1999 00:00|8.22|29|0|2
191|2129|6|Conspiracies All Around||失業確定? 抗議殺到, あいつをクビにしろ!!|25|25.08.1999 00:00|8.71|27|0|2
191|2127|7|The Mother of All Crushes||最も危険な家庭訪問! 母ちゃんに手を出すな|25|01.09.1999 00:00|8.04|25|0|2
191|2125|8|Bungee Jumping Made Easy||村井死す!? 決死のベイブリッジ・バンジー!|25|08.09.1999 00:00|8.42|26|0|2
191|2123|9|Onizuka and The Art of War||うなる筋肉! 激闘! 鬼塚VS熱血体育教師!|25|22.09.1999 00:00|7.54|23|0|2
191|2130|10|Outside Looking In||私ぬぎます! 朋子14歳・体当たりの初体験!|25|22.09.1999 00:00|8.84|25|0|2
191|2128|11|To Be Idolized by a Nation||ゆれるFカップ! ビッグな胸とアイドル伝説!|25|17.10.1999 00:00|9.32|27|0|2
191|2126|12|The Formula for Treachery||鬼塚追放! 闇の策略!|25|31.10.1999 00:00|5.93|25|0|2
191|2124|13|Only the Best Will Do||鬼塚またまた失業確定?!|25|21.11.1999 00:00|7.01|21|0|2
191|2122|14|Between a Rock and a Hard Place||地獄? 夢の二人暮らし|25|05.12.1999 00:00|8.20|24|0|2
191|3732|15|The Great Sacrifice||死闘! 血染めの解答用紙!|25|12.12.1999 00:00|9.37|32|0|2
191|3733|16|Beauty + Brains = A Dangerous Mix||鬼塚マジギレ!! 強敵出現!!|25|19.12.1999 00:00|8.00|23|0|2
191|3734|17|Falling for The Great Onizuka||悪い夢! 逃亡者・鬼塚!|25|16.01.2000 00:00|9.01|24|0|2
191|3735|18|How to Dine and Dash||再会・恩師よ......|25|23.01.2000 00:00|8.40|22|0|2
191|3736|19|Private Investigations||鬼塚, 命がけの課外授業|25|30.01.2000 00:00|9.34|25|0|2
191|3737|20|Love Letters||Fからのラブレター|25|06.02.2000 00:00|7.82|23|0|2
191|3738|21|Revolution Everywhere||教師失格? 消えた冬月|25|13.02.2000 00:00|6.90|20|0|2
191|3739|22|The Art of Demolition||鬼塚爆死?! 炎の大脱出!!|25|20.02.2000 00:00|6.82|22|0|2
191|3740|23|Superstition||鬼塚死す!? 最後の七日間|25|27.02.2000 00:00|7.20|21|0|2
191|3741|24|Compromising Positions||父焦る! 家の娘に限って!!|25|05.03.2000 00:00|7.50|22|0|2
191|3742|25|Playing Doctor - GTO Style||お色気先生に鬼塚クラッ|25|12.03.2000 00:00|5.73|21|0|2
191|3743|26|Onizuka Meets His Match||湘南の鬼VSハコスカの女王|25|19.03.2000 00:00|7.28|19|0|2
191|3744|27|GTO - Agent to the Stars||トロ子の芸能界虎の穴|25|02.04.2000 00:00|8.33|19|0|2
191|4011|28|Whatever Can Go Wrong, Will Go Wrong||発表! 21世紀新アイドル|25|16.04.2000 00:00|8.47|20|0|2
191|4010|29|Studies in High Finance||セーラー服と112万円|25|23.04.2000 00:00|7.44|21|0|2
191|4330|30|Money Talks, GTO Walks||罪と罰! 横領犯・鬼塚?!|25|30.04.2000 00:00|7.54|22|0|2
191|4329|31|Destination: Okinawa||目指せ!! 憧れの沖縄行路|25|07.05.2000 00:00|6.39|20|0|2
191|4328|32|The Law of Probability||嗚呼ベンツ丸つぶれ|25|14.05.2000 00:00|6.80|21|0|2
191|4327|33|Search and Rescue||さらば鬼塚・22才の別れ|25|28.05.2000 00:00|9.03|22|0|2
191|4340|34|Good Cop / Bad Cop||監獄に一番近い警官|25|04.06.2000 00:00|5.89|19|0|2
191|4339|35|Wedding Bell Blues||花嫁は14歳!! の息子あり|25|11.06.2000 00:00|5.57|23|0|2
191|4338|36|Self-Improvement: Fuyutsuki`s Transformation||冬月変身! 燃えろ夏女!|25|18.06.2000 00:00|5.96|23|0|2
191|4337|37|Living Together||嵐の予感! 沖縄でGo!|25|16.07.2000 00:00|7.50|22|0|2
191|4336|38|Great Treasure Onizuka||突撃! 宝探しでGo!|25|30.07.2000 00:00|7.03|21|0|2
191|4335|39|Alone in the Dark||二人の冒険!! 秘密の洞窟|25|13.08.2000 00:00|9.25|26|0|2
191|4334|40|Matters of the Heart||ハート直撃!! 沖縄純愛組|25|20.08.2000 00:00|8.76|24|0|2
191|4333|41|Confessions||青春少女!! 初めての告白|25|27.08.2000 00:00|9.61|29|0|2
191|4332|42|Old Wounds Revisited||ラストバトル! 蘇る傷跡|25|10.09.2000 00:00|8.20|22|0|2
191|4331|43|Onizuka`s Final Battle||挫! 愚零徒出夜露死苦!|25|17.09.2000 00:00|7.89|33|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
191|2135|183|52314|474558363|3915b152d5008720bf6a81e4ef52fae7|02d5a467f027301730cd7d11c2813a91|561eec55fe2803d9ced16e424b8bcbb565f96131|6c4de47c|2904|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|5|2|ogm
191|2134|183|52315|243057379|b46f2984f00c11d4b8cd2f4ca3bb9967|1a4a9cf8f0d11ffabb6d4b7f45ae3b96|d4116f71da962fa676d51db2b13f196b7f580201|2f2be54c|1547|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|5|2|ogm
191|2133|183|52313|242505282|79a9d0e988fad0f9f3b876e5e7f117f8|c0005da3d22887fe241cbf3ca2d8b107|a10e43d0ffee1c24841fd07c957f85bc35bde333|1aee47e9|1551|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|5|2|ogm
191|2132|183|52312|242397510|c849f7df8222d130f46848b15a84feb7|a22dae27fccfe8a12f7c1c4f3792b3d0|90996f02a3f6392da78715535dcf6c1758a97e1f|c9a87120|1564|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|5|2|ogm
191|2131|183|36383|244362484|93f2d7eabeac424e6cd71620aa31a91c|efe3dfdfad650760f7b5a508b23afa55|57b07ffa1144cc55416fe3fb854fc0d2290d3bdd|f51b75b7|1550|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|2129|183|36391|244551191|2c6be737b0692172c4aada9ac7f3c733|ee439e713ee82ca4b619d673df8f073e|99c2ed7ce1968d4c5e5ff0f3bdb18875875a0615|9559535a|1547|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|2127|183|36374|244031583|59af8a76190a42db535459e788a36bd9|d062f0df00742f20ece90112ea12852a|0b939c97a47c31cd83ca26c7dd4e198d3ef7de00|a2fd910c|1550|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|2125|183|36389|243411699|d4588894f70b4e487328cfacf663e8a5|f02ea8424cca30672b16ce3ca774b5f6|30196a4d2aef48ec407ee7846da1c6ba71869bc8|ea823c30|1549|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|2123|183|36395|243503356|e743094aa94625c105695c03a8cba067|74f1ae39657b31556834fe6c5bccab46|6a14872a91d04e6f45c781faa250d6f7807ee7dd|ed890222|1563|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|2130|183|36394|241140921|116850151d3d4c6789e0a58b4a5319b2|dc8e0465b4c2af25a797a1a9c619d78c|985c52d4bf9f8efc0ddfa3f3b2d68be3b1b6e706|32700c12|1545|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|2128|183|36379|241655713|77c332f51e694fbb3907c83a38ae705b|8e87e44be965bb8cd8ef6607f64e0bb0|708bba125e3afd2256ff7e6e997c700266bfe9ae|cb76c0ad|1407|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|2126|183|36393|240863430|41a1c2e5027ae638271da94ddc0c6b97|173ba674d0cac60754b4853ba7c5d9db|fc4b5b8429be95dde51f168555449656644199b7|3a80f316|1418|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|2124|183|36380|241233034|59e4c2454fbf0b50a9ced3e2dca56e6f|ddcd39ec0bf181ae13a66d4c1264c318|61aea250f0a1e65700bec9e9ab535e00843b0fe3|97a6a10e|1407|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|2122|183|36375|240806906|479def482a0e9121bfd6bb12aa0d7636|5649459d09b4fb2645dae2eb15f361c4|073515a5443608ca20584785f36087b83f289e8b|c9e6a604|1411|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|3732|183|36384|243986125|c6bb52491b83933efb63f892ca1c8c86|e736689497da3f9fbf4b9924ae2f491a|be8691e4025c5bb943c88dfd8423a7ba3c6d9f3f|e26ec4c8|1407|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|3733|183|36387|246014421|b16ea099e511b2800331c7a6d617ad2e|01471e365fb1557118c19c0f7b912bd1|c354e64323ca8a56f3d246774fd0b28536cc69cb|8c38070b|1407|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|3734|183|36382|241946302|cfddcbbab779abcaf16827941085a199|483b7c9a38032e7be88d3ab3c3104792|6eff00b537d8ff662299b4ff91fea641e34f8b9f|252ce548|1406|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
191|3735|183|36376|245821338|be1e8d0db0f0b784b80b5586ab647170|ebe3f9b222d265428908b5764bff3866|1a3542717615f8d0e1f1e27de3d4be15b2dd001d|5f404f89|1409|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
