AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
197|2348|1|Pitch Black||射干玉|30|23.06.1994 00:00|7.88|7|0|3
197|2352|2|Rampage||暴|30|21.07.1994 00:00|7.80|8|0|3
197|2351|3|Visage||面影|30|25.08.1994 00:00|8.12|7|0|3
197|2350|4|Broom Tree||帚木|30|24.09.1994 00:00|7.71|7|0|3
197|2349|5|Wind Song||声風|30|22.10.1994 00:00|8.22|6|0|3
197|2353|6|Utopia||麻本呂婆|30|21.11.1994 00:00|8.13|7|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
197|2348|183|54270|361370467|93ca45dae57ae01cb75ef249c9d101a7|1df0a04ff1aa53f7c076aff993cc2d73|5d430a3cccdffba77609468632335e569461a6b4|e287f872|1742|10|very high|640x480|DivX5/6|(HE-)AAC|english|japanese|1|1|3|mkv
197|2352|183|54269|360519131|1fdd5670ae9ead4564525bc16614960d|abcf613a3eda7c0a767fdaad5c0b3e05|bc0500d3c3cd60ebcfe2d4ae10d12a4aed96e390|8ce0f9a8|1725|10|very high|640x480|DivX5/6|(HE-)AAC|english|japanese|1|1|3|mkv
197|2351|183|54271|361236208|531c6034bec921d0505a047276f370b7|6b057310ec4c861b1ef75c7c480423f1|4b9aab716d4caf0c183ffa73dbd970d6c46abb08|5128d9bf|1709|10|very high|640x480|DivX5/6|(HE-)AAC|english|japanese|1|1|3|mkv
197|2350|183|64044|361804890|fac139febb48c906af74c9f781dc05a0|d96100ebb7add05b9bb568376ab0ad91|48a626a3fac81cfc36fb4c4b6bec56760f7aace7|32b81b3f|1746|10|very high|640x480|DivX5/6|(HE-)AAC|english|japanese|1|1|3|mkv
197|2349|183|64042|362058089|8196033afbd7d521e4779d0ee04dfc9b|2566952dc5f35baabedb54e094eced2b|6db38e1e54c5619ac9e524cbb18dba1e03b999b7|323ec967|1720|10|very high|640x480|DivX5/6|(HE-)AAC|english|japanese|1|1|3|mkv
197|2353|183|64043|359748280|c7728f32a28b211031e65d36826a0157|f45532e8ba8f71dd050aa00786762921|4c7566e2b6b803262fa8d42c07dccd82128a2173|90443fcc|1687|10|very high|640x480|DivX5/6|(HE-)AAC|english|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
183|6262|Anime-4ever|a4e|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
306|Adventure|0|300
184|Alien|0|600
252|Angst|0|300
205|Bounty Hunter|0|600
369|Breast Fondling|0|100
454|Collateral Damage|0|500
508|Desert|0|300
282|Ecchi|0|200
12|Future|0|600
263|Gunfights|0|300
154|Horror|0|500
13|Mecha|0|400
308|Movie|0|600
88|Nudity|0|300
128|Other Planet|0|500
281|Parasite|0|600
117|Power Suit|0|400
8|Sci-Fi|0|600
79|Seinen|0|600
129|Shipboard|0|300
496|Shower Scene|0|200
153|Slapstick|0|200
19|Space|0|300
173|Swordplay|0|200
235|Tragedy|0|300
244|Twisted|0|300
84|Violence|0|400


