AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1971|19653|1|Volume 1|||30|25.06.2004 00:00|3.50|8|0|2
1971|23682|2|Volume 2|||30|25.09.2004 00:00|4.72|6|0|2
1971|51342|3|Volume 3|||30|25.06.2006 00:00|1.81|3|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1971|19653|3085|294378|269147647|14f780546352d9e474b1af499299c65a|91cd17c63a98e2e85349541f3dbd5771|8cb2f5241b11444529ee66118ca786ede0843d44|6ea9b0b5|1791|10|very high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
1971|23682|3085|294379|265333308|3713c902b8d668faa98a28f3bf7dfb31|d9db817369a6d107de19142baadab53d|f3601226b0c82483c2d7bdb837fc1530c0a6451f|0266ef7c|1784|10|very high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
1971|51342|3085|294324|270441890|1a469e4f05598437b16fe0760e1bd8bf|8803d4d394254c6b036d087b0943f9e7|4194451dafcaa858dbda2812cf80d483fe75e904|6a7e6631|1813|10|very high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
3085|20774|KHMER-HENTAI|KH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
532|Alcohol|0|200
170|Angel|0|200
22|Asia|0|600
403|Brother-Sister Incest|0|300
242|Clubs|0|300
240|College|0|300
470|Cosplay|0|200
360|Cream Pie|1|400
357|Cunnilingus|1|400
373|Doggy Style|1|300
289|Earth|0|600
271|Erotic Game|0|600
15|Fantasy|0|200
353|Fellatio|1|300
269|Game|0|600
241|Harem|0|300
48|Incest|0|200
23|Japan|0|600
52|Large Breasts|0|500
88|Nudity|0|600
59|Nurse|0|100
354|Paizuri|1|300
377|Pantyjob|0|100
233|Plot Continuity|0|400
11|Present|0|600
365|Rimming|1|200
21|School Life|0|300
86|Sex|0|600
415|Sixty-nine|1|200
362|Threesome|1|100
480|Uncensored Version Available|1|600
84|Violence|0|100
61|Virginity|1|200


