AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
1981|19680|1|Young Lady: Satsuki||令嬢・さつき|30|25.05.2002 00:00|5.42|2|0|2
1981|19681|2|Sisters Hunt: Rena and Sena||姉妹狩り・玲名と瀬名|30|25.08.2002 00:00|4.75|2|0|2
1981|19682|3|Misaki: Hunted Racing Swimsuit||ミサキ・狩られた競泳水着|30|25.10.2002 00:00|4.43|1|0|2
1981|19683|4|Hunted Cheerleader: Yuki||狩られたチアガール・ユキ|30|25.04.2003 00:00|6.08|2|0|2
1981|23681|5|Nurse Hunt: Nanami||ナース狩り・奈々美|30|25.09.2004 00:00|2.90|1|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
1981|19680|3085|274728|317191721|16e24d1db153e413bf95d77108c77706|23fdf2d37d381915b05c8c15d02a04b8|c470b18d44d0cdf52683ae137cd333e1e8e46ae1|d744a41c|1754|10|high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
1981|19681|3085|274729|296742520|208801773a4e1a20cd359edf0d13ffa5|447d287d17f0b7e9b4f523dbc5655bf9|8f639aadc9dfcfad233298713dbc50115d8726b3|1282f6d2|1747|10|high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
1981|19682|3085|274730|301810968|de3fb016f5ed78dd43b923b7901cc91e|12ebb763b61f11f61af9b826f516d40e|05fd62ce134bd644e8c87ed0136ac13f0309ede5|d723a850|1739|10|high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
1981|19683|3085|274731|311719277|112ed0366ed17dee3c4cd5230a64342b|4d3a83a571511329785379aad421754e|03158dfb1bf0a556f3a783f401c56121499ac7cc|0d6cf99e|1719|10|high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
1981|23681|3085|274672|249198404|a8c61df5b6efb784ea7da88e204d36cd|cfea2c729cf949d6893a6639b060d8c4|0e25897bd075da1c453ab19833c838f2eab5f653|76ef0e30|1542|10|very high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
3085|19534|KHMER-HENTAI|KH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
524|Blackmail|0|200
57|Bondage|0|400
271|Erotic Game|0|600
333|Gangbang|1|200
59|Nurse|0|100
33|Rape|1|500
86|Sex|0|400
480|Uncensored Version Available|1|600
37|Yuri|1|300


